t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.008061,596622.474399,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000547,-0.000547,0.533156,0.002281,0.002281,0.000000,28934
5.013062,596622.479562,0.005001,rest,2,0.000000,0.000000,0.000000,0.000249,0.000249,0.525133,0.002919,0.002919,0.159162,28936
5.018474,596622.484724,0.005413,rest,2,0.000000,0.000000,0.000000,0.000249,0.000249,0.475952,0.002885,0.002885,0.000000,28938
5.023061,596622.489835,0.004587,rest,2,0.000000,0.000000,0.000000,-0.000780,-0.000780,0.431615,0.001943,0.001943,0.000000,28940
5.028061,596622.494982,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000780,-0.000780,0.465330,0.002376,0.002376,0.000000,28942
5.033134,596622.500118,0.005072,rest,2,0.000000,0.000000,0.000000,-0.000088,-0.000088,0.517856,0.003016,0.003016,0.136318,28944
5.038477,596622.505247,0.005343,rest,2,0.000000,0.000000,0.000000,-0.000770,-0.000770,0.504377,0.002830,0.002830,0.000000,28946
5.043488,596622.510373,0.005011,rest,2,0.000000,0.000000,0.000000,-0.000154,-0.000154,0.469805,0.003454,0.003454,0.122891,28948
5.048061,596622.515556,0.004573,rest,2,0.000000,0.000000,0.000000,-0.000699,-0.000699,0.486527,0.002655,0.002655,0.000000,28950
5.053061,596622.520711,0.005000,rest,2,0.000000,0.000000,0.000000,0.000424,0.000424,0.481065,0.002198,0.002198,0.224571,28952
5.058061,596622.525836,0.005000,rest,2,0.000000,0.000000,0.000000,0.000353,0.000353,0.456200,0.002710,0.002710,0.000000,28954
5.068061,596622.530952,0.010000,rest,2,0.000000,0.000000,0.000000,0.000030,0.000030,0.530882,0.002595,0.002595,0.000000,28958
5.073061,596622.536051,0.005000,rest,2,0.000000,0.000000,0.000000,0.000082,0.000082,0.534873,0.001865,0.001865,0.010352,28960
5.078061,596622.541171,0.005000,rest,2,0.000000,0.000000,0.000000,0.000304,0.000304,0.519866,0.002317,0.002317,0.044431,28962
5.083062,596622.546285,0.005000,rest,2,0.000000,0.000000,0.000000,0.001085,0.001085,0.501855,0.002806,0.002806,0.156221,28964
5.088061,596622.551446,0.005000,rest,2,0.000000,0.000000,0.000000,0.000233,0.000233,0.511173,0.002302,0.002302,0.000000,28966
5.093062,596622.556591,0.005001,rest,2,0.000000,0.000000,0.000000,0.002170,0.002170,0.506469,0.002855,0.002855,0.387314,28968
