t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.010438,597087.092187,0.005000,rest,2,0.000000,0.000000,0.000000,0.001855,0.001855,0.499028,0.002335,0.002335,0.267652,213372
5.010438,597087.097307,0.000001,rest,2,0.000000,0.000000,0.000000,0.001855,0.001855,0.499028,0.002335,0.002335,0.267652,213372
5.020676,597087.102436,0.010238,rest,2,0.000000,0.000000,0.000000,-0.000627,-0.000627,0.445456,0.002526,0.002526,0.000000,213376
5.025438,597087.107578,0.004762,rest,2,0.000000,0.000000,0.000000,-0.000627,-0.000627,0.459325,0.001682,0.001682,0.000000,213378
5.030437,597087.112727,0.005000,rest,2,0.000000,0.000000,0.000000,0.000123,0.000123,0.481469,0.002208,0.002208,0.149839,213380
5.035438,597087.117857,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000486,-0.000486,0.461462,0.001576,0.001576,0.000000,213382
5.040447,597087.123016,0.005009,rest,2,0.000000,0.000000,0.000000,-0.000729,-0.000729,0.480860,0.002128,0.002128,0.000000,213384
5.045437,597087.128182,0.004991,rest,2,0.000000,0.000000,0.000000,0.000274,0.000274,0.485038,0.001659,0.001659,0.201075,213386
5.050438,597087.133294,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000231,-0.000231,0.514777,0.002202,0.002202,0.000000,213388
5.055437,597087.138365,0.004999,rest,2,0.000000,0.000000,0.000000,-0.001441,-0.001441,0.556613,0.001720,0.001720,0.000000,213390
5.060437,597087.143479,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000152,-0.000152,0.515297,0.002323,0.002323,0.257774,213392
5.065438,597087.148590,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000049,-0.000049,0.471950,0.001766,0.001766,0.020593,213394
5.070437,597087.153713,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000224,-0.000224,0.478945,0.002321,0.002321,0.000000,213396
5.075438,597087.158835,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000049,-0.000049,0.506656,0.001900,0.001900,0.035010,213398
5.080438,597087.163960,0.005000,rest,2,0.000000,0.000000,0.000000,0.000160,0.000160,0.538592,0.002495,0.002495,0.041832,213400
5.085437,597087.169130,0.004999,rest,2,0.000000,0.000000,0.000000,-0.001379,-0.001379,0.555646,0.001842,0.001842,0.000000,213402
5.090438,597087.174248,0.005001,rest,2,0.000000,0.000000,0.000000,0.000039,0.000039,0.539937,0.002423,0.002423,0.283551,213404
5.095842,597087.179410,0.005404,rest,2,0.000000,0.000000,0.000000,0.000129,0.000129,0.500213,0.002160,0.002160,0.016803,213406
5.100638,597087.184535,0.004796,rest,2,0.000000,0.000000,0.000000,-0.000277,-0.000277,0.506492,0.002470,0.002470,0.000000,213408
5.105438,597087.189663,0.004800,rest,2,0.000000,0.000000,0.000000,0.001018,0.001018,0.539129,0.001739,0.001739,0.269815,213410
5.110704,597087.194784,0.005265,rest,2,0.000000,0.000000,0.000000,0.001242,0.001242,0.537808,0.002528,0.002528,0.042535,213412
5.115441,597087.199918,0.004737,rest,2,0.000000,0.000000,0.000000,0.000987,0.000987,0.530754,0.001714,0.001714,0.000000,213414
5.120438,597087.205048,0.004998,rest,2,0.000000,0.000000,0.000000,0.000987,0.000987,0.541523,0.002189,0.002189,0.000001,213416
5.125437,597087.210155,0.004999,rest,2,0.000000,0.000000,0.000000,0.000106,0.000106,0.526411,0.001573,0.001573,0.000000,213418
5.131080,597087.215265,0.005642,rest,2,0.000000,0.000000,0.000000,-0.000017,-0.000017,0.472441,0.002705,0.002705,0.000000,213420
5.136575,597087.220417,0.005496,rest,2,0.000000,0.000000,0.000000,-0.000990,-0.000990,0.433634,0.002744,0.002744,0.000000,213422
5.141933,597087.225524,0.005357,rest,2,0.000000,0.000000,0.000000,-0.000960,-0.000960,0.444115,0.003710,0.003710,0.005471,213424
5.146124,597087.230637,0.004192,rest,2,0.000000,0.000000,0.000000,-0.000803,-0.000803,0.479709,0.002474,0.002474,0.037450,213426
5.150449,597087.235798,0.004325,rest,2,0.000000,0.000000,0.000000,-0.000565,-0.000565,0.490005,0.002516,0.002516,0.055098,213428
5.155464,597087.240924,0.005015,rest,2,0.000000,0.000000,0.000000,0.000200,0.000200,0.487411,0.001972,0.001972,0.152597,213430
5.160441,597087.246044,0.004977,rest,2,0.000000,0.000000,0.000000,0.000200,0.000200,0.469513,0.002665,0.002665,0.000000,213432
5.165726,597087.251175,0.005285,rest,2,0.000000,0.000000,0.000000,0.000837,0.000837,0.488248,0.002475,0.002475,0.120523,213434
5.171144,597087.256305,0.005418,rest,2,0.000000,0.000000,0.000000,0.000837,0.000837,0.536823,0.002299,0.002299,0.000000,213436
5.180472,597087.261421,0.009328,rest,2,0.000000,0.000000,0.000000,0.000461,0.000461,0.528843,0.001692,0.001692,0.000000,213440
5.185438,597087.266553,0.004966,rest,2,0.000000,0.000000,0.000000,0.000431,0.000431,0.508549,0.002205,0.002205,0.000000,213442
5.190440,597087.271669,0.005002,rest,2,0.000000,0.000000,0.000000,0.000504,0.000504,0.510313,0.001651,0.001651,0.014722,213444
5.195439,597087.276783,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000780,-0.000780,0.501552,0.002212,0.002212,0.000000,213446
5.200438,597087.281923,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000075,-0.000075,0.519243,0.001642,0.001642,0.141106,213448
5.205437,597087.287043,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000354,-0.000354,0.544605,0.002188,0.002188,0.000000,213450
5.210439,597087.292167,0.005002,rest,2,0.000000,0.000000,0.000000,0.000204,0.000204,0.539878,0.001698,0.001698,0.111446,213452
5.215440,597087.297284,0.005001,rest,2,0.000000,0.000000,0.000000,0.000655,0.000655,0.533936,0.002218,0.002218,0.090265,213454
5.220437,597087.302433,0.004997,rest,2,0.000000,0.000000,0.000000,0.001148,0.001148,0.498541,0.001601,0.001601,0.098567,213456
5.225437,597087.307592,0.005000,rest,2,0.000000,0.000000,0.000000,0.000253,0.000253,0.490536,0.002129,0.002129,0.000000,213458
5.230446,597087.312793,0.005009,rest,2,0.000000,0.000000,0.000000,-0.000707,-0.000707,0.506043,0.002703,0.002703,0.000000,213460
5.235438,597087.317901,0.004991,rest,2,0.000000,0.000000,0.000000,-0.000276,-0.000276,0.478186,0.002054,0.002054,0.086267,213462
5.240443,597087.323132,0.005005,rest,2,0.000000,0.000000,0.000000,-0.001739,-0.001739,0.442590,0.002627,0.002627,0.000000,213464
5.245437,597087.328237,0.004994,rest,2,0.000000,0.000000,0.000000,-0.000160,-0.000160,0.428749,0.001985,0.001985,0.316331,213466
5.250437,597087.333373,0.005001,rest,2,0.000000,0.000000,0.000000,-0.001132,-0.001132,0.467922,0.002239,0.002239,0.000000,213468
5.255437,597087.338518,0.004999,rest,2,0.000000,0.000000,0.000000,-0.001279,-0.001279,0.507188,0.001562,0.001562,0.000000,213470
5.260437,597087.343728,0.005001,rest,2,0.000000,0.000000,0.000000,-0.001059,-0.001059,0.506934,0.002051,0.002051,0.043969,213472
5.265437,597087.348913,0.005000,rest,2,0.000000,0.000000,0.000000,-0.001162,-0.001162,0.519114,0.002417,0.002417,0.000000,213474
5.270438,597087.354135,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000736,-0.000736,0.509212,0.001933,0.001933,0.085157,213476
5.276078,597087.359242,0.005640,rest,2,0.000000,0.000000,0.000000,-0.000556,-0.000556,0.475449,0.003027,0.003027,0.031944,213478
5.281416,597087.364344,0.005338,rest,2,0.000000,0.000000,0.000000,-0.001586,-0.001586,0.470239,0.002814,0.002814,0.000000,213480
5.286099,597087.369454,0.004682,rest,2,0.000000,0.000000,0.000000,-0.001313,-0.001313,0.505667,0.003133,0.003133,0.058384,213482
5.290438,597087.374609,0.004339,rest,2,0.000000,0.000000,0.000000,-0.000427,-0.000427,0.547326,0.002043,0.002043,0.204162,213484
5.295438,597087.379750,0.005000,rest,2,0.000000,0.000000,0.000000,0.000722,0.000722,0.545652,0.001545,0.001545,0.229781,213486
5.300437,597087.384950,0.004999,rest,2,0.000000,0.000000,0.000000,0.000399,0.000399,0.519405,0.001965,0.001965,0.000000,213488
5.305437,597087.390111,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000858,-0.000858,0.534613,0.002564,0.002564,0.000000,213490
5.310437,597087.395229,0.005000,rest,2,0.000000,0.000000,0.000000,0.000219,0.000219,0.570944,0.002139,0.002139,0.215255,213492
5.315438,597087.400337,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000237,-0.000237,0.546396,0.001608,0.001608,0.000000,213494
5.320437,597087.405444,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000281,-0.000281,0.509692,0.002198,0.002198,0.000000,213496
5.325438,597087.410586,0.005001,rest,2,0.000000,0.000000,0.000000,0.001148,0.001148,0.488136,0.001679,0.001679,0.285619,213498
5.330438,597087.415757,0.005000,rest,2,0.000000,0.000000,0.000000,0.001148,0.001148,0.461071,0.002175,0.002175,0.000000,213500
5.335438,597087.420890,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000706,-0.000706,0.486060,0.001540,0.001540,0.000000,213502
5.340438,597087.426016,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000706,-0.000706,0.511701,0.002025,0.002025,0.000000,213504
5.346210,597087.431104,0.005773,rest,2,0.000000,0.000000,0.000000,-0.000280,-0.000280,0.511242,0.003428,0.003428,0.073767,213506
5.351853,597087.436213,0.005643,rest,2,0.000000,0.000000,0.000000,-0.000280,-0.000280,0.509199,0.003422,0.003422,0.000000,213508
5.357309,597087.441493,0.005456,rest,2,0.000000,0.000000,0.000000,0.000145,0.000145,0.493114,0.003393,0.003393,0.078020,213510
5.361796,597087.446686,0.004487,rest,2,0.000000,0.000000,0.000000,0.001329,0.001329,0.502366,0.003459,0.003459,0.263670,213512
5.366728,597087.451833,0.004931,rest,2,0.000000,0.000000,0.000000,0.001554,0.001554,0.533000,0.003907,0.003907,0.045694,213514
5.371327,597087.456972,0.004599,rest,2,0.000000,0.000000,0.000000,-0.000632,-0.000632,0.536250,0.002948,0.002948,0.000000,213516
5.380515,597087.462116,0.009188,rest,2,0.000000,0.000000,0.000000,0.000694,0.000694,0.493996,0.001745,0.001745,0.237463,213520
5.385440,597087.467275,0.004925,rest,2,0.000000,0.000000,0.000000,0.000621,0.000621,0.489014,0.002177,0.002177,0.000000,213522
5.390439,597087.472483,0.004999,rest,2,0.000000,0.000000,0.000000,0.000195,0.000195,0.497151,0.002564,0.002564,0.000000,213524
5.395441,597087.477656,0.005003,rest,2,0.000000,0.000000,0.000000,0.000072,0.000072,0.516221,0.001980,0.001980,0.000000,213526
5.400438,597087.482777,0.004997,rest,2,0.000000,0.000000,0.000000,0.000297,0.000297,0.526198,0.002250,0.002250,0.044996,213528
5.405438,597087.487939,0.004999,rest,2,0.000000,0.000000,0.000000,0.001574,0.001574,0.522991,0.001678,0.001678,0.255402,213530
5.410438,597087.493117,0.005000,rest,2,0.000000,0.000000,0.000000,0.000223,0.000223,0.500298,0.002202,0.002202,0.000000,213532
5.415440,597087.498220,0.005002,rest,2,0.000000,0.000000,0.000000,-0.001357,-0.001357,0.490034,0.001612,0.001612,0.000000,213534
5.420439,597087.503386,0.004998,rest,2,0.000000,0.000000,0.000000,-0.000354,-0.000354,0.489967,0.002176,0.002176,0.200598,213536
5.425439,597087.508501,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000280,-0.000280,0.514214,0.001615,0.001615,0.014831,213538
5.430438,597087.513614,0.004999,rest,2,0.000000,0.000000,0.000000,0.000600,0.000600,0.537364,0.002129,0.002129,0.176024,213540
5.435438,597087.518734,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000428,-0.000428,0.515889,0.001590,0.001590,0.000000,213542
5.440441,597087.523844,0.005002,rest,2,0.000000,0.000000,0.000000,0.000420,0.000420,0.499384,0.002172,0.002172,0.169385,213544
5.445438,597087.528955,0.004997,rest,2,0.000000,0.000000,0.000000,0.000072,0.000072,0.485412,0.001549,0.001549,0.000000,213546
5.450440,597087.534123,0.005002,rest,2,0.000000,0.000000,0.000000,-0.000428,-0.000428,0.492595,0.002082,0.002082,0.000000,213548
5.455438,597087.539236,0.004998,rest,2,0.000000,0.000000,0.000000,-0.000428,-0.000428,0.495643,0.001501,0.001501,0.000001,213550
5.460437,597087.544377,0.004999,rest,2,0.000000,0.000000,0.000000,0.000027,0.000027,0.492324,0.002012,0.002012,0.090905,213552
