t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.010006,597353.174334,0.005000,rest,2,0.000000,0.000000,0.000000,0.000625,0.000625,0.458110,0.001629,0.001629,0.000000,319136
5.015006,597353.179452,0.005000,rest,2,0.000000,0.000000,0.000000,0.001056,0.001056,0.506802,0.002174,0.002174,0.086358,319138
5.020154,597353.184633,0.005148,rest,2,0.000000,0.000000,0.000000,0.001056,0.001056,0.554937,0.001838,0.001838,0.000004,319140
5.025006,597353.189753,0.004851,rest,2,0.000000,0.000000,0.000000,0.001209,0.001209,0.536200,0.002240,0.002240,0.031392,319142
5.030005,597353.194931,0.004999,rest,2,0.000000,0.000000,0.000000,0.001088,0.001088,0.510813,0.001702,0.001702,0.000000,319144
5.035005,597353.200060,0.005001,rest,2,0.000000,0.000000,0.000000,0.000236,0.000236,0.507184,0.001240,0.001240,0.000000,319146
5.045006,597353.205194,0.010001,rest,2,0.000000,0.000000,0.000000,0.000204,0.000204,0.480809,0.001152,0.001152,0.000000,319150
5.045006,597353.210313,0.000001,rest,2,0.000000,0.000000,0.000000,0.000204,0.000204,0.480809,0.001152,0.001152,0.000000,319150
5.055006,597353.215487,0.009999,rest,2,0.000000,0.000000,0.000000,0.000814,0.000814,0.485896,0.001072,0.001072,0.322771,319154
5.060005,597353.220564,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000294,-0.000294,0.485354,0.001542,0.001542,0.000000,319156
5.065005,597353.225700,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000294,-0.000294,0.517992,0.006471,0.006471,0.000000,319158
5.070005,597353.230829,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000159,-0.000159,0.497983,0.001280,0.001280,0.027027,319160
5.075005,597353.235954,0.005000,rest,2,0.000000,0.000000,0.000000,0.001320,0.001320,0.468474,0.001877,0.001877,0.295771,319162
5.080005,597353.241116,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000729,-0.000729,0.481479,0.002206,0.002206,0.000000,319164
5.080005,597353.246311,0.000001,rest,2,0.000000,0.000000,0.000000,-0.000729,-0.000729,0.481479,0.002206,0.002206,0.000000,319164
5.085006,597353.251497,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000374,-0.000374,0.487808,0.002135,0.002135,0.071046,319166
5.095704,597353.256634,0.010698,rest,2,0.000000,0.000000,0.000000,-0.000223,-0.000223,0.434327,0.002096,0.002096,0.334897,319170
5.100005,597353.261827,0.004301,rest,2,0.000000,0.000000,0.000000,-0.000152,-0.000152,0.439401,0.001758,0.001758,0.016504,319172
5.105006,597353.267031,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000444,-0.000444,0.469513,0.000952,0.000952,0.000000,319174
5.110008,597353.272243,0.005003,rest,2,0.000000,0.000000,0.000000,-0.000444,-0.000444,0.498403,0.005904,0.005904,0.000000,319176
5.115007,597353.277407,0.004998,rest,2,0.000000,0.000000,0.000000,-0.000617,-0.000617,0.510213,0.001057,0.001057,0.000000,319178
5.120006,597353.282602,0.004999,rest,2,0.000000,0.000000,0.000000,0.000884,0.000884,0.499733,0.001511,0.001511,0.300303,319180
5.125007,597353.287704,0.005001,rest,2,0.000000,0.000000,0.000000,0.000884,0.000884,0.480805,0.006432,0.006432,0.000000,319182
5.130123,597353.292813,0.005117,rest,2,0.000000,0.000000,0.000000,-0.000557,-0.000557,0.465135,0.001485,0.001485,0.000000,319184
5.135025,597353.297977,0.004901,rest,2,0.000000,0.000000,0.000000,-0.001338,-0.001338,0.451124,0.002027,0.002027,0.000000,319186
5.140006,597353.303208,0.004981,rest,2,0.000000,0.000000,0.000000,-0.000657,-0.000657,0.455260,0.001287,0.001287,0.136613,319188
5.145006,597353.308379,0.005000,rest,2,0.000000,0.000000,0.000000,0.000142,0.000142,0.466068,0.001763,0.001763,0.159833,319190
5.150006,597353.313552,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000333,-0.000333,0.495766,0.001142,0.001142,0.000000,319192
5.155006,597353.318836,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000333,-0.000333,0.528935,0.001667,0.001667,0.000002,319194
5.160073,597353.324154,0.005068,rest,2,0.000000,0.000000,0.000000,0.001127,0.001127,0.501639,0.002292,0.002292,0.288250,319196
5.165006,597353.329327,0.004933,rest,2,0.000000,0.000000,0.000000,0.000275,0.000275,0.458755,0.001573,0.001573,0.000000,319198
5.170006,597353.334520,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000454,-0.000454,0.449973,0.002136,0.002136,0.000000,319200
5.175006,597353.339799,0.005000,rest,2,0.000000,0.000000,0.000000,0.000630,0.000630,0.434125,0.001591,0.001591,0.216894,319202
5.180006,597353.345109,0.005000,rest,2,0.000000,0.000000,0.000000,0.000155,0.000155,0.416654,0.001127,0.001127,0.000000,319204
5.190005,597353.350285,0.009999,rest,2,0.000000,0.000000,0.000000,0.000195,0.000195,0.462815,0.002059,0.002059,0.277971,319208
5.195006,597353.355458,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000160,-0.000160,0.470976,0.001503,0.001503,0.000000,319210
5.200006,597353.360670,0.005000,rest,2,0.000000,0.000000,0.000000,0.000772,0.000772,0.463536,0.002095,0.002095,0.186425,319212
5.205011,597353.365956,0.005006,rest,2,0.000000,0.000000,0.000000,-0.000870,-0.000870,0.485420,0.001662,0.001662,0.000000,319214
5.210011,597353.371172,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000585,-0.000585,0.504966,0.002209,0.002209,0.056954,319216
5.215011,597353.376344,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000311,-0.000311,0.469872,0.001670,0.001670,0.054945,319218
5.220011,597353.381569,0.005000,rest,2,0.000000,0.000000,0.000000,-0.001336,-0.001336,0.462673,0.002200,0.002200,0.000000,319220
5.225012,597353.386870,0.005001,rest,2,0.000000,0.000000,0.000000,0.000883,0.000883,0.482192,0.001704,0.001704,0.443895,319222
5.230011,597353.392108,0.004999,rest,2,0.000000,0.000000,0.000000,-0.001701,-0.001701,0.494359,0.002198,0.002198,0.000000,319224
