t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.009067,599452.002664,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001205,-0.001205,0.624292,0.003681,0.003681,0.000000,1136820
5.009067,599452.007770,0.000001,hold,2,0.000000,0.000000,0.000000,-0.001205,-0.001205,0.624292,0.003681,0.003681,0.000000,1136820
5.019137,599452.012866,0.010070,hold,2,0.000000,0.000000,0.000000,-0.001700,-0.001700,0.627745,0.003694,0.003694,0.000000,1136824
5.024067,599452.017955,0.004929,hold,2,0.000000,0.000000,0.000000,-0.000769,-0.000769,0.639025,0.003823,0.003823,0.188927,1136826
5.029067,599452.023042,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001172,-0.001172,0.625486,0.004344,0.004344,0.000000,1136828
5.034067,599452.028131,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001358,-0.001358,0.629656,0.003817,0.003817,0.000000,1136830
5.039067,599452.033221,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000326,-0.000326,0.642179,0.004338,0.004338,0.206434,1136832
5.044067,599452.038314,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001389,-0.001389,0.656825,0.003897,0.003897,0.000000,1136834
5.049067,599452.043416,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000448,-0.000448,0.656106,0.003457,0.003457,0.188130,1136836
5.054067,599452.048518,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001360,-0.001360,0.641557,0.003770,0.003770,0.000000,1136838
5.059067,599452.053620,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001361,-0.001361,0.634422,0.004249,0.004249,0.000000,1136840
5.064067,599452.058722,0.005000,hold,2,0.000000,0.000000,0.000000,-0.001361,-0.001361,0.622814,0.003613,0.003613,0.000000,1136842
5.069067,599452.063828,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000639,-0.000639,0.614138,0.003834,0.003834,0.144408,1136844
5.074067,599452.068930,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000020,-0.000020,0.628364,0.004420,0.004420,0.123796,1136846
5.079067,599452.074036,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000772,-0.000772,0.661220,0.003620,0.003620,0.000000,1136848
5.084067,599452.079139,0.005000,hold,2,0.000000,0.000000,0.000000,0.000103,0.000103,0.676272,0.003753,0.003753,0.174890,1136850
5.089067,599452.084242,0.005000,hold,2,0.000000,0.000000,0.000000,0.001451,0.001451,0.662459,0.004231,0.004231,0.269729,1136852
5.094067,599452.089343,0.005000,hold,2,0.000000,0.000000,0.000000,0.000723,0.000723,0.633938,0.003657,0.003657,0.000000,1136854
5.099068,599452.094444,0.005001,hold,2,0.000000,0.000000,0.000000,0.000645,0.000645,0.619059,0.003775,0.003775,0.000000,1136856
5.104067,599452.099545,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000158,-0.000158,0.610210,0.004235,0.004235,0.000000,1136858
5.109067,599452.104646,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000206,-0.000206,0.587207,0.003688,0.003688,0.000000,1136860
5.114067,599452.109747,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000206,-0.000206,0.578675,0.003994,0.003994,0.000008,1136862
5.119067,599452.114850,0.005000,hold,2,0.000000,0.000000,0.000000,0.000262,0.000262,0.591473,0.003552,0.003552,0.093756,1136864
5.124067,599452.119950,0.005000,hold,2,0.000000,0.000000,0.000000,0.000262,0.000262,0.617063,0.003800,0.003800,0.000000,1136866
5.129069,599452.125038,0.005002,hold,2,0.000000,0.000000,0.000000,-0.000012,-0.000012,0.618362,0.004332,0.004332,0.000000,1136868
5.134067,599452.130140,0.004998,hold,2,0.000000,0.000000,0.000000,-0.000632,-0.000632,0.584094,0.003672,0.003672,0.000000,1136870
5.139067,599452.135242,0.004999,hold,2,0.000000,0.000000,0.000000,0.000012,0.000012,0.580322,0.004243,0.004243,0.128810,1136872
5.144067,599452.140342,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000868,-0.000868,0.578301,0.003637,0.003637,0.000000,1136874
5.149068,599452.145442,0.005001,hold,2,0.000000,0.000000,0.000000,-0.000739,-0.000739,0.615574,0.003881,0.003881,0.025858,1136876
5.154067,599452.150543,0.004999,hold,2,0.000000,0.000000,0.000000,-0.000196,-0.000196,0.649943,0.003295,0.003295,0.108672,1136878
5.159067,599452.155644,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000312,-0.000312,0.638135,0.003735,0.003735,0.000000,1136880
5.164067,599452.160745,0.005000,hold,2,0.000000,0.000000,0.000000,0.000484,0.000484,0.612561,0.004072,0.004072,0.159208,1136882
5.169067,599452.165849,0.005000,hold,2,0.000000,0.000000,0.000000,0.000959,0.000959,0.593751,0.003618,0.003618,0.094899,1136884
5.174067,599452.170951,0.005000,hold,2,0.000000,0.000000,0.000000,-0.000234,-0.000234,0.619604,0.003851,0.003851,0.000000,1136886
