t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.000005,599833.869258,0.005000,rest,2,0.000000,0.000000,0.000000,0.000842,0.000842,0.529172,0.002414,0.002414,0.333053,1288940
5.000005,599833.874367,0.000001,rest,2,0.000000,0.000000,0.000000,0.000842,0.000842,0.529172,0.002414,0.002414,0.333053,1288940
5.010094,599833.879508,0.010088,rest,2,0.000000,0.000000,0.000000,-0.000649,-0.000649,0.567960,0.002528,0.002528,0.000000,1288944
5.015005,599833.884710,0.004911,rest,2,0.000000,0.000000,0.000000,0.000100,0.000100,0.559543,0.002890,0.002890,0.152653,1288946
5.020005,599833.889853,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000967,-0.000967,0.537478,0.002390,0.002390,0.000000,1288948
5.025005,599833.894956,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000254,-0.000254,0.567110,0.002917,0.002917,0.142478,1288950
5.030006,599833.900035,0.005001,rest,2,0.000000,0.000000,0.000000,-0.001756,-0.001756,0.578979,0.002473,0.002473,0.000000,1288952
5.035553,599833.905196,0.005548,rest,2,0.000000,0.000000,0.000000,-0.000712,-0.000712,0.565326,0.002538,0.002538,0.188077,1288954
5.040005,599833.910294,0.004452,rest,2,0.000000,0.000000,0.000000,-0.000538,-0.000538,0.588355,0.002472,0.002472,0.039096,1288956
5.045005,599833.915425,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000854,-0.000854,0.613673,0.001969,0.001969,0.000000,1288958
5.050006,599833.920563,0.005001,rest,2,0.000000,0.000000,0.000000,-0.001898,-0.001898,0.607393,0.002464,0.002464,0.000000,1288960
5.055006,599833.925722,0.005000,rest,2,0.000000,0.000000,0.000000,0.000354,0.000354,0.585014,0.002034,0.002034,0.450308,1288962
5.060005,599833.930837,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000388,-0.000388,0.570714,0.002604,0.002604,0.000000,1288964
5.065005,599833.936029,0.005000,rest,2,0.000000,0.000000,0.000000,-0.001217,-0.001217,0.573834,0.002192,0.002192,0.000000,1288966
5.070005,599833.941192,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000742,-0.000742,0.606771,0.002776,0.002776,0.095035,1288968
5.075005,599833.946296,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000742,-0.000742,0.618519,0.002349,0.002349,0.000007,1288970
5.080005,599833.951399,0.005000,rest,2,0.000000,0.000000,0.000000,0.000718,0.000718,0.585812,0.002915,0.002915,0.292135,1288972
5.085005,599833.956564,0.005000,rest,2,0.000000,0.000000,0.000000,0.000718,0.000718,0.543903,0.002508,0.002508,0.000001,1288974
5.090006,599833.961762,0.005000,rest,2,0.000000,0.000000,0.000000,0.000190,0.000190,0.526224,0.002062,0.002062,0.000000,1288976
5.095006,599833.966878,0.005000,rest,2,0.000000,0.000000,0.000000,0.000333,0.000333,0.549427,0.002679,0.002679,0.028679,1288978
5.100006,599833.972122,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000813,-0.000813,0.571358,0.002267,0.002267,0.000000,1288980
5.105005,599833.977226,0.005000,rest,2,0.000000,0.000000,0.000000,0.000293,0.000293,0.561860,0.002866,0.002866,0.221230,1288982
5.110006,599833.982327,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000133,-0.000133,0.566241,0.002499,0.002499,0.000000,1288984
5.115005,599833.987477,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000751,-0.000751,0.584298,0.002090,0.002090,0.000000,1288986
5.120005,599833.992728,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000317,-0.000317,0.577020,0.002716,0.002716,0.086815,1288988
5.125005,599833.997932,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000143,-0.000143,0.551718,0.002289,0.002289,0.034772,1288990
5.130006,599834.003145,0.005000,rest,2,0.000000,0.000000,0.000000,0.000180,0.000180,0.544560,0.002912,0.002912,0.064636,1288992
5.135005,599834.008245,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000895,-0.000895,0.564403,0.002498,0.002498,0.000000,1288994
5.140006,599834.013364,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000511,-0.000511,0.587023,0.002057,0.002057,0.076861,1288996
5.150005,599834.018502,0.010000,rest,2,0.000000,0.000000,0.000000,-0.000691,-0.000691,0.532718,0.002229,0.002229,0.064980,1289000
5.155006,599834.023730,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000289,-0.000289,0.543425,0.002844,0.002844,0.080562,1289002
5.160006,599834.028929,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000763,-0.000763,0.589732,0.002452,0.002452,0.000000,1289004
5.165006,599834.034222,0.005000,rest,2,0.000000,0.000000,0.000000,0.000167,0.000167,0.583249,0.003076,0.003076,0.186181,1289006
5.170005,599834.039345,0.005000,rest,2,0.000000,0.000000,0.000000,0.000563,0.000563,0.556297,0.002659,0.002659,0.079037,1289008
5.175005,599834.044497,0.005000,rest,2,0.000000,0.000000,0.000000,-0.001869,-0.001869,0.567715,0.002235,0.002235,0.000000,1289010
5.175005,599834.049616,0.000001,rest,2,0.000000,0.000000,0.000000,-0.001869,-0.001869,0.567715,0.002235,0.002235,0.000000,1289010
5.180005,599834.054809,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000008,-0.000008,0.549285,0.002855,0.002855,0.372255,1289012
5.190557,599834.060024,0.010551,rest,2,0.000000,0.000000,0.000000,0.000215,0.000215,0.516726,0.003616,0.003616,0.112600,1289016
5.195006,599834.065206,0.004449,rest,2,0.000000,0.000000,0.000000,0.000316,0.000316,0.550456,0.002648,0.002648,0.022812,1289018
5.200005,599834.070308,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000435,-0.000435,0.589541,0.002222,0.002222,0.000000,1289020
5.205657,599834.075443,0.005652,rest,2,0.000000,0.000000,0.000000,0.000135,0.000135,0.593064,0.003514,0.003514,0.100902,1289022
5.205657,599834.080587,0.000001,rest,2,0.000000,0.000000,0.000000,0.000135,0.000135,0.593064,0.003514,0.003514,0.100902,1289022
5.210941,599834.085813,0.005284,rest,2,0.000000,0.000000,0.000000,-0.000940,-0.000940,0.561634,0.003365,0.003365,0.000000,1289024
5.221579,599834.091055,0.010638,rest,2,0.000000,0.000000,0.000000,0.000236,0.000236,0.541629,0.004238,0.004238,0.220152,1289028
5.226223,599834.096165,0.004644,rest,2,0.000000,0.000000,0.000000,-0.000322,-0.000322,0.540147,0.003446,0.003446,0.000000,1289030
5.230338,599834.101303,0.004115,rest,2,0.000000,0.000000,0.000000,0.000928,0.000928,0.541639,0.003194,0.003194,0.303832,1289032
5.235005,599834.106461,0.004667,rest,2,0.000000,0.000000,0.000000,0.000705,0.000705,0.554109,0.002525,0.002525,0.000000,1289034
5.240005,599834.111556,0.005000,rest,2,0.000000,0.000000,0.000000,0.000777,0.000777,0.534769,0.002997,0.002997,0.014301,1289036
5.245005,599834.116642,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000790,-0.000790,0.534641,0.002437,0.002437,0.000000,1289038
5.250005,599834.121719,0.005000,rest,2,0.000000,0.000000,0.000000,0.000424,0.000424,0.550782,0.003008,0.003008,0.242736,1289040
5.255005,599834.126799,0.004999,rest,2,0.000000,0.000000,0.000000,-0.000407,-0.000407,0.559259,0.002484,0.002484,0.000000,1289042
5.260007,599834.131890,0.005002,rest,2,0.000000,0.000000,0.000000,-0.000080,-0.000080,0.555301,0.002127,0.002127,0.065310,1289044
5.265467,599834.137010,0.005460,rest,2,0.000000,0.000000,0.000000,-0.000954,-0.000954,0.530957,0.003170,0.003170,0.000000,1289046
5.270005,599834.142101,0.004537,rest,2,0.000000,0.000000,0.000000,-0.000182,-0.000182,0.549061,0.002327,0.002327,0.170066,1289048
5.275006,599834.147247,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000110,-0.000110,0.570403,0.002909,0.002909,0.014567,1289050
5.280005,599834.152338,0.005000,rest,2,0.000000,0.000000,0.000000,-0.001112,-0.001112,0.577352,0.002502,0.002502,0.000000,1289052
5.285005,599834.157465,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000080,-0.000080,0.564371,0.003073,0.003073,0.206403,1289054
5.290020,599834.162601,0.005015,rest,2,0.000000,0.000000,0.000000,-0.001112,-0.001112,0.560036,0.002641,0.002641,0.000000,1289056
5.295005,599834.167693,0.004986,rest,2,0.000000,0.000000,0.000000,-0.001690,-0.001690,0.580924,0.002095,0.002095,0.000000,1289058
5.300005,599834.172848,0.005000,rest,2,0.000000,0.000000,0.000000,-0.002482,-0.002482,0.584296,0.002648,0.002648,0.000000,1289060
5.305005,599834.177976,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000310,-0.000310,0.550419,0.002177,0.002177,0.434515,1289062
5.310007,599834.183029,0.005002,rest,2,0.000000,0.000000,0.000000,-0.000656,-0.000656,0.526291,0.002754,0.002754,0.000000,1289064
5.315005,599834.188149,0.004999,rest,2,0.000000,0.000000,0.000000,-0.002117,-0.002117,0.556192,0.002343,0.002343,0.000000,1289066
5.320005,599834.193238,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000808,-0.000808,0.565505,0.002917,0.002917,0.261721,1289068
5.325006,599834.198324,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000735,-0.000735,0.570763,0.002480,0.002480,0.014604,1289070
5.330005,599834.203424,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000808,-0.000808,0.583127,0.002976,0.002976,0.000000,1289072
5.340008,599834.208508,0.010002,rest,2,0.000000,0.000000,0.000000,-0.000309,-0.000309,0.581903,0.001772,0.001772,0.000000,1289076
5.345005,599834.213593,0.004997,rest,2,0.000000,0.000000,0.000000,-0.000959,-0.000959,0.611420,0.002368,0.002368,0.000000,1289078
5.350006,599834.218676,0.005001,rest,2,0.000000,0.000000,0.000000,0.000044,0.000044,0.575617,0.002906,0.002906,0.200610,1289080
5.355006,599834.223765,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000606,-0.000606,0.524979,0.002496,0.002496,0.000000,1289082
5.360005,599834.228846,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000807,-0.000807,0.546203,0.002031,0.002031,0.000000,1289084
5.365005,599834.233960,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000807,-0.000807,0.557286,0.002629,0.002629,0.000002,1289086
5.370005,599834.239098,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000837,-0.000837,0.561191,0.002217,0.002217,0.000000,1289088
5.375005,599834.244191,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000837,-0.000837,0.575281,0.002816,0.002816,0.000001,1289090
5.380005,599834.249271,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000836,-0.000836,0.577867,0.002399,0.002399,0.000182,1289092
5.385005,599834.254425,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000836,-0.000836,0.576118,0.001964,0.001964,0.000002,1289094
5.385005,599834.259556,0.000001,rest,2,0.000000,0.000000,0.000000,-0.000836,-0.000836,0.576118,0.001964,0.001964,0.000002,1289094
5.395491,599834.264667,0.010486,rest,2,0.000000,0.000000,0.000000,-0.000677,-0.000677,0.583776,0.002520,0.002520,0.122824,1289098
5.400005,599834.269757,0.004514,chirp,2,0.000000,0.000000,0.000000,-0.001278,-0.001278,0.587370,0.002620,0.002620,0.000000,1289100
5.405005,599834.274880,0.005000,chirp,2,0.000096,0.000096,0.000096,-0.000761,-0.000761,0.573615,0.002144,0.002144,0.103410,1289102
