t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.000007,601847.189725,0.005000,rest,0,0.000000,,,0.000287,0.000287,0.665280,0.003424,0.003424,0.000041,3584
5.005005,601847.194923,0.004998,rest,0,0.000000,,,0.000135,0.000135,0.667787,0.004063,0.004063,0.000000,3586
5.010922,601847.200029,0.005917,rest,0,0.000000,,,-0.000798,-0.000798,0.644256,0.004588,0.004588,0.000000,3588
5.015286,601847.205194,0.004364,rest,0,0.000000,,,-0.000220,-0.000220,0.629351,0.003530,0.003530,0.132393,3590
5.020006,601847.210297,0.004720,rest,0,0.000000,,,-0.000203,-0.000203,0.617415,0.003885,0.003885,0.003680,3592
5.025005,601847.215405,0.005000,rest,0,0.000000,,,-0.001224,-0.001224,0.642685,0.003465,0.003465,0.000000,3594
5.030006,601847.220543,0.005000,rest,0,0.000000,,,-0.000490,-0.000490,0.696158,0.004107,0.004107,0.146671,3596
5.035006,601847.225667,0.005000,rest,0,0.000000,,,-0.001152,-0.001152,0.737159,0.003707,0.003707,0.000000,3598
5.040006,601847.230899,0.005000,rest,0,0.000000,,,-0.001926,-0.001926,0.754635,0.003269,0.003269,0.000000,3600
5.050006,601847.236000,0.010000,rest,0,0.000000,,,-0.002078,-0.002078,0.640965,0.003481,0.003481,0.000000,3604
5.055005,601847.241182,0.005000,rest,0,0.000000,,,-0.000799,-0.000799,0.684178,0.004118,0.004118,0.255872,3606
5.060006,601847.246286,0.005000,rest,0,0.000000,,,-0.000830,-0.000830,0.751285,0.003708,0.003708,0.000000,3608
5.065006,601847.251389,0.005001,rest,0,0.000000,,,-0.002007,-0.002007,0.767355,0.003279,0.003279,0.000000,3610
5.070005,601847.256532,0.004999,rest,0,0.000000,,,0.000276,0.000276,0.726645,0.003920,0.003920,0.456704,3612
5.075006,601847.261745,0.005000,rest,0,0.000000,,,0.000294,0.000294,0.654300,0.003495,0.003495,0.003524,3614
5.080006,601847.266971,0.005000,rest,0,0.000000,,,-0.000861,-0.000861,0.630993,0.004145,0.004145,0.000000,3616
5.085006,601847.272131,0.005000,rest,0,0.000000,,,-0.001824,-0.001824,0.626405,0.003780,0.003780,0.000000,3618
5.090005,601847.277260,0.004999,rest,0,0.000000,,,-0.001864,-0.001864,0.640705,0.003359,0.003359,0.000000,3620
5.095006,601847.282371,0.005000,rest,0,0.000000,,,-0.001358,-0.001358,0.646185,0.003989,0.003989,0.101229,3622
5.100006,601847.287479,0.005000,rest,0,0.000000,,,-0.000739,-0.000739,0.667836,0.003607,0.003607,0.123625,3624
5.105006,601847.292629,0.005000,rest,0,0.000000,,,-0.001063,-0.001063,0.705499,0.004206,0.004206,0.000000,3626
5.110006,601847.297700,0.005001,rest,0,0.000000,,,-0.001561,-0.001561,0.692389,0.003819,0.003819,0.000000,3628
5.115006,601847.302778,0.004999,rest,0,0.000000,,,-0.000950,-0.000950,0.675197,0.003402,0.003402,0.122225,3630
5.120006,601847.307855,0.005000,rest,0,0.000000,,,-0.001225,-0.001225,0.675157,0.004044,0.004044,0.000000,3632
5.125005,601847.313066,0.005000,rest,0,0.000000,,,-0.001802,-0.001802,0.707209,0.003663,0.003663,0.000000,3634
5.130006,601847.318275,0.005001,rest,0,0.000000,,,-0.000069,-0.000069,0.755612,0.003262,0.003262,0.346461,3636
5.135005,601847.323381,0.004999,rest,0,0.000000,,,-0.000798,-0.000798,0.752491,0.003901,0.003901,0.000000,3638
5.140006,601847.328517,0.005000,rest,0,0.000000,,,-0.000483,-0.000483,0.711023,0.003496,0.003496,0.063088,3640
5.145006,601847.333722,0.005000,rest,0,0.000000,,,-0.000100,-0.000100,0.697998,0.004055,0.004055,0.076504,3642
5.150006,601847.338828,0.005000,rest,0,0.000000,,,-0.000100,-0.000100,0.711587,0.003663,0.003663,0.000001,3644
5.155005,601847.344026,0.005000,rest,0,0.000000,,,0.000428,0.000428,0.728230,0.003228,0.003228,0.105701,3646
5.160006,601847.349254,0.005000,rest,0,0.000000,,,0.000428,0.000428,0.714066,0.003838,0.003838,0.000000,3648
5.165006,601847.354480,0.005000,rest,0,0.000000,,,0.000356,0.000356,0.686227,0.003431,0.003431,0.000000,3650
5.170006,601847.359628,0.005000,rest,0,0.000000,,,-0.000221,-0.000221,0.662974,0.004063,0.004063,0.000000,3652
5.175006,601847.364853,0.005000,rest,0,0.000000,,,0.000813,0.000813,0.639689,0.003668,0.003668,0.206770,3654
5.180006,601847.370152,0.005000,rest,0,0.000000,,,-0.000689,-0.000689,0.658066,0.003255,0.003255,0.000000,3656
5.185006,601847.375354,0.005000,rest,0,0.000000,,,-0.001297,-0.001297,0.690739,0.003882,0.003882,0.000000,3658
5.190006,601847.380501,0.005000,rest,0,0.000000,,,0.000204,0.000204,0.653378,0.003445,0.003445,0.300122,3660
5.195006,601847.385732,0.005000,rest,0,0.000000,,,0.000356,0.000356,0.619795,0.004085,0.004085,0.030462,3662
