t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.016319,602679.832051,0.005000,rest,1,0.000000,,,0.000735,0.000735,0.649056,0.001730,0.001730,0.239109,4292
5.021320,602679.837138,0.005001,rest,1,0.000000,,,-0.001371,-0.001371,0.606131,0.001298,0.001298,0.000000,4294
5.026833,602679.842257,0.005513,rest,1,0.000000,,,-0.000278,-0.000278,0.598987,0.002369,0.002369,0.198229,4296
5.031319,602679.847399,0.004486,rest,1,0.000000,,,-0.000928,-0.000928,0.611467,0.001451,0.001451,0.000000,4298
5.036319,602679.852568,0.005000,rest,1,0.000000,,,-0.000928,-0.000928,0.607390,0.006399,0.006399,0.000000,4300
5.041319,602679.857768,0.005000,rest,1,0.000000,,,-0.000928,-0.000928,0.603303,0.004430,0.004430,0.000000,4302
5.046319,602679.862979,0.005000,rest,1,0.000000,,,0.000137,0.000137,0.603763,0.004402,0.004402,0.212914,4304
5.051319,602679.868151,0.005000,rest,1,0.000000,,,-0.000939,-0.000939,0.640868,0.001309,0.001309,0.000000,4306
5.056320,602679.873265,0.005000,rest,1,0.000000,,,-0.000939,-0.000939,0.692088,0.006257,0.006257,0.000000,4308
5.061319,602679.878382,0.005000,rest,1,0.000000,,,-0.000351,-0.000351,0.675884,0.001306,0.001306,0.117553,4310
5.066319,602679.883497,0.005000,rest,1,0.000000,,,-0.000351,-0.000351,0.625325,0.006246,0.006246,0.000000,4312
5.071319,602679.888618,0.005000,rest,1,0.000000,,,-0.001720,-0.001720,0.611186,0.001233,0.001233,0.000000,4314
5.076320,602679.893779,0.005000,rest,1,0.000000,,,-0.001319,-0.001319,0.622772,0.001851,0.001851,0.080335,4316
5.081319,602679.898947,0.005000,rest,1,0.000000,,,-0.000922,-0.000922,0.648728,0.001234,0.001234,0.079295,4318
5.086320,602679.904135,0.005000,rest,1,0.000000,,,-0.000323,-0.000323,0.659971,0.001858,0.001858,0.119921,4320
5.091319,602679.909261,0.005000,rest,1,0.000000,,,-0.000171,-0.000171,0.671068,0.001266,0.001266,0.030398,4322
5.096319,602679.914380,0.005000,rest,1,0.000000,,,-0.000171,-0.000171,0.696958,0.006198,0.006198,0.000000,4324
5.106320,602679.919693,0.010001,rest,1,0.000000,,,0.000772,0.000772,0.597809,0.001131,0.001131,0.127219,4328
5.111319,602679.924899,0.004999,rest,1,0.000000,,,-0.000290,-0.000290,0.535114,0.001752,0.001752,0.000000,4330
5.116319,602679.930130,0.005000,rest,1,0.000000,,,0.000407,0.000407,0.512804,0.001305,0.001305,0.139526,4332
5.121319,602679.935233,0.005000,rest,1,0.000000,,,0.000407,0.000407,0.490780,0.006248,0.006248,0.000000,4334
5.126319,602679.940327,0.005000,rest,1,0.000000,,,-0.001114,-0.001114,0.532708,0.004406,0.004406,0.000000,4336
5.131320,602679.945422,0.005000,rest,1,0.000000,,,-0.000971,-0.000971,0.612231,0.004357,0.004357,0.028567,4338
5.136319,602679.950512,0.005000,rest,1,0.000000,,,-0.000149,-0.000149,0.637446,0.001283,0.001283,0.164359,4340
5.141320,602679.955599,0.005000,rest,1,0.000000,,,-0.000651,-0.000651,0.659577,0.001900,0.001900,0.000000,4342
5.146319,602679.960702,0.005000,rest,1,0.000000,,,0.000454,0.000454,0.694830,0.001494,0.001494,0.220992,4344
5.151321,602679.965837,0.005001,rest,1,0.000000,,,0.000454,0.000454,0.707171,0.006444,0.006444,0.000000,4346
5.156319,602679.970938,0.004999,rest,1,0.000000,,,0.002751,0.002751,0.710569,0.001120,0.001120,0.459448,4348
5.161319,602679.976173,0.005000,rest,1,0.000000,,,-0.000487,-0.000487,0.689408,0.001753,0.001753,0.000000,4350
5.166320,602679.981280,0.005000,rest,1,0.000000,,,0.001376,0.001376,0.658624,0.001220,0.001220,0.372598,4352
5.171319,602679.986383,0.005000,rest,1,0.000000,,,0.000376,0.000376,0.623671,0.001833,0.001833,0.000000,4354
5.176320,602679.991600,0.005000,rest,1,0.000000,,,0.001772,0.001772,0.590745,0.001305,0.001305,0.279295,4356
5.181319,602679.996811,0.005000,rest,1,0.000000,,,0.001239,0.001239,0.585255,0.001923,0.001923,0.000000,4358
5.186319,602680.002018,0.005000,rest,1,0.000000,,,0.001239,0.001239,0.554886,0.001495,0.001495,0.000006,4360
5.191319,602680.007258,0.005000,rest,1,0.000000,,,0.001239,0.001239,0.504702,0.006438,0.006438,0.000000,4362
5.196319,602680.012498,0.005000,rest,1,0.000000,,,0.001063,0.001063,0.517160,0.004462,0.004462,0.000000,4364
5.201319,602680.017730,0.005000,rest,1,0.000000,,,0.000863,0.000863,0.555995,0.001278,0.001278,0.000000,4366
5.206319,602680.022923,0.005000,rest,1,0.000000,,,0.000619,0.000619,0.584364,0.001899,0.001899,0.000000,4368
5.211320,602680.028038,0.005000,rest,1,0.000000,,,-0.001034,-0.001034,0.606249,0.001256,0.001256,0.000000,4370
5.216319,602680.033159,0.004999,rest,1,0.000000,,,-0.001204,-0.001204,0.619949,0.001868,0.001868,0.000000,4372
5.221319,602680.038262,0.005000,rest,1,0.000000,,,-0.000790,-0.000790,0.621901,0.001451,0.001451,0.082665,4374
5.226319,602680.043367,0.005000,rest,1,0.000000,,,-0.000790,-0.000790,0.608628,0.006398,0.006398,0.000000,4376
5.231320,602680.048468,0.005001,rest,1,0.000000,,,-0.001295,-0.001295,0.616434,0.001298,0.001298,0.000000,4378
5.236320,602680.053573,0.005000,rest,1,0.000000,,,-0.002953,-0.002953,0.624851,0.001921,0.001921,0.000000,4380
5.241320,602680.058674,0.005000,rest,1,0.000000,,,-0.001411,-0.001411,0.638108,0.001441,0.001441,0.308362,4382
5.246320,602680.063777,0.005000,rest,1,0.000000,,,-0.001411,-0.001411,0.663958,0.006386,0.006386,0.000000,4384
5.251319,602680.068880,0.005000,rest,1,0.000000,,,0.000198,0.000198,0.667752,0.001309,0.001309,0.321849,4386
