t_wall_s,t_mono_s,dt_actual_s,phase,v_cmd_vx,v_cmd_vy,v_cmd_vz,v_cmd_wx,v_cmd_wy,v_cmd_wz,fz,feedback_age_s,motion_seq
5.005005,685544.289572,0.005000,air_chirp,0.000000,0.000000,0.000754,0.000000,0.000000,0.000000,-0.273015,0.001429,3206
5.005005,685544.294823,0.000001,air_chirp,0.000000,0.000000,0.000754,0.000000,0.000000,0.000000,-0.273015,0.001429,3206
5.016086,685544.299965,0.011081,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.348724,0.002654,3210
5.020419,685544.305131,0.004333,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.334458,0.001451,3212
5.025005,685544.310238,0.004586,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.298144,0.005983,3214
5.030005,685544.315380,0.005000,air_chirp,0.000000,0.000000,0.000756,0.000000,0.000000,0.000000,-0.295285,0.004431,3216
5.035005,685544.320518,0.005000,air_chirp,0.000000,0.000000,0.000756,0.000000,0.000000,0.000000,-0.306042,0.001248,3218
5.040005,685544.325658,0.005000,air_chirp,0.000000,0.000000,0.000756,0.000000,0.000000,0.000000,-0.317871,0.006190,3220
5.045005,685544.330819,0.005000,air_chirp,0.000000,0.000000,0.000756,0.000000,0.000000,0.000000,-0.292593,0.001223,3222
5.050005,685544.335915,0.005000,air_chirp,0.000000,0.000000,0.000756,0.000000,0.000000,0.000000,-0.264394,0.006169,3224
5.055005,685544.341089,0.004999,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.350288,0.004435,3226
5.060006,685544.346185,0.005001,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.319301,0.004361,3228
5.065005,685544.351281,0.004999,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.243272,0.004907,3230
5.070006,685544.356439,0.005001,air_chirp,0.000000,0.000000,0.000755,0.000000,0.000000,0.000000,-0.359213,0.004395,3232
5.075006,685544.361534,0.004999,air_chirp,0.000000,0.000000,0.000754,0.000000,0.000000,0.000000,-0.382582,0.001221,3234
5.080005,685544.366684,0.004999,air_chirp,0.000000,0.000000,0.000754,0.000000,0.000000,0.000000,-0.329009,0.006160,3236
5.085007,685544.371786,0.005002,air_chirp,0.000000,0.000000,0.000753,0.000000,0.000000,0.000000,-0.343779,0.004463,3238
5.090006,685544.376882,0.005000,air_chirp,0.000000,0.000000,0.000752,0.000000,0.000000,0.000000,-0.366758,0.004365,3240
5.095005,685544.382022,0.004999,air_chirp,0.000000,0.000000,0.000751,0.000000,0.000000,0.000000,-0.328845,0.001159,3242
5.100005,685544.387163,0.005000,air_chirp,0.000000,0.000000,0.000751,0.000000,0.000000,0.000000,-0.283309,0.006097,3244
