t_wall_s,t_mono_s,dt_actual_s,phase,axis,vel_ff,vel_ff_vz,v_cmd_z,v_ach,vz_achieved_tool,fz,feedback_age_s,sensor_age_s,a_tcp_z_plus,motion_seq
5.000541,611085.388219,0.005000,rest,2,0.000000,0.000000,0.000000,-0.000719,-0.000719,0.253365,0.003164,0.003164,0.000000,7232
5.000541,611085.393325,0.000001,rest,2,0.000000,0.000000,0.000000,-0.000719,-0.000719,0.253365,0.003164,0.003164,0.000000,7232
5.010866,611085.398467,0.010325,rest,2,0.000000,0.000000,0.000000,0.000019,0.000019,0.179179,0.003515,0.003515,0.121470,7236
5.015582,611085.403650,0.004717,rest,2,0.000000,0.000000,0.000000,-0.001411,-0.001411,0.208468,0.003919,0.003919,0.000000,7238
5.020541,611085.408864,0.004958,rest,2,0.000000,0.000000,0.000000,-0.000438,-0.000438,0.241308,0.003147,0.003147,0.196180,7240
5.025542,611085.414099,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000408,-0.000408,0.233124,0.003538,0.003538,0.005959,7242
5.030546,611085.419213,0.005005,rest,2,0.000000,0.000000,0.000000,0.000169,0.000169,0.242450,0.003183,0.003183,0.115276,7244
5.035551,611085.424377,0.005005,rest,2,0.000000,0.000000,0.000000,-0.001412,-0.001412,0.264443,0.003600,0.003600,0.000000,7246
5.040542,611085.429524,0.004990,rest,2,0.000000,0.000000,0.000000,-0.001017,-0.001017,0.275074,0.003016,0.003016,0.079220,7248
5.046245,611085.434664,0.005703,rest,2,0.000000,0.000000,0.000000,-0.001382,-0.001382,0.247800,0.004233,0.004233,0.000000,7250
5.051252,611085.439782,0.005006,rest,2,0.000000,0.000000,0.000000,-0.001630,-0.001630,0.229533,0.003728,0.003728,0.000000,7252
5.055541,611085.444932,0.004289,rest,2,0.000000,0.000000,0.000000,-0.001304,-0.001304,0.243128,0.003521,0.003521,0.075875,7254
5.060668,611085.450079,0.005127,rest,2,0.000000,0.000000,0.000000,0.000136,0.000136,0.279999,0.003129,0.003129,0.281016,7256
5.066180,611085.455231,0.005513,rest,2,0.000000,0.000000,0.000000,0.000094,0.000094,0.305261,0.004093,0.004093,0.000000,7258
5.070673,611085.460388,0.004493,rest,2,0.000000,0.000000,0.000000,0.000165,0.000165,0.294663,0.003101,0.003101,0.015961,7260
5.075541,611085.465523,0.004868,rest,2,0.000000,0.000000,0.000000,0.000562,0.000562,0.301078,0.003505,0.003505,0.081455,7262
5.080541,611085.470653,0.004999,rest,2,0.000000,0.000000,0.000000,0.000615,0.000615,0.315570,0.002970,0.002970,0.010521,7264
5.085541,611085.475787,0.005000,rest,2,0.000000,0.000000,0.000000,0.001515,0.001515,0.323157,0.003175,0.003175,0.180112,7266
5.090541,611085.480877,0.004999,rest,2,0.000000,0.000000,0.000000,0.000383,0.000383,0.262776,0.003657,0.003657,0.000000,7268
5.095541,611085.486131,0.005000,rest,2,0.000000,0.000000,0.000000,0.001011,0.001011,0.218727,0.003031,0.003031,0.125634,7270
5.100542,611085.491262,0.005001,rest,2,0.000000,0.000000,0.000000,0.001011,0.001011,0.224244,0.003591,0.003591,0.000019,7272
5.105546,611085.496418,0.005004,rest,2,0.000000,0.000000,0.000000,0.001761,0.001761,0.209784,0.003064,0.003064,0.149982,7274
5.110541,611085.501546,0.004995,rest,2,0.000000,0.000000,0.000000,0.000657,0.000657,0.215540,0.003687,0.003687,0.000000,7276
5.115540,611085.506664,0.004999,rest,2,0.000000,0.000000,0.000000,0.000657,0.000657,0.232651,0.003076,0.003076,0.000000,7278
5.120554,611085.511809,0.005013,rest,2,0.000000,0.000000,0.000000,0.000382,0.000382,0.255435,0.003634,0.003634,0.000000,7280
5.125541,611085.516916,0.004987,rest,2,0.000000,0.000000,0.000000,0.001082,0.001082,0.262108,0.003091,0.003091,0.140454,7282
5.130541,611085.522020,0.004999,rest,2,0.000000,0.000000,0.000000,0.000454,0.000454,0.252119,0.003510,0.003510,0.000000,7284
5.135547,611085.527212,0.005006,rest,2,0.000000,0.000000,0.000000,-0.000627,-0.000627,0.255442,0.003182,0.003182,0.000000,7286
5.141289,611085.532319,0.005742,rest,2,0.000000,0.000000,0.000000,-0.000454,-0.000454,0.258891,0.004265,0.004265,0.030097,7288
5.145550,611085.537430,0.004261,rest,2,0.000000,0.000000,0.000000,-0.001204,-0.001204,0.251807,0.002983,0.002983,0.000000,7290
5.155541,611085.542543,0.009991,rest,2,0.000000,0.000000,0.000000,-0.000583,-0.000583,0.221567,0.002960,0.002960,0.124217,7294
5.160541,611085.547664,0.005001,rest,2,0.000000,0.000000,0.000000,-0.000656,-0.000656,0.238380,0.003492,0.003492,0.000000,7296
