frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788954180425935142,0.0,False,0.056910569105691054,0.0024390243902439024,0.005284552845528456,0.020588235294117647,0.0,0.0,0.016244725738396623,0.0018987341772151896,0.005063291139240507,nan,nan,nan,nan,nan,nan,nan
1,1788954180457827260,0.031892118000000004,False,0.03414634146341464,0.0012195121951219512,0.005691056910569106,0.00980392156862745,0.0,0.0,0.006118143459915612,0.0008438818565400843,0.003164556962025317,nan,nan,nan,nan,nan,nan,nan
2,1788954180493826366,0.067891224,False,0.032520325203252036,0.0008130081300813009,0.006097560975609756,0.008823529411764706,0.0,0.0,0.0065400843881856545,0.0010548523206751054,0.00379746835443038,nan,nan,nan,nan,nan,nan,nan
3,1788954180525898616,0.09996347400000001,False,0.004878048780487805,0.0,0.00040650406504065046,0.000980392156862745,0.0,0.0,0.004641350210970464,0.00042194092827004215,0.006118143459915611,nan,nan,nan,nan,nan,nan,nan
4,1788954180557899774,0.131964632,True,0.0032520325203252037,0.0,0.0,0.000980392156862745,0.0,0.0,0.005274261603375527,0.0008438818565400843,0.0065400843881856545,0.7231273050776048,2.0257087642912595,4.09105720607286,0.09679841219682352,0.010445584975389943,0.05104121624609294,-0.0003151231937035275
5,1788954180593858963,0.167923821,True,0.0,0.0,0.00040650406504065046,0.0,0.0,0.0,0.0035864978902953584,0.0006329113924050633,0.005274261603375527,0.7999479706373105,2.402069190184891,4.032198916701695,0.12020078528216938,0.01048818220911961,0.0753157132643803,-0.009601988102063185
6,1788954180626578020,0.20064287800000002,True,0.0,0.0,0.0008130081300813009,0.0,0.0,0.0,0.003164556962025317,0.0014767932489451476,0.005485232067510548,0.708526594133233,2.247659584567002,4.19159932257054,0.11091045904102306,0.011998709713722994,0.069208786234283,0.006061235742406112
7,1788954180657867779,0.23193263700000002,True,0.0,0.0,0.0008130081300813009,0.0,0.0,0.0,0.0018987341772151896,0.00021097046413502107,0.004430379746835443,0.6863807622525093,2.2336390963317414,4.091670046292188,0.09976427761541415,0.017127270800974276,0.053335065970380666,0.02341962476912456
8,1788954180693672816,0.26773767400000004,True,0.0,0.0008130081300813009,0.0,0.0,0.0,0.0,0.003164556962025317,0.00021097046413502107,0.006118143459915612,0.5081225981898039,2.166034847622525,4.181197965222943,0.10136252099521217,0.02428220174787607,0.05697402231224883,0.0
9,1788954180725656438,0.299721296,True,0.0,0.0016260162601626018,0.0,0.0,0.0,0.0,0.003797468354430379,0.00021097046413502107,0.00590717299578059,0.5832806319261223,2.2296729152295454,3.9746089746355597,0.10511014134599059,0.016618029301971565,0.06501039460151975,0.008431617044048472
