frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.03125,left,False
1,0.032254576,False,0.03125,left,False
2,0.064282252,False,0.03125,left,False
3,0.100066974,False,0.03125,left,False
4,0.131954722,False,0.03125,left,False
5,0.164029019,False,0.03125,left,True
6,0.199957762,False,0.03125,left,True
7,0.232010609,False,0.03125,left,True
8,0.26400148,False,0.0625,left,True
9,0.299964118,False,0.0625,left,True
10,0.332212448,False,0.0625,left,True
11,0.363977891,False,0.0625,left,True
12,0.399982029,False,0.0625,left,True
13,0.43198120900000003,False,0.0625,left,True
14,0.464061084,False,0.0625,left,True
15,0.49990957700000005,False,0.0625,left,True
16,0.531998422,False,0.0625,left,True
17,0.563964609,False,0.0625,left,True
18,0.599960292,False,0.0625,left,True
19,0.631963523,False,0.0625,left,True
20,0.664029247,False,0.0625,left,True
21,0.6999294370000001,False,0.0625,left,True
22,0.7319973030000001,False,0.0625,left,True
23,0.763996122,False,0.0625,left,True
24,0.799932755,False,0.0625,left,True
25,0.8319474210000001,False,0.0625,left,True
26,0.864036911,False,0.0625,left,True
27,0.899979729,False,0.0625,left,True
28,0.931999184,False,0.0625,left,True
29,0.9640293360000001,False,0.0625,left,True
30,0.9999880950000001,False,0.0625,left,True
31,1.0319654500000002,False,0.0625,left,True
32,1.064018138,False,0.0625,left,True
33,1.100064156,False,0.09375,left,True
34,1.1320642360000002,False,0.09375,left,True
35,1.164109184,False,0.09375,left,True
36,1.200112349,False,0.09375,left,True
37,1.232049697,False,0.09375,left,True
38,1.264340861,False,0.09375,left,True
39,1.300158345,True,0.125,left,True
40,1.3322506120000002,True,0.125,left,True
41,1.3643343140000002,True,0.125,left,True
42,1.4000574410000002,True,0.125,left,True
43,1.4320778150000002,True,0.125,left,True
44,1.46403933,True,0.125,left,True
45,1.500190315,True,0.125,left,True
46,1.532101012,True,0.125,left,True
47,1.5640774610000001,True,0.125,left,True
48,1.599982765,True,0.15625,left,True
49,1.632160032,True,0.15625,left,True
50,1.6643648510000002,True,0.15625,left,True
51,1.700115174,True,0.15625,left,True
52,1.7320384400000002,True,0.15625,left,True
53,1.764006109,True,0.15625,left,True
54,1.799994005,True,0.15625,left,True
55,1.8319684410000001,True,0.1875,left,True
56,1.864076206,True,0.1875,left,True
57,1.899952716,True,0.1875,left,True
58,1.932448447,True,0.1875,left,True
59,1.96406477,True,0.1875,left,True
60,2.00001001,True,0.1875,left,True
61,2.031946941,True,0.1875,left,True
62,2.064106749,True,0.1875,left,True
63,2.100023771,True,0.1875,left,True
64,2.132068132,True,0.15625,left,True
65,2.164079758,True,0.15625,left,True
66,2.200024463,True,0.125,left,True
67,2.232129017,True,0.125,left,True
68,2.264064726,True,0.125,left,True
69,2.30001246,True,0.125,left,True
70,2.3320255910000003,True,0.125,left,True
71,2.364014729,True,0.125,left,True
72,2.4000046740000003,True,0.125,left,True
73,2.432000019,True,0.125,left,True
74,2.4640359480000003,True,0.125,left,True
75,2.500013092,False,0.09375,left,True
76,2.532018023,False,0.09375,left,True
77,2.5641406420000004,False,0.09375,left,True
78,2.6000564560000003,False,0.09375,left,True
79,2.632119656,False,0.09375,left,True
80,2.6640598040000003,False,0.09375,left,True
81,2.7001493620000003,False,0.09375,left,True
82,2.7321446380000003,False,0.09375,left,True
83,2.7641628000000003,False,0.09375,left,True
84,2.800085964,False,0.09375,left,True
85,2.8320427240000003,False,0.09375,left,True
86,2.864055988,True,0.125,left,True
87,2.8999745850000003,True,0.125,left,True
88,2.932062875,True,0.125,left,True
89,2.9640327930000003,True,0.125,left,True
90,3.000013898,True,0.125,left,True
91,3.032023606,True,0.125,left,True
92,3.0640406280000003,True,0.125,left,True
93,3.1000179350000003,True,0.125,left,True
94,3.1320174130000002,True,0.125,left,True
95,3.164178175,True,0.125,left,True
96,3.200103689,True,0.125,left,True
97,3.2321567910000004,True,0.125,left,True
98,3.264060939,True,0.125,left,True
99,3.299985565,True,0.125,left,True
100,3.3320055610000003,False,0.09375,left,True
101,3.364078333,False,0.09375,left,True
102,3.4000080280000002,False,0.09375,left,True
103,3.432055821,False,0.09375,left,True
104,3.46417154,False,0.09375,left,True
105,3.50013108,False,0.09375,left,True
106,3.5323310230000002,False,0.09375,left,True
107,3.564114185,False,0.09375,left,True
108,3.6000327430000003,False,0.09375,left,True
109,3.6321060220000003,False,0.09375,left,True
110,3.664141057,False,0.09375,left,True
111,3.700024356,False,0.09375,left,True
112,3.7320898860000002,False,0.09375,left,True
113,3.7643461990000002,False,0.09375,left,True
114,3.800069428,False,0.09375,left,True
115,3.8320493800000004,False,0.09375,left,True
116,3.864209793,False,0.0625,left,True
117,3.9000438410000005,False,0.0625,left,True
118,3.9320379200000004,False,0.0625,left,True
119,3.9640501680000004,False,0.0625,left,True
120,4.000060019,False,0.03125,left,True
121,4.032074797,False,0.03125,left,True
122,4.0640419340000005,False,0.03125,left,True
123,4.099969349,False,0.03125,left,True
124,4.132073244,False,0.03125,left,True
125,4.164355155,False,0.0,none,True
126,4.2000325190000005,False,0.0,none,True
127,4.232175896,False,0.0,none,True
128,4.264103264,False,0.0,none,True
129,4.300482865,False,0.0,none,True
130,4.33205099,False,0.0,none,True
131,4.364335661,False,0.0,none,True
132,4.400068564000001,False,0.0,none,True
133,4.432058052,False,0.0,none,True
134,4.464109716,False,0.0,none,True
135,4.500142505,False,0.0,none,True
136,4.53205448,False,0.0,none,True
137,4.56414799,False,0.0,none,True
138,4.600147087,False,0.0,none,True
139,4.632065529,False,0.0,none,True
140,4.66417979,False,0.0,none,True
141,4.700108804,False,0.0,none,True
142,4.732141854,False,0.0,none,True
143,4.764151227,False,0.0,none,True
144,4.800133168,False,0.0,none,True
145,4.8321203530000005,False,0.0,none,True
146,4.864225405,False,0.0,none,True
147,4.900067754,False,0.0,none,True
148,4.932081834,False,0.0,none,True
149,4.964214464,False,0.0,none,True
150,5.000252587,False,0.0,none,True
151,5.03434575,False,0.0,none,True
152,5.066413894,False,0.0,none,True
153,5.100261270000001,False,0.0,none,True
154,5.132355871000001,False,0.0,none,True
155,5.164431589,False,0.0,none,True
156,5.200276577,False,0.0,none,True
157,5.232244802,False,0.0,none,True
158,5.264406175,False,0.0,none,True
159,5.300214614000001,False,0.0,none,True
160,5.332374601000001,False,0.0,none,True
161,5.364281176,False,0.0,none,True
162,5.400270947,False,0.0,none,True
163,5.432262298,False,0.0,none,True
164,5.464471226000001,False,0.0,none,True
165,5.500293518,False,0.0,none,True
166,5.532327446,False,0.0,none,True
167,5.564292698,False,0.0,none,True
168,5.600329738,False,0.0,none,True
169,5.632323863000001,False,0.0,none,True
170,5.664418714,False,0.0,none,True
171,5.70024274,False,0.0,none,True
172,5.73235995,False,0.0,none,True
173,5.76427679,False,0.0,none,True
174,5.800233724,False,0.0,none,True
175,5.832237328000001,False,0.0,none,True
176,5.864227103,False,0.0,none,True
177,5.900326343000001,False,0.0,none,True
178,5.932221778000001,False,0.0,none,True
179,5.964324102,False,0.0,none,True
180,6.0001702660000005,False,0.0,none,True
181,6.032145917,False,0.0,none,True
182,6.0641877410000005,False,0.0,none,True
183,6.100163656,False,0.0,none,True
184,6.132156086,False,0.0,none,True
185,6.164172554,False,0.0,none,True
186,6.2001250390000004,False,0.0,none,True
187,6.232242977,False,0.0,none,True
188,6.264258396000001,False,0.0,none,True
189,6.300112984,False,0.0,none,True
190,6.332271448,False,0.0,none,True
191,6.364211028000001,False,0.0,none,True
