frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.0,none,False
1,0.032021563,False,0.0,none,False
2,0.06407642200000001,False,0.0,none,False
3,0.100080075,False,0.0,none,False
4,0.132181258,False,0.0,none,True
5,0.164118162,False,0.0,none,True
6,0.19994204000000002,False,0.0,none,True
7,0.23209548400000002,False,0.0,none,True
8,0.26411418200000003,False,0.0,none,True
9,0.30001114700000003,False,0.0,none,True
10,0.332073604,False,0.03125,left,True
11,0.364108046,False,0.03125,left,True
12,0.400016874,False,0.03125,left,True
13,0.43201627200000003,False,0.03125,left,True
14,0.46417859300000003,False,0.03125,left,True
15,0.500001299,False,0.03125,left,True
16,0.532142176,False,0.03125,left,True
17,0.5640892190000001,False,0.03125,left,True
18,0.600191797,False,0.03125,left,True
19,0.632093859,False,0.03125,left,True
20,0.664137328,False,0.03125,left,True
21,0.6999733410000001,False,0.03125,left,True
22,0.7321793050000001,False,0.03125,left,True
23,0.764159939,False,0.03125,left,True
24,0.800127319,False,0.03125,left,True
25,0.832037341,False,0.03125,left,True
26,0.8641001650000001,False,0.03125,left,True
27,0.900043023,False,0.03125,left,True
28,0.932222324,False,0.03125,left,True
29,0.9641830200000001,False,0.03125,left,True
30,1.00004003,False,0.03125,left,True
31,1.032159271,False,0.03125,left,True
32,1.064066431,False,0.03125,left,True
33,1.099942051,False,0.03125,left,True
34,1.132053122,False,0.03125,left,True
35,1.16405139,False,0.03125,left,True
36,1.200033103,False,0.03125,left,True
37,1.2320605980000001,False,0.03125,left,True
38,1.2641279090000002,False,0.03125,left,True
39,1.299992505,False,0.03125,left,True
40,1.332025708,False,0.03125,left,True
41,1.3640926230000001,False,0.0625,left,True
42,1.400099159,False,0.0625,left,True
43,1.432117472,False,0.0625,left,True
44,1.4641256390000001,False,0.0625,left,True
45,1.500011071,False,0.09375,left,True
46,1.532087176,False,0.09375,left,True
47,1.564065191,False,0.09375,left,True
48,1.600033677,False,0.09375,left,True
49,1.63210088,False,0.09375,left,True
50,1.664128094,True,0.125,left,True
51,1.700073229,True,0.125,left,True
52,1.7320508940000001,True,0.125,left,True
53,1.7640890450000002,True,0.125,left,True
54,1.800069927,True,0.125,left,True
55,1.8320452100000002,True,0.125,left,True
56,1.8641251380000001,True,0.15625,left,True
57,1.9000378900000001,True,0.15625,left,True
58,1.9321693080000002,True,0.15625,left,True
59,1.9642111340000001,True,0.15625,left,True
60,2.000093025,True,0.15625,left,True
61,2.0320065130000002,True,0.15625,left,True
62,2.0640909560000003,True,0.15625,left,True
63,2.100005083,True,0.15625,left,True
64,2.132112748,True,0.15625,left,True
65,2.164079924,True,0.1875,left,True
66,2.20010298,True,0.1875,left,True
67,2.232038419,True,0.1875,left,True
68,2.264117262,True,0.1875,left,True
69,2.299968331,True,0.1875,left,True
70,2.33210015,True,0.21875,left,True
71,2.3640615090000003,True,0.21875,left,True
72,2.40011149,True,0.21875,left,True
73,2.4320988700000004,True,0.21875,left,True
74,2.464237427,True,0.21875,left,True
75,2.5000395390000003,True,0.21875,left,True
76,2.532110025,True,0.21875,left,True
77,2.564151346,True,0.21875,left,True
78,2.600086422,True,0.21875,left,True
79,2.631915095,True,0.21875,left,True
80,2.6640169190000003,True,0.21875,left,True
81,2.7000350770000003,True,0.21875,left,True
82,2.732068011,True,0.21875,left,True
83,2.764095396,True,0.21875,left,True
84,2.799971965,True,0.21875,left,True
85,2.8319995920000003,True,0.21875,left,True
86,2.864113889,True,0.25,left,True
87,2.900016373,True,0.25,left,True
88,2.932076522,True,0.25,left,True
89,2.964120997,True,0.25,left,True
90,3.000074934,True,0.25,left,True
91,3.0320445850000004,True,0.25,left,True
92,3.0640920830000002,True,0.25,left,True
93,3.100038372,True,0.25,left,True
94,3.1320700120000002,True,0.25,left,True
95,3.164134922,True,0.25,left,True
96,3.1998969890000004,True,0.25,left,True
97,3.231946314,True,0.21875,left,True
98,3.2641926690000003,True,0.21875,left,True
99,3.300100188,True,0.21875,left,True
100,3.3321867170000004,True,0.21875,left,True
101,3.3641598970000004,True,0.21875,left,True
102,3.4000833040000003,True,0.21875,left,True
103,3.4321556010000003,True,0.21875,left,True
104,3.4642326170000004,True,0.21875,left,True
105,3.5000478530000003,True,0.21875,left,True
106,3.5322127680000004,True,0.1875,left,True
107,3.5641365790000004,True,0.1875,left,True
108,3.6000571800000003,True,0.1875,left,True
109,3.6321652230000003,True,0.1875,left,True
110,3.664133393,True,0.1875,left,True
111,3.6999954930000003,True,0.1875,left,True
112,3.732198834,True,0.1875,left,True
113,3.7640687550000003,True,0.1875,left,True
114,3.800097226,True,0.1875,left,True
115,3.832183752,True,0.1875,left,True
116,3.8642482670000002,True,0.15625,left,True
117,3.9000245610000004,True,0.125,left,True
118,3.9322526700000004,False,0.09375,left,True
119,3.964144822,False,0.0625,left,True
120,4.000143672,False,0.0625,left,True
121,4.032198717,False,0.0625,left,True
122,4.064174724,False,0.03125,left,True
123,4.1000374100000005,False,0.03125,left,True
124,4.132289876000001,False,0.03125,left,True
125,4.164234425,False,0.03125,left,True
126,4.200130925,False,0.03125,left,True
127,4.232032428,False,0.03125,left,True
128,4.266141031,False,0.03125,left,True
129,4.3000669590000005,False,0.03125,left,True
