frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.03125,left,False
1,0.032111241,False,0.03125,left,False
2,0.067949121,False,0.03125,left,False
3,0.099991616,False,0.03125,left,False
4,0.132088858,False,0.03125,left,False
5,0.16797397800000002,False,0.03125,left,True
6,0.200028266,False,0.03125,left,True
7,0.23194968100000002,False,0.03125,left,True
8,0.26796441400000004,False,0.03125,left,True
9,0.29981814700000003,False,0.03125,left,True
10,0.331848154,False,0.03125,left,True
11,0.36831451600000004,False,0.03125,left,True
12,0.39980112300000004,False,0.03125,left,True
13,0.43250014000000003,False,0.0,none,True
14,0.467803008,False,0.0,none,True
15,0.49985854300000004,False,0.0,none,True
16,0.532036783,False,0.0,none,True
17,0.5679188980000001,False,0.0,none,True
18,0.5997970220000001,False,0.0,none,True
19,0.6318788040000001,False,0.0,none,True
20,0.667794789,False,0.0,none,True
21,0.700136768,False,0.0,none,True
22,0.7320111060000001,False,0.0,none,True
23,0.767992498,False,0.0,none,True
24,0.799992542,False,0.0,none,True
25,0.8320248650000001,False,0.0,none,True
26,0.8679327910000001,False,0.0,none,True
27,0.900047546,False,0.0,none,True
28,0.931969896,False,0.0,none,True
29,0.968040215,False,0.0,none,True
30,0.9998096080000001,False,0.0,none,True
31,1.0320816510000002,False,0.0,none,True
32,1.0678304330000001,False,0.0,none,True
33,1.0999278780000001,False,0.0,none,True
34,1.13209478,False,0.0,none,True
35,1.168094357,False,0.0,none,True
36,1.200495212,False,0.0,none,True
37,1.232025964,False,0.0,none,True
38,1.2678884990000001,False,0.0,none,True
39,1.300065805,False,0.0,none,True
40,1.3320211800000001,False,0.0,none,True
41,1.367997576,False,0.0,none,True
42,1.4000517700000001,False,0.0,none,True
43,1.432067392,False,0.0,none,True
44,1.4680320180000002,False,0.0,none,True
45,1.5000620340000002,False,0.0,none,True
46,1.532126566,False,0.0,none,True
47,1.5680762400000001,False,0.0,none,True
48,1.6001192350000002,False,0.0,none,True
49,1.632094334,False,0.0,none,True
50,1.667844882,False,0.0,none,True
51,1.699891787,False,0.0,none,True
52,1.7321037670000001,False,0.0,none,True
53,1.7680131460000001,False,0.0,none,True
54,1.800068572,False,0.0,none,True
55,1.832039825,False,0.0,none,True
56,1.8678460630000002,False,0.0,none,True
57,1.8998971150000001,False,0.0,none,True
58,1.932096258,False,0.0,none,True
59,1.968390332,False,0.0,none,True
60,1.9998682650000001,False,0.0,none,True
61,2.032602057,False,0.0,none,True
62,2.0678118530000003,False,0.0,none,True
63,2.0999219470000003,False,0.0,none,True
64,2.1319225410000002,False,0.0,none,True
65,2.16785584,False,0.0,none,True
66,2.1999372150000003,False,0.0,none,True
67,2.2319044100000003,False,0.0,none,True
68,2.2678508920000002,False,0.0,none,True
69,2.300046441,False,0.0,none,True
70,2.331863256,False,0.0,none,True
71,2.367852908,False,0.0,none,True
72,2.400099896,False,0.0,none,True
73,2.431986997,False,0.0,none,True
74,2.467852612,False,0.0,none,True
75,2.499913434,False,0.0,none,True
76,2.532086457,False,0.0,none,True
77,2.567838365,False,0.0,none,True
78,2.5998851270000003,False,0.0,none,True
79,2.632051154,False,0.0,none,True
80,2.6680011020000003,False,0.0,none,True
81,2.700077061,False,0.0,none,True
82,2.731985588,False,0.0,none,True
83,2.768056998,False,0.0,none,True
84,2.800585175,False,0.0,none,True
85,2.831920824,False,0.0,none,True
86,2.8680168850000003,False,0.0,none,True
87,2.9001232650000004,False,0.0,none,True
88,2.9320389120000003,False,0.0,none,True
89,2.967930909,False,0.0,none,True
90,2.9999751850000003,False,0.0,none,True
91,3.031981324,False,0.0,none,True
92,3.0679181300000002,False,0.0,none,True
93,3.1001253720000004,False,0.0,none,True
94,3.132060179,False,0.0,none,True
95,3.167967666,False,0.0,none,True
96,3.2001566400000003,False,0.0,none,True
97,3.232027077,False,0.0,none,True
98,3.268139305,False,0.0,none,True
99,3.3001473320000003,False,0.0,none,True
100,3.3320444620000003,False,0.0,none,True
101,3.3680706110000003,False,0.0,none,True
102,3.40014933,False,0.0,none,True
103,3.4320420830000002,False,0.0,none,True
104,3.4678446870000004,False,0.0,none,True
105,3.5001671900000004,False,0.0,none,True
106,3.532087375,False,0.0,none,True
107,3.568319518,False,0.0,none,True
108,3.600093916,False,0.0,none,True
109,3.63237815,False,0.0,none,True
110,3.6680920890000004,False,0.0,none,True
111,3.700210165,False,0.0,none,True
112,3.732087642,False,0.0,none,True
113,3.767948103,False,0.0,none,True
114,3.799980933,False,0.0,none,True
115,3.832187397,False,0.0,none,True
116,3.8679111870000003,False,0.0,none,True
117,3.900062445,False,0.0,none,True
118,3.932048828,False,0.0,none,True
119,3.9680063070000005,False,0.0,none,True
120,3.999954696,False,0.0,none,True
121,4.032002583000001,False,0.0,none,True
122,4.067880399,False,0.0,none,True
123,4.09991974,False,0.0,none,True
124,4.131967052,False,0.0,none,True
125,4.163943273,False,0.0,none,True
126,4.184159416,False,0.0,none,True
127,4.216166085,False,0.0,none,True
128,4.2480035030000005,False,0.0,none,True
129,4.284065801000001,False,0.0,none,True
130,4.316156891,False,0.0,none,True
131,4.348192372000001,False,0.0,none,True
132,4.3840497130000005,False,0.0,none,True
133,4.416160131000001,False,0.0,none,True
134,4.448093058,False,0.0,none,True
135,4.48412785,False,0.0,none,True
136,4.516165848,False,0.0,none,True
137,4.548222648,False,0.0,none,True
138,4.584148098,False,0.0,none,True
139,4.616223113,False,0.0,none,True
140,4.648201858,False,0.0,none,True
141,4.684204802,False,0.0,none,True
142,4.7161590030000005,False,0.0,none,True
143,4.748198674,False,0.0,none,True
144,4.784723570000001,False,0.0,none,True
145,4.816185108,False,0.0,none,True
146,4.848872691,False,0.0,none,True
147,4.884123276,False,0.0,none,True
148,4.916089487000001,False,0.0,none,True
149,4.948114389000001,False,0.0,none,True
150,4.984099809,False,0.0,none,True
151,5.016097328000001,False,0.0,none,True
152,5.048111101,False,0.0,none,True
153,5.084134475,False,0.0,none,True
154,5.116094106,False,0.0,none,True
155,5.148151734000001,False,0.0,none,True
156,5.184071435,False,0.0,none,True
157,5.21595744,False,0.0,none,True
158,5.248072574,False,0.0,none,True
159,5.284089658,False,0.0,none,True
160,5.316119965,False,0.0,none,True
161,5.3481169390000005,False,0.0,none,True
162,5.384114852000001,False,0.0,none,True
163,5.416153381,False,0.0,none,True
164,5.448162324,False,0.0,none,True
165,5.4839903230000004,False,0.0,none,True
166,5.515957033,False,0.0,none,True
167,5.548293438,False,0.0,none,True
168,5.584104283,False,0.0,none,True
169,5.616549986000001,False,0.0,none,True
170,5.64813777,False,0.0,none,True
171,5.68420457,False,0.0,none,True
172,5.716063528,False,0.0,none,True
173,5.748030169000001,False,0.0,none,True
174,5.783890487000001,False,0.0,none,True
175,5.816035643,False,0.0,none,True
176,5.847956076,False,0.0,none,True
177,5.884039562000001,False,0.0,none,True
178,5.915944906,False,0.0,none,True
179,5.948030749,False,0.0,none,True
180,5.983912484,False,0.0,none,True
181,6.015989227,False,0.0,none,True
182,6.047960818,False,0.0,none,True
183,6.084009033,False,0.0,none,True
184,6.116076326,False,0.0,none,True
185,6.148247998,False,0.0,none,True
186,6.1841371050000005,False,0.0,none,True
187,6.216244693,False,0.0,none,True
