frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953808481669528,0.0,False,0.15040650406504064,0.0008130081300813009,0.0,0.2833333333333333,0.0016339869281045752,0.0,0.3679324894514767,0.02721518987341772,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788953808513780769,0.032111241,False,0.14959349593495935,0.0008130081300813009,0.0,0.2830065359477124,0.0016339869281045752,0.0,0.3670886075949367,0.028902953586497894,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788953808549618649,0.067949121,False,0.1434959349593496,0.0,0.00040650406504065046,0.27875816993464053,0.000980392156862745,0.0,0.35590717299578056,0.02679324894514768,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788953808581661144,0.099991616,False,0.1434959349593496,0.0,0.00040650406504065046,0.27875816993464053,0.000980392156862745,0.0,0.3537974683544304,0.027848101265822784,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788953808613758386,0.132088858,False,0.13292682926829266,0.00040650406504065046,0.0,0.2728758169934641,0.000980392156862745,0.0,0.34978902953586494,0.01708860759493671,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788953808649643506,0.16797397800000002,True,0.13211382113821138,0.00040650406504065046,0.0,0.27156862745098037,0.0013071895424836603,0.0,0.3487341772151899,0.018143459915611816,0.0,0.254559562256393,1.2521047259074436,4.298037581667185,-0.0005043651889597538,0.0038282848612485355,-0.03749832056120732,0.0
6,1788953808681697794,0.200028266,True,0.1272357723577236,0.0,0.0008130081300813009,0.24346405228758167,0.0013071895424836603,0.0,0.33016877637130804,0.01729957805907173,0.0,0.3695419527594568,1.611731112509871,4.200330226501879,0.016444718737937857,0.003608065232967748,-0.016494875742815548,-0.005522245930982335
7,1788953808713619209,0.23194968100000002,True,0.12439024390243902,0.00040650406504065046,0.0008130081300813009,0.23888888888888887,0.0013071895424836603,0.0,0.3242616033755274,0.016666666666666666,0.0,0.1732591832757704,1.512750834636257,4.158155516067695,-0.0005348545321045006,0.016818239547839547,-0.03806479776952179,-0.010891759314940266
8,1788953808749633942,0.26796441400000004,True,0.11788617886178861,0.0,0.0008130081300813009,0.22777777777777777,0.0,0.0,0.3168776371308017,0.015822784810126583,0.0,0.11837545405800243,1.3843192535721462,4.104934094087375,-0.014939370684153195,0.020546164137208146,-0.04901263583023598,-0.013299310869278375
9,1788953808781487675,0.29981814700000003,True,0.11707317073170731,0.0008130081300813009,0.0008130081300813009,0.22450980392156863,0.0,0.0,0.3156118143459916,0.016244725738396623,0.0,0.3706691455640174,1.8194526389377057,4.08833646064369,0.030107107503670523,-0.0010125226766737308,-0.009454353542401523,-0.01755029219542515
10,1788953808813517682,0.331848154,True,0.11626016260162601,0.0012195121951219512,0.0008130081300813009,0.2235294117647059,0.0,0.0,0.31666666666666665,0.015822784810126583,0.0,0.2047773579421588,1.4434253240788892,4.083476522255367,-0.004909055886204598,0.015552082443735528,-0.04596907428289353,-0.0018618240100473655
11,1788953808849984044,0.36831451600000004,True,0.10975609756097562,0.0,0.0,0.21176470588235294,0.00032679738562091506,0.0,0.329957805907173,0.010126582278481013,0.0,0.2597143832566886,1.487817656728395,4.140938635234254,0.0004151009318892965,0.009853273270758385,-0.04292292445852544,-0.008990737500281887
12,1788953808881470651,0.39980112300000004,True,0.10853658536585367,0.0,0.0,0.2111111111111111,0.00032679738562091506,0.0,0.33291139240506334,0.00970464135021097,0.0,0.49347677459763295,1.5849712642774731,4.212385334615876,0.0047446048729523765,-0.006976215044142453,-0.03158438814568613,-0.0033568541259134397
13,1788953808914169668,0.43250014000000003,True,0.07886178861788617,0.0,0.0,0.17222222222222222,0.0,0.0,0.34514767932489454,0.005063291139240506,0.0,0.21365152333202486,1.5713855504734335,4.3083153902167055,0.0024060124986480663,0.01892171183456554,-0.04091486945534348,-0.0028492741262771356
14,1788953808949472536,0.467803008,True,0.07642276422764228,0.0,0.0,0.16830065359477123,0.0,0.0,0.3531645569620253,0.005063291139240506,0.0,0.35178892529602024,1.6329517722887978,4.444597706495793,0.0011315959462059426,0.01295607950208639,-0.03702736170480252,0.011373298669518936
15,1788953808981528071,0.49985854300000004,True,0.06341463414634146,0.0,0.0,0.12483660130718952,0.0,0.0,0.3478902953586498,0.0016877637130801686,0.0,0.4616131143986564,1.7816670508384589,4.389539549221052,0.018533976286557764,-0.002182706194379019,-0.01757982442487989,0.005142329989947932
16,1788953809013706311,0.532036783,True,0.06056910569105691,0.0,0.0,0.1130718954248366,0.0,0.0,0.34873417721518984,0.0008438818565400843,0.0,0.1742601563181232,1.4575809085410507,4.332589195593057,-0.005408879734789738,0.020468401596864905,-0.044951075868938616,0.01673908384523832
17,1788953809049588426,0.5679188980000001,True,0.06056910569105691,0.0,0.0,0.10261437908496732,0.0,0.0,0.30147679324894516,0.0008438818565400843,0.0,0.149197995256396,1.5358817920715233,4.221260035198764,0.00018957758762489993,0.018263525422704048,-0.045091746534543696,-0.0029346490027044453
18,1788953809081466550,0.5997970220000001,True,0.05975609756097562,0.0,0.0,0.09803921568627452,0.0,0.0,0.29578059071729956,0.0008438818565400843,0.0,0.432387460967786,1.642980122566824,4.235192105221078,0.0070593339865396496,-0.006268537455082973,-0.033112561528313655,0.01612204380524706
19,1788953809113548332,0.6318788040000001,True,0.06056910569105691,0.0,0.0,0.0977124183006536,0.0,0.0,0.2962025316455696,0.0008438818565400843,0.0,0.20498889085046734,1.4890038239484262,4.20359645250698,-0.004739814733504211,0.016268205228848857,-0.049966271012024124,-0.00485379221799971
20,1788953809149464317,0.667794789,True,0.05894308943089431,0.0,0.0,0.09379084967320261,0.0,0.0,0.29873417721518986,0.0006329113924050633,0.0,0.22609938810093677,1.624463495359402,4.240061908557375,0.007690214002679028,0.009672936616983173,-0.04172999827142691,0.01637589223433024
21,1788953809181806296,0.700136768,True,0.05894308943089431,0.0,0.0,0.09607843137254901,0.0,0.0,0.29978902953586495,0.0008438818565400843,0.0,0.4146698620138929,1.6259432612219245,4.279199338308741,0.0030641086038708416,-0.0016127430017122309,-0.03545557376118831,-0.01591458282103087
22,1788953809213680634,0.7320111060000001,True,0.05,0.0,0.0,0.0934640522875817,0.0,0.0,0.2751054852320675,0.0,0.0,0.3672012648194469,1.6583753449109202,4.258461571252971,0.00654418412448525,0.0020348026466021144,-0.036018574785231815,0.0037340861128523357
23,1788953809249662026,0.767992498,True,0.04796747967479675,0.0,0.0,0.09052287581699346,0.0,0.0,0.27911392405063284,0.00021097046413502107,0.0,0.4423949691476672,1.5610393426041804,4.241684203147402,0.0045707299076228995,-0.00408207651457836,-0.03847346585774465,0.0
24,1788953809281662070,0.799992542,True,0.02276422764227642,0.0,0.00040650406504065046,0.07287581699346404,0.0,0.0,0.2751054852320675,0.0,0.0,0.4686097323882441,1.8540713964305295,4.2401747321867145,0.025277891735509504,-0.010739566804662861,-0.021060282475353378,-0.012095507000115616
25,1788953809313694393,0.8320248650000001,True,0.02073170731707317,0.0,0.00040650406504065046,0.06993464052287582,0.0,0.0,0.27890295358649786,0.0,0.0,0.1674206937493361,1.4689725721528994,4.356651560827546,-0.00975336056894524,0.018641431680083233,-0.05152328770603842,0.0005625930399350811
26,1788953809349602319,0.8679327910000001,True,0.02032520325203252,0.0,0.00040650406504065046,0.07026143790849673,0.0,0.0,0.2708860759493671,0.0,0.0,0.13970038285168496,1.601328199717757,4.3392449409781175,0.00368671049210444,0.01600352187601449,-0.04835716073308766,0.01652550943150021
27,1788953809381717074,0.900047546,True,0.005284552845528456,0.0,0.00040650406504065046,0.049346405228758175,0.0,0.0,0.2613924050632911,0.0,0.0,0.3657307557900691,1.6892924630183304,4.255386797765442,0.00993029212885101,-7.779931386123386e-05,-0.03449761593926477,0.001413175026160482
28,1788953809413639424,0.931969896,True,0.004471544715447155,0.0,0.00040650406504065046,0.0477124183006536,0.0,0.0,0.26476793248945146,0.0,0.0,0.3033855360035753,1.6123884550169045,4.405806732739986,0.0006164868581588316,0.00523349212036223,-0.0539919568098603,0.013924803473126223
29,1788953809449709743,0.968040215,True,0.00040650406504065046,0.00040650406504065046,0.0,0.03562091503267974,0.0,0.0,0.2459915611814346,0.0,0.0,0.30558173845296865,1.5987211813627176,4.315438519683303,-0.005681463854491961,0.008850604244520624,-0.05356272283457217,-0.0019177095927450684
30,1788953809481479136,0.9998096080000001,True,0.00040650406504065046,0.00040650406504065046,0.0,0.03496732026143791,0.0,0.0,0.24915611814345992,0.0,0.0,0.4069347865226278,1.9036317982133923,4.221200212533624,0.023975854270449234,-0.008423486739230783,-0.025898916432618182,-0.012863239487934925
31,1788953809513751179,1.0320816510000002,True,0.0016260162601626018,0.0,0.0,0.023202614379084965,0.0,0.0,0.19978902953586497,0.0,0.0006329113924050632,0.4120762022833482,1.7321196375360652,4.215725215832224,0.007944424674125967,-0.003091857972904207,-0.0339147167248713,-0.015391536394929331
32,1788953809549499961,1.0678304330000001,True,0.002032520325203252,0.0,0.0,0.021568627450980392,0.0,0.0,0.1962025316455696,0.0,0.00042194092827004215,0.31259739307824685,1.661034434274644,4.098660979369654,0.003796669859708307,0.0033638527057570393,-0.03906258458634424,-0.015087537706219676
33,1788953809581597406,1.0999278780000001,True,0.00040650406504065046,0.0,0.0,0.01699346405228758,0.0,0.0,0.17869198312236284,0.0,0.0,0.4692663115964866,1.7578228339063744,4.054985127123381,0.018911149312236086,-0.01022707542983759,-0.02288191576181178,0.014802162535450525
34,1788953809613764308,1.13209478,True,0.0,0.0,0.0,0.017320261437908498,0.0,0.0,0.17721518987341772,0.0,0.00021097046413502107,0.3326420483014303,1.8344608125270674,4.138936012285418,0.023043078037061702,-0.003869916439534717,-0.02945600547303006,-0.007849980313823866
35,1788953809649763885,1.168094357,True,0.0,0.0,0.0,0.017320261437908498,0.0,0.0,0.16940928270042196,0.0,0.00021097046413502107,0.3223234509610884,1.6769010717581783,4.208316001822444,0.0050212725885309915,0.001957067118883943,-0.03620622434073454,0.0
36,1788953809682164740,1.200495212,True,0.00040650406504065046,0.0,0.0,0.013071895424836602,0.0,0.0,0.17194092827004218,0.0,0.0,0.540941379624857,1.9158804792473316,4.225833223649203,0.02358914830081043,-0.00940268386516356,-0.0192986618727284,0.014550185163931648
37,1788953809713695492,1.232025964,True,0.00040650406504065046,0.0,0.0,0.01111111111111111,0.0,0.0,0.17151898734177215,0.0,0.00021097046413502107,0.2881168355414556,1.6432921886282257,4.492213564541101,0.0007655934309576014,0.003590741393411167,-0.042427007228903774,0.001910942604539927
