frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.09375,left,False
1,0.032046009,False,0.09375,left,False
2,0.06400259600000001,False,0.09375,left,False
3,0.10000434700000001,True,0.125,left,False
4,0.131996735,True,0.125,left,True
5,0.164053067,True,0.125,left,True
6,0.20001770600000002,True,0.125,left,True
7,0.232063438,True,0.125,left,True
8,0.264061074,True,0.125,left,True
9,0.300038252,True,0.125,left,True
10,0.33213786500000003,True,0.125,left,True
11,0.36402822700000004,True,0.125,left,True
12,0.400021628,True,0.125,left,True
13,0.43197767800000003,True,0.125,left,True
14,0.46403498800000004,True,0.15625,left,True
15,0.5000046300000001,True,0.15625,left,True
16,0.5320824700000001,True,0.15625,left,True
17,0.564006737,True,0.15625,left,True
18,0.59998496,True,0.15625,left,True
19,0.631980953,True,0.15625,left,True
20,0.664006681,True,0.15625,left,True
21,0.6999596210000001,True,0.15625,left,True
22,0.732071943,True,0.15625,left,True
23,0.7639971130000001,True,0.15625,left,True
24,0.80002483,True,0.15625,left,True
25,0.8319782530000001,True,0.15625,left,True
26,0.866066384,True,0.15625,left,True
27,0.9016352030000001,True,0.15625,left,True
28,0.9318193280000001,True,0.15625,left,True
29,0.963811889,True,0.15625,left,True
30,0.999819839,True,0.15625,left,True
31,1.031746438,True,0.15625,left,True
32,1.0638504930000001,True,0.15625,left,True
33,1.099804049,True,0.15625,left,True
34,1.131787307,True,0.15625,left,True
35,1.164064411,True,0.15625,left,True
36,1.200093765,True,0.15625,left,True
37,1.231957277,True,0.15625,left,True
38,1.26382911,True,0.15625,left,True
39,1.2997986860000001,True,0.15625,left,True
40,1.331802351,True,0.15625,left,True
41,1.363857938,True,0.15625,left,True
42,1.3999320270000002,True,0.15625,left,True
43,1.431996167,True,0.1875,left,True
44,1.4639702010000002,True,0.1875,left,True
45,1.499834963,True,0.1875,left,True
46,1.5319639150000002,True,0.1875,left,True
47,1.563988283,True,0.1875,left,True
48,1.5998518670000001,True,0.1875,left,True
49,1.631863411,True,0.1875,left,True
50,1.6639289140000002,True,0.1875,left,True
51,1.699806863,True,0.1875,left,True
52,1.7320901720000002,True,0.21875,left,True
53,1.7638577450000001,True,0.21875,left,True
54,1.7998343540000001,True,0.21875,left,True
55,1.8318980020000002,True,0.21875,left,True
56,1.8638486820000002,True,0.21875,left,True
57,1.8998358990000002,True,0.21875,left,True
58,1.931992586,True,0.21875,left,True
59,1.9638287540000001,True,0.25,left,True
60,1.999929038,True,0.21875,left,True
61,2.031896622,True,0.25,left,True
62,2.0640197000000002,True,0.25,left,True
63,2.1000284170000003,True,0.21875,left,True
64,2.132095404,True,0.21875,left,True
65,2.164052865,True,0.21875,left,True
66,2.200017002,True,0.21875,left,True
67,2.231936268,True,0.21875,left,True
68,2.264009305,True,0.25,left,True
69,2.299892255,True,0.25,left,True
70,2.331846973,True,0.25,left,True
71,2.3638576820000003,True,0.25,left,True
72,2.399849814,True,0.25,left,True
73,2.4318703740000003,True,0.25,left,True
74,2.463905998,True,0.25,left,True
75,2.499792718,True,0.25,left,True
76,2.5318092890000004,True,0.25,left,True
77,2.563834679,True,0.25,left,True
78,2.599783752,True,0.25,left,True
79,2.6319493520000004,True,0.25,left,True
80,2.6639831320000003,True,0.25,left,True
81,2.6998245570000003,True,0.25,left,True
82,2.7318597440000003,True,0.25,left,True
83,2.763872758,True,0.25,left,True
84,2.7998925630000002,True,0.25,left,True
85,2.8320612400000003,True,0.25,left,True
86,2.863923357,True,0.25,left,True
87,2.8998705830000002,True,0.25,left,True
88,2.932146104,True,0.25,left,True
89,2.9639834190000003,True,0.25,left,True
90,3.000111442,True,0.25,left,True
91,3.031999405,True,0.25,left,True
92,3.06417648,True,0.25,left,True
93,3.1000381380000004,True,0.25,left,True
94,3.1321380540000003,True,0.25,left,True
95,3.164159295,True,0.25,left,True
96,3.2000628740000003,True,0.25,left,True
97,3.2319460670000004,True,0.25,left,True
98,3.2641207050000003,True,0.25,left,True
99,3.3000757280000004,True,0.25,left,True
100,3.332148806,True,0.25,left,True
101,3.364061076,True,0.28125,left,True
102,3.400089002,True,0.28125,left,True
103,3.4318711270000004,True,0.28125,left,True
104,3.463903435,True,0.25,left,True
105,3.4998299250000002,True,0.25,left,True
106,3.532418112,True,0.25,left,True
107,3.5639135470000003,True,0.25,left,True
108,3.599844238,True,0.25,left,True
109,3.631854649,True,0.25,left,True
110,3.6638739150000004,True,0.25,left,True
111,3.69981266,True,0.25,left,True
112,3.731886337,True,0.25,left,True
113,3.7638825860000003,True,0.25,left,True
114,3.799900715,True,0.25,left,True
115,3.8319833740000004,True,0.25,left,True
116,3.863962925,True,0.25,left,True
117,3.899856868,True,0.25,left,True
118,3.9319711460000004,True,0.25,left,True
119,3.963889409,True,0.25,left,True
120,3.999855623,True,0.25,left,True
121,4.0319614800000005,True,0.25,left,True
122,4.063883758,True,0.25,left,True
123,4.0998145820000005,True,0.25,left,True
124,4.131922373,True,0.21875,left,True
125,4.163976384000001,True,0.21875,left,True
126,4.19987108,True,0.21875,left,True
127,4.231843034000001,True,0.21875,left,True
128,4.263961046,True,0.21875,left,True
129,4.300100991,True,0.21875,left,True
130,4.3318726860000005,True,0.21875,left,True
131,4.364311274,True,0.21875,left,True
132,4.400092162,True,0.21875,left,True
133,4.432134676,True,0.21875,left,True
134,4.4641234270000005,True,0.21875,left,True
135,4.500126760000001,True,0.21875,left,True
136,4.532122989,True,0.21875,left,True
137,4.564096061,True,0.21875,left,True
138,4.600107513,True,0.21875,left,True
139,4.632135828,True,0.21875,left,True
140,4.664180576000001,True,0.21875,left,True
141,4.700085309,True,0.21875,left,True
142,4.732108189,True,0.21875,left,True
143,4.764084540000001,True,0.21875,left,True
144,4.8000144890000005,True,0.21875,left,True
145,4.832116225,True,0.21875,left,True
146,4.864152092,True,0.21875,left,True
147,4.900094345,True,0.21875,left,True
148,4.932160801,True,0.1875,left,True
149,4.964146085,True,0.1875,left,True
150,5.000117268,True,0.1875,left,True
151,5.032064462,True,0.1875,left,True
152,5.064022759,True,0.1875,left,True
153,5.100044231,True,0.1875,left,True
154,5.132006421000001,True,0.1875,left,True
155,5.163907445,True,0.15625,left,True
156,5.200104231,True,0.15625,left,True
157,5.232144205,True,0.15625,left,True
158,5.26406135,True,0.15625,left,True
159,5.29987631,True,0.15625,left,True
160,5.332157127,True,0.15625,left,True
161,5.364130493,True,0.15625,left,True
162,5.400044527,True,0.15625,left,True
163,5.432083669000001,True,0.15625,left,True
164,5.464194847,True,0.15625,left,True
165,5.500021597,True,0.15625,left,True
166,5.532212727,True,0.15625,left,True
167,5.564172721,True,0.15625,left,True
168,5.600156528,True,0.15625,left,True
169,5.632121985,True,0.15625,left,True
170,5.664240479,True,0.15625,left,True
171,5.700038206,True,0.15625,left,True
172,5.732217701000001,True,0.15625,left,True
173,5.764073463000001,True,0.15625,left,True
174,5.799933684,True,0.15625,left,True
175,5.831976734,True,0.15625,left,True
176,5.864105749,True,0.15625,left,True
177,5.900191093,True,0.15625,left,True
178,5.932099363000001,True,0.15625,left,True
179,5.964244924,True,0.15625,left,True
180,6.000155258,True,0.15625,left,True
181,6.0320990740000004,True,0.15625,left,True
182,6.064198559,True,0.15625,left,True
183,6.100081199000001,True,0.15625,left,True
184,6.132191851,True,0.15625,left,True
185,6.164102334000001,True,0.15625,left,True
186,6.200054784000001,True,0.1875,left,True
187,6.232157848,True,0.15625,left,True
