frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.0,none,False
1,0.035994562,False,0.0,none,False
2,0.067979844,False,0.0,none,False
3,0.100141196,False,0.0,none,False
4,0.135908961,False,0.0,none,True
5,0.168153611,False,0.0,none,True
6,0.19997478900000001,False,0.0,none,True
7,0.23597125500000002,False,0.0,none,True
8,0.26793120800000003,False,0.0,none,True
9,0.300035329,False,0.0,none,True
10,0.33595466,False,0.0,none,True
11,0.36805600600000005,False,0.0,none,True
12,0.40003646600000003,False,0.0,none,True
13,0.43593942300000005,False,0.0,none,True
14,0.46800704200000004,False,0.0,none,True
15,0.50010816,False,0.0,none,True
16,0.5357940870000001,False,0.0,none,True
17,0.568029803,False,0.0,none,True
18,0.599956681,False,0.0,none,True
19,0.635940693,False,0.0,none,True
20,0.667760302,False,0.0,none,True
21,0.6998078130000001,False,0.0,none,True
22,0.735799603,False,0.0,none,True
23,0.7678203650000001,False,0.0,none,True
24,0.7998163610000001,False,0.0,none,True
25,0.8358721950000001,False,0.03125,left,True
26,0.8677969680000001,False,0.03125,left,True
27,0.8998099900000001,False,0.03125,left,True
28,0.9357724070000001,False,0.03125,left,True
29,0.9678879370000001,False,0.03125,left,True
30,0.99985478,False,0.03125,left,True
31,1.035782452,False,0.03125,left,True
32,1.067842873,False,0.0625,left,True
33,1.099864409,False,0.0625,left,True
34,1.135813149,False,0.0625,left,True
35,1.167852735,False,0.0625,left,True
36,1.2001164560000002,False,0.09375,left,True
37,1.236113547,False,0.09375,left,True
38,1.268070282,True,0.125,left,True
39,1.3001705460000001,True,0.125,left,True
40,1.335825065,True,0.125,left,True
41,1.3679682850000001,True,0.125,left,True
42,1.400027801,True,0.125,left,True
43,1.435994599,True,0.15625,left,True
44,1.467925812,True,0.15625,left,True
45,1.500059848,True,0.1875,left,True
46,1.5360644780000001,True,0.1875,left,True
47,1.568147795,True,0.1875,left,True
48,1.600071164,True,0.1875,left,True
49,1.636107973,True,0.1875,left,True
50,1.6680719510000002,True,0.21875,left,True
51,1.700129626,True,0.21875,left,True
52,1.7360053320000002,True,0.21875,left,True
53,1.768110966,True,0.21875,left,True
54,1.800024577,True,0.25,left,True
55,1.836087757,True,0.25,left,True
56,1.867962802,True,0.25,left,True
57,1.900105452,True,0.25,left,True
58,1.9360569900000002,True,0.25,left,True
59,1.9681002340000002,True,0.25,left,True
60,2.000755636,True,0.25,left,True
61,2.035995739,True,0.25,left,True
62,2.0678728,True,0.25,left,True
63,2.100033685,True,0.28125,left,True
64,2.135954561,True,0.28125,left,True
65,2.1679166370000003,True,0.28125,left,True
66,2.1999047540000003,True,0.28125,left,True
67,2.235825874,True,0.28125,left,True
68,2.267944268,True,0.28125,left,True
69,2.299946314,True,0.28125,left,True
70,2.3358883710000002,True,0.1875,left,True
71,2.367914282,True,0.1875,left,True
72,2.4000559430000004,True,0.15625,left,True
73,2.435889237,True,0.15625,left,True
74,2.467884354,True,0.15625,left,True
75,2.4999449940000003,True,0.15625,left,True
76,2.5358680490000003,True,0.15625,left,True
77,2.5679180240000004,True,0.125,left,True
78,2.600012421,True,0.125,left,True
79,2.6358927060000004,False,0.09375,left,True
80,2.667829454,False,0.09375,left,True
81,2.6999009160000003,False,0.0625,left,True
82,2.735873546,False,0.0625,left,True
83,2.7679527800000003,False,0.03125,left,True
84,2.7999336560000003,False,0.03125,left,True
85,2.835859004,False,0.03125,left,True
86,2.867889007,False,0.03125,left,True
87,2.89991003,False,0.03125,left,True
88,2.9358584910000003,False,0.0,none,True
89,2.9694141970000003,False,0.0,none,True
90,3.00002227,False,0.0,none,True
91,3.036076818,False,0.0,none,True
92,3.068087116,False,0.0,none,True
93,3.100133802,False,0.0,none,True
94,3.1359936690000003,False,0.0,none,True
95,3.1681209430000004,False,0.0,none,True
96,3.200086659,False,0.0,none,True
97,3.236128605,False,0.0,none,True
98,3.26808005,False,0.0,none,True
99,3.300211319,False,0.0,none,True
100,3.3358581500000004,False,0.0,none,True
101,3.367878659,False,0.0,none,True
102,3.3999473840000003,False,0.0,none,True
103,3.436101158,False,0.0,none,True
104,3.467938267,False,0.0,none,True
105,3.5000684270000004,False,0.0,none,True
106,3.536178419,False,0.0,none,True
107,3.568210788,False,0.0,none,True
108,3.600215495,False,0.0,none,True
109,3.6358852140000004,False,0.0,none,True
110,3.667983882,False,0.0,none,True
111,3.6999214690000004,False,0.0,none,True
112,3.736082414,False,0.0,none,True
113,3.768155273,False,0.0,none,True
114,3.800116735,False,0.0,none,True
115,3.8360498040000004,False,0.0,none,True
116,3.8680727470000003,False,0.0,none,True
117,3.9000886340000003,False,0.0,none,True
118,3.9359141450000004,False,0.0,none,True
119,3.968117378,False,0.0,none,True
120,4.000115329000001,False,0.0,none,True
121,4.036075616000001,False,0.0,none,True
122,4.06803495,False,0.0,none,True
123,4.1001497460000005,False,0.0,none,True
124,4.136135352,False,0.0,none,True
125,4.1679526330000005,False,0.0,none,True
126,4.200051945,False,0.0,none,True
127,4.235927581,False,0.0,none,True
128,4.267952084,False,0.0,none,True
129,4.299955491,False,0.0,none,True
130,4.336094705,False,0.0,none,True
131,4.368180467,False,0.0,none,True
132,4.400087352,False,0.0,none,True
133,4.436096838,False,0.0,none,True
134,4.468079717,False,0.0,none,True
135,4.500197614,False,0.0,none,True
136,4.536200946,False,0.0,none,True
137,4.56815852,False,0.0,none,True
138,4.600120229000001,False,0.0,none,True
139,4.636178361000001,False,0.0,none,True
140,4.66811617,False,0.0,none,True
141,4.7001278730000005,False,0.0,none,True
