frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.03125,left,False
1,0.031968473000000004,False,0.03125,left,False
2,0.06401841900000001,False,0.03125,left,False
3,0.09988476800000001,False,0.03125,left,False
4,0.13172055600000002,False,0.03125,left,True
5,0.16378867200000002,False,0.03125,left,True
6,0.199836332,False,0.03125,left,True
7,0.231880632,False,0.03125,left,True
8,0.263832182,False,0.03125,left,True
9,0.299631303,False,0.03125,left,True
10,0.33162096100000005,False,0.03125,left,True
11,0.36362016900000005,False,0.03125,left,True
12,0.39961425,False,0.03125,left,True
13,0.43243198600000005,False,0.03125,left,True
14,0.46370239,False,0.03125,left,True
15,0.499660256,False,0.03125,left,True
16,0.5318703610000001,False,0.03125,left,True
17,0.5638057310000001,False,0.03125,left,True
18,0.5998349780000001,False,0.03125,left,True
19,0.6317845400000001,False,0.03125,left,True
20,0.663819614,False,0.03125,left,True
21,0.699915217,False,0.03125,left,True
22,0.731955278,False,0.03125,left,True
23,0.7639196840000001,False,0.03125,left,True
24,0.7998023280000001,False,0.03125,left,True
25,0.8319388830000001,False,0.03125,left,True
26,0.863833319,False,0.03125,left,True
27,0.8996040810000001,False,0.03125,left,True
28,0.9316604340000001,False,0.03125,left,True
29,0.963947772,False,0.03125,left,True
30,0.9997958450000001,False,0.03125,left,True
31,1.031801483,False,0.03125,left,True
32,1.063844325,False,0.03125,left,True
33,1.099906027,False,0.03125,left,True
34,1.13186243,False,0.03125,left,True
35,1.163741935,False,0.03125,left,True
36,1.1997724710000002,False,0.03125,left,True
37,1.231951577,False,0.03125,left,True
38,1.263867306,False,0.03125,left,True
39,1.3003375110000002,False,0.03125,left,True
40,1.3317075150000002,False,0.03125,left,True
41,1.363882252,False,0.03125,left,True
42,1.3997402,False,0.03125,left,True
43,1.431750706,False,0.03125,left,True
44,1.463861144,False,0.03125,left,True
45,1.4998392040000001,False,0.03125,left,True
46,1.5318174880000002,False,0.03125,left,True
47,1.5638274030000001,False,0.03125,left,True
48,1.5997850740000001,False,0.03125,left,True
49,1.6318371680000001,False,0.03125,left,True
50,1.663863467,False,0.03125,left,True
51,1.6998110430000002,False,0.03125,left,True
52,1.731828713,False,0.03125,left,True
53,1.7639235160000002,False,0.03125,left,True
