frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953171775086988,0.0,False,0.20731707317073172,0.0,0.0036585365853658543,0.2892156862745098,0.0,0.0,0.310548523206751,0.006540084388185654,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
1,1788953171810834916,0.035747928000000005,False,0.20731707317073172,0.0,0.0032520325203252037,0.2895424836601307,0.0,0.0,0.31308016877637124,0.006962025316455696,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
2,1788953171843012790,0.06792580200000001,False,0.21056910569105688,0.0,0.0016260162601626018,0.296078431372549,0.0,0.0,0.3227848101265823,0.003164556962025317,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788953171874986842,0.09989985400000001,False,0.209349593495935,0.0,0.002032520325203252,0.2983660130718954,0.0,0.0,0.32573839662447257,0.0035864978902953584,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788953171910831155,0.135744167,False,0.2203252032520325,0.0,0.007723577235772358,0.3150326797385621,0.0,0.0,0.3291139240506329,0.0016877637130801686,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788953171942933017,0.167846029,True,0.22073170731707314,0.0,0.00934959349593496,0.3160130718954249,0.0,0.0,0.33101265822784814,0.002320675105485232,0.0,0.055207416647036434,-0.19082248994529916,4.009640837530389,0.02357072501367117,0.00711260422414924,-0.008755790662543245,0.004621175976156354
6,1788953171975111681,0.200024693,True,0.2203252032520325,0.0,0.0024390243902439024,0.30882352941176466,0.0,0.0,0.3246835443037975,0.0006329113924050632,0.0,0.3718046251943192,0.05974889559542547,3.9557695766685077,0.047633694932357425,-0.020500558371041387,0.02270066210283475,0.010427724670219851
7,1788953172010822763,0.235735775,True,0.22235772357723577,0.0,0.0036585365853658543,0.30588235294117644,0.0,0.0,0.32236286919831225,0.0008438818565400843,0.0,0.32860662969394694,-0.00797101067487914,3.9062069781197186,0.04497315987339901,-0.015257549122119345,0.011718381015133957,0.00034873100107884065
8,1788953172043021801,0.267934813,True,0.20691056910569103,0.0,0.003252032520325203,0.2937908496732026,0.0,0.0,0.28945147679324895,0.0,0.0,0.2073772521659769,-0.28594573902044845,3.9443737147070053,0.024129265111327246,-0.011018467059970453,-0.0050806040331424895,-0.0030806930700591913
9,1788953172074939397,0.29985240900000004,True,0.20528455284552843,0.0,0.004878048780487805,0.29052287581699343,0.0,0.0,0.2789029535864979,0.00042194092827004215,0.0,0.4855344903512069,0.28692758128852747,3.8102397704332116,0.06832057695042065,-0.034325299355973005,0.034627750215576375,0.0009927614884821002
10,1788953172111017321,0.335930333,True,0.20325203252032523,0.0,0.005284552845528456,0.29052287581699343,0.0,0.0,0.2757383966244726,0.0006329113924050633,0.0,0.3505869948778064,-0.08115055581806109,3.8049592358894477,0.04062220882253319,-0.02040189213601996,0.014429985695866366,0.0
11,1788953172143067494,0.36798050600000004,True,0.1434959349593496,0.0,0.004878048780487806,0.2751633986928105,0.0,0.0,0.2569620253164557,0.0,0.0,0.20340114030775003,-0.42358102979884726,3.9344062360277685,0.012709095225680887,-0.014433039285756354,-0.011806862770762087,0.005849896791872848
12,1788953172174855226,0.399768238,True,0.141869918699187,0.0,0.004471544715447155,0.27254901960784317,0.0,0.0,0.25801687763713077,0.0,0.0,0.3763739387916938,0.19963424300836813,3.848372970757537,0.06358142834960129,-0.027475919856029842,0.03354789873011251,-0.020507462361848156
13,1788953172211045174,0.435958186,True,0.07723577235772358,0.0,0.005284552845528456,0.19183006535947714,0.0,0.0,0.2172995780590717,0.0,0.0,0.23180679628147138,-0.1368181825881945,3.8272125916570614,0.0376883656381452,-0.013712908792915599,0.009578553020405431,-0.005977156548870148
14,1788953172243094364,0.46800737600000003,True,0.07560975609756097,0.0,0.006097560975609756,0.18137254901960784,0.0,0.0,0.2151898734177215,0.00021097046413502107,0.0,0.15301933241976173,-0.21791319012269122,4.007261132732075,0.03175317312369158,-0.010680466480179942,-0.002615884949423407,-0.01479964809870238
15,1788953172275156390,0.500069402,True,0.0483739837398374,0.0,0.014634146341463417,0.06895424836601308,0.0,0.0,0.16413502109704642,0.0,0.0,0.46438911603641153,-0.010872764814425086,3.9664776375513187,0.05062816054931175,-0.034875286838646505,0.018781577660163844,0.0
16,1788953172310997188,0.5359102,True,0.04227642276422765,0.0,0.018292682926829267,0.05359477124183006,0.0,0.0,0.15738396624472575,0.00042194092827004215,0.0,0.33955759632719573,0.01775075095001559,3.920993146018688,0.05138069330735559,-0.029538080420278744,0.016786317921968004,0.0009992011068972763
17,1788953172343031126,0.567944138,True,0.04024390243902439,0.0,0.019105691056910568,0.034313725490196074,0.0,0.0,0.09915611814345991,0.00021097046413502107,0.0,0.014158202045079893,-0.2911091442704074,3.8796701553804938,0.027552235408708388,-0.0019158262121237864,0.00010365927080311331,0.014796839401478069
18,1788953172375068786,0.5999817980000001,True,0.008130081300813007,0.0,0.023577235772357725,0.0029411764705882353,0.0,0.0,0.09008438818565401,0.00042194092827004215,0.0,0.4331354673825678,0.04331738915496103,3.9248106899610504,0.059357850857112024,-0.038835532564174886,0.02889675617375639,0.010659514108182484
19,1788953172410955029,0.635868041,True,0.007723577235772358,0.0,0.023983739837398373,0.0032679738562091504,0.0,0.0,0.09219409282700422,0.0010548523206751054,0.0,0.35848822873442776,-0.18117159961560786,4.024093223489483,0.040349570285973343,-0.03308634150899414,0.0078565029371356,0.006619676611647068
20,1788953172443041619,0.6679546310000001,True,0.005691056910569105,0.0,0.03780487804878049,0.0,0.0,0.0,0.04831223628691983,0.0,0.0,0.27080739688268474,-0.18834092456579493,4.021473881062221,0.03777355879079879,-0.029714424226013888,0.0009027430289269833,0.00037953413765727995
21,1788953172475004409,0.6999174210000001,True,0.005691056910569105,0.0,0.03943089430894309,0.0,0.0,0.0,0.049156118143459916,0.0,0.0,0.26515615602866593,-0.08471585469613153,3.887416064638378,0.04604074524385684,-0.02932611605029451,0.01876021064352973,0.013185470300580452
22,1788953172510968310,0.735881322,True,0.004878048780487805,0.0,0.022357723577235773,0.0,0.0,0.0,0.04662447257383966,0.0,0.0,0.22458693733820412,-0.20161708359568045,3.891737313317572,0.041156427311529936,-0.029972637356972448,0.01685424647725569,0.017737562465179824
23,1788953172543000730,0.7679137420000001,True,0.004878048780487805,0.0,0.02195121951219512,0.0,0.0,0.0,0.05189873417721519,0.0,0.0,0.2592785674770075,-0.21137168125477662,4.057281077591563,0.03562866159861253,-0.02975538901353787,0.0015865688017180218,0.010595534078479052
24,1788953172574861413,0.7997744250000001,True,0.002032520325203252,0.0,0.02601626016260163,0.0,0.0,0.0,0.046624472573839656,0.0,0.0,0.47906313394539146,-0.09297249202074351,3.9244572722210256,0.04886025101558602,-0.04540830130133379,0.019412753519296264,0.002726432560472639
25,1788953172611033939,0.835946951,True,0.0016260162601626018,0.0,0.027235772357723582,0.0,0.0,0.0,0.05464135021097046,0.0,0.0,0.3168844336646528,-0.1964228262367983,3.981624695153971,0.03832724637872577,-0.0399532744100845,0.010725574230650771,0.02400946885085822
26,1788953172642817509,0.867730521,True,0.0016260162601626018,0.0,0.027235772357723582,0.0,0.0,0.0,0.053797468354430375,0.0,0.0,0.11319952058349436,-0.4063341026999319,4.028179372708718,0.023013023791625314,-0.025037352312608643,-0.011634409019100036,0.03631835316793669
27,1788953172674961323,0.899874335,True,0.00040650406504065046,0.0,0.061382113821138215,0.0,0.0,0.0,0.04345991561181435,0.0,0.0,0.4782778947265405,-0.09619873785905031,4.1162070750518645,0.04874390618844039,-0.05886318909466951,0.012352907028610655,-0.00157836462209496
28,1788953172710872126,0.9357851380000001,True,0.00040650406504065046,0.0,0.06504065040650406,0.0,0.0,0.0,0.045569620253164564,0.0,0.0,0.37346522499093604,-0.05838770096334617,4.03609537890307,0.046341503916396576,-0.040324596855422994,-0.00017764548595974872,0.0
29,1788953172743022612,0.9679356240000001,True,0.00040650406504065046,0.0,0.07154471544715447,0.0,0.0,0.0,0.027848101265822777,0.0,0.0,0.0181586914059364,-0.35089209906830665,3.9646031382619356,0.02502103421420729,-0.019993475131069922,-0.010358904183181417,0.04046608563959858
30,1788953172775090384,1.000003396,True,0.00040650406504065046,0.0,0.0719512195121951,0.0,0.0,0.0,0.03122362869198312,0.0,0.0,0.14368898384552087,-0.13050351049998005,3.8075995679182415,0.04785362075949377,-0.03415620511051698,0.023402078145156244,0.04319283458336528
31,1788953172811001449,1.0359144610000002,True,0.0,0.0,0.056504065040650406,0.0,0.0,0.0,0.01518987341772152,0.0,0.0,0.38892654596469933,-0.03514530407532814,3.9864291947193555,0.052232897969954686,-0.05563840012373174,0.01931122004331471,0.03262276374891628
32,1788953172843020892,1.067933904,True,0.0,0.00040650406504065046,0.0556910569105691,0.0,0.0,0.0,0.017299578059071733,0.0,0.0,0.20661765135748333,-0.24959010262837497,3.8512469847103286,0.03561580058025189,-0.03231162174987132,-0.003732235657028604,0.02795896826976551
33,1788953172875216895,1.1001299070000001,True,0.0,0.0,0.05487804878048781,0.0,0.0,0.0,0.01118143459915612,0.0,0.0,0.4821002659635152,0.3156184311454612,3.868074720290508,0.07987272410807539,-0.07007445079396474,0.031593161187225854,0.060618060776615676
34,1788953172911138392,1.136051404,True,0.0,0.0,0.04430894308943089,0.0,0.0,0.0,0.014978902953586498,0.0,0.0,-0.07780813311103651,-0.6664412328916386,3.4786560289796755,0.001329085985629315,-0.0025062847375520655,0.0065917273384355005,0.040862362899072406
