frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953249845057528,0.0,False,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.00021097046413502107,0.04029535864978903,0.3746835443037975,nan,nan,nan,nan,nan,nan,nan
1,1788953249877091958,0.03203443,False,0.0,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.049156118143459916,0.39641350210970466,nan,nan,nan,nan,nan,nan,nan
2,1788953249909104031,0.064046503,False,0.0,0.0,0.0,0.0,0.0,0.0013071895424836603,0.00021097046413502107,0.0518987341772152,0.3976793248945147,nan,nan,nan,nan,nan,nan,nan
3,1788953249945085787,0.10002825900000001,False,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.0419831223628692,0.3886075949367089,nan,nan,nan,nan,nan,nan,nan
4,1788953249977129365,0.132071837,False,0.0,0.00040650406504065046,0.0,0.0,0.0,0.00261437908496732,0.0,0.05063291139240507,0.3793248945147679,nan,nan,nan,nan,nan,nan,nan
5,1788953250009001846,0.163944318,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.002941176470588235,0.0006329113924050633,0.05,0.3833333333333333,0.3423317272932598,1.5685672769786838,4.130587016394996,0.08891278299351404,-0.02260079749563235,0.030188548368572134,-0.009804575411889293
6,1788953250044970196,0.19991266800000002,True,0.0,0.0,0.0,0.0,0.0,0.0016339869281045752,0.0006329113924050633,0.06160337552742616,0.3867088607594936,0.34902836281137617,1.6517418023568478,4.044246756761629,0.09193759130451187,-0.02161009716743738,0.033345492332051134,-0.0038843529989302083
7,1788953250076805368,0.23174784,True,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.0008438818565400843,0.06434599156118144,0.38649789029535864,0.1572652580724352,1.3245774641987058,4.130385945974787,0.06274179427930428,-0.001574682280708718,-6.126816581306094e-05,0.010828477623224664
8,1788953250109097371,0.264039843,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.002941176470588235,0.0,0.07278481012658229,0.3947257383966244,0.24780721158143781,1.5567705133914391,4.164671053037065,0.07970238243444785,-0.010072327136900988,0.019366372366051474,0.0019069462343523757
9,1788953250144954471,0.299896943,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.002941176470588235,0.0,0.08037974683544304,0.40274261603375533,0.2974547267771046,1.625115077751137,4.23058661677986,0.0809902627605415,-0.016318518680561063,0.027621228675525963,0.009241799257888659
