frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953148674300513,0.0,False,0.2130081300813008,0.0,0.0,0.2957516339869281,0.0,0.0,0.3234177215189874,0.0018987341772151896,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788953148710226386,0.035925873000000004,False,0.21341463414634143,0.0,0.00040650406504065046,0.29411764705882354,0.0,0.0,0.32447257383966244,0.0021097046413502104,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
2,1788953148742266711,0.067966198,False,0.21056910569105688,0.0,0.0,0.31470588235294117,0.0,0.0,0.31561181434599156,0.0014767932489451476,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788953148774292682,0.099992169,False,0.20975609756097563,0.0,0.0,0.3156862745098039,0.0,0.0,0.31793248945147673,0.0012658227848101266,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
4,1788953148810221974,0.13592146100000002,True,0.21260162601626015,0.0,0.0016260162601626018,0.3330065359477124,0.0,0.0,0.3160337552742616,0.00189873417721519,0.0,0.6229978433934464,0.17130521609468988,4.010559184943625,0.05993415383101659,-0.03706398331981262,0.027925251275373902,-0.004799825173044217
5,1788953148842255715,0.167955202,True,0.2134146341463415,0.0,0.0032520325203252037,0.33562091503267977,0.0,0.0,0.3200421940928271,0.003375527426160338,0.0,0.1550062448084013,-0.14393487036137545,3.949344717783549,0.031195984380078742,-0.005017630893268492,-0.0007505973552642022,0.004392252667903345
6,1788953148874338717,0.20003820400000002,True,0.2117886178861789,0.0,0.0036585365853658543,0.33758169934640525,0.0,0.0,0.30843881856540084,0.0008438818565400843,0.0,0.4858880046300369,0.09396487982851019,3.7352114264013716,0.04941887256233472,-0.03267639063438236,0.022623950431665464,-0.022079008037959032
7,1788953148910264113,0.23596360000000002,True,0.21097560975609758,0.0,0.0008130081300813009,0.33562091503267977,0.0,0.0,0.3075949367088608,0.0014767932489451476,0.0,0.513951657313926,0.06754043161860915,3.829968432589629,0.051903657234222175,-0.0320327090030919,0.0217870032281168,0.010137900234692838
8,1788953148942329375,0.26802886200000003,True,0.21016260162601624,0.0,0.0008130081300813009,0.33790849673202616,0.0,0.0,0.3092827004219409,0.002109704641350211,0.0,0.3168233067352062,-0.29784915855470195,3.932589585277733,0.022260561974632144,-0.017217367400591047,-0.0019856359012686443,-0.0105845427551445
9,1788953148974373724,0.300073211,True,0.20203252032520327,0.0,0.0012195121951219512,0.3339869281045752,0.0,0.0,0.27890295358649786,0.0006329113924050632,0.0,0.3669247093771586,-0.10511293743856302,4.0078940429237395,0.03992270373962861,-0.01956699471269228,0.0039007422823411145,-0.01099404980167338
10,1788953149010264341,0.335963828,True,0.20284552845528458,0.0,0.0012195121951219512,0.334640522875817,0.0,0.0,0.2765822784810127,0.00042194092827004215,0.0,0.45888663520346706,-0.04447188959596721,3.949054212014219,0.04782490623976251,-0.027943790332167873,0.01875136917823267,0.0006358558269285433
11,1788953149042258840,0.36795832700000003,True,0.19471544715447156,0.0,0.0,0.3464052287581699,0.0,0.000980392156862745,0.22172995780590715,0.00042194092827004215,0.0,0.31050725768678333,-0.22173302119904637,4.115179125561787,0.03203887867783406,-0.015282553240322719,-0.007355726107151475,0.0011953625984376796
12,1788953149074270382,0.39996986900000003,True,0.1951219512195122,0.0,0.0,0.3457516339869281,0.0,0.000980392156862745,0.21898734177215187,0.0008438818565400843,0.0,0.32691473751734224,-0.17553411746173336,4.093770205041464,0.03717716507209182,-0.014770656952790557,0.006738301325423135,0.012819848594723519
13,1788953149110199345,0.435898832,True,0.17317073170731706,0.0,0.0008130081300813009,0.3303921568627451,0.0,0.0,0.21118143459915614,0.0,0.0,0.5040655464965125,0.1393454200515933,4.08265891218387,0.061977243253029585,-0.03389230209316682,0.026384018580135764,-0.0012788224047839028
14,1788953149142245688,0.46794517500000005,True,0.1691056910569106,0.0,0.0012195121951219512,0.319281045751634,0.0,0.0,0.20864978902953593,0.0006329113924050633,0.0,0.20208342525608858,-0.4678759930205114,4.002678623608524,0.013691263122413004,-0.003966174385735615,-0.008133158747790336,0.008715338509493048
15,1788953149174252537,0.49995202400000005,True,0.10243902439024391,0.0,0.0020325203252032522,0.3006535947712418,0.0,0.0,0.2727848101265823,0.0010548523206751054,0.0,0.4623677799956185,0.044174990407899545,4.108513042612303,0.05772579915355988,-0.02789963365897828,0.028886985807175126,0.0021477167484980136
16,1788953149210274984,0.5359744710000001,True,0.09918699186991871,0.0,0.0036585365853658543,0.2950980392156863,0.0,0.0,0.28818565400843876,0.002953586497890295,0.0,0.4819066761138915,-0.1757952633227896,4.003871176807947,0.04148182048654159,-0.026947777352812126,0.022800052619568918,0.003849930451018124
17,1788953149242217981,0.567917468,True,0.09837398373983741,0.0,0.0040650406504065045,0.29346405228758166,0.0,0.0,0.29472573839662447,0.003164556962025317,0.0,0.14544277388643456,-0.45088790191474654,4.19659843977701,0.023469756400916184,-0.00868163256048247,-0.0053494927302121225,-0.009601116232396952
18,1788953149274274685,0.599974172,True,0.05243902439024391,0.0,0.01910569105691057,0.2428104575163399,0.0,0.0,0.3189873417721519,0.004641350210970464,0.0,0.4588674987030543,-0.10387736249575383,4.043973891687229,0.05413422180715832,-0.02502910380857028,0.02891511821656203,0.0051280316954862345
19,1788953149310333561,0.636033048,True,0.04918699186991869,0.0,0.01991869918699187,0.23986928104575167,0.0,0.0,0.32299578059071726,0.006118143459915612,0.0,0.40727802366271715,-0.12666983483614333,4.01614241881447,0.04714935357722397,-0.025149046180549518,0.020939693604530317,0.002388431425997125
20,1788953149342276801,0.6679762880000001,True,0.02398373983739837,0.0,0.023983739837398377,0.20751633986928103,0.0,0.0,0.3162447257383966,0.002953586497890295,0.0,0.16383875541258397,-0.40113933595743007,4.082151010454313,0.023906540779007897,-0.002925884691921198,-0.004088383308879532,0.0014724913532447373
21,1788953149374265039,0.699964526,True,0.025203252032520322,0.0,0.02601626016260163,0.20130718954248367,0.0,0.0,0.319620253164557,0.0035864978902953584,0.0,0.34493239467268033,-0.13775531933300864,4.072084007118156,0.0491607343183072,-0.02129414958408681,0.01902141371640434,0.0
22,1788953149410205103,0.7359045900000001,True,0.026422764227642274,0.0,0.017073170731707315,0.1591503267973856,0.0,0.0,0.3082278481012658,0.0008438818565400843,0.0,0.39795773161539905,-0.19250132614494145,3.910207580254311,0.04465608526257255,-0.026275199076818304,0.02694603573068453,0.011459150930255105
23,1788953149442362029,0.768061516,True,0.025609756097560978,0.0,0.019105691056910568,0.146078431372549,0.0,0.0,0.3105485232067511,0.0008438818565400843,0.0,0.1941883539239615,-0.425503097308994,4.063544727157658,0.023416354441447504,-0.010050155190101143,-0.01209230561772641,-0.005429028411395248
24,1788953149474292107,0.7999915940000001,True,0.02195121951219512,0.0,0.02967479674796748,0.14411764705882352,0.0,0.0,0.2978902953586498,0.0008438818565400843,0.0,0.47235024509221746,-0.06487717004050719,3.90211770129871,0.05487811041954043,-0.03078597746202975,0.02544759304811056,0.006362564997326619
25,1788953149510246910,0.8359463970000001,True,0.02195121951219512,0.0,0.03211382113821139,0.14183006535947712,0.0,0.0,0.29493670886075946,0.0016877637130801686,0.00021097046413502107,0.42379336121757727,-0.1253100268899469,3.9669971579875867,0.05241059768450783,-0.025274860452817648,0.02500022180299068,-0.0016450747876642442
26,1788953149542353717,0.8680532040000001,True,0.022357723577235773,0.0,0.03252032520325203,0.14215686274509803,0.0,0.0,0.27805907172995786,0.00042194092827004215,0.00021097046413502107,0.11602997642037849,-0.39998902428046984,4.049892204794735,0.025908733895245725,-0.001051951694658788,-0.002056921771546448,0.016560278018756782
27,1788953149574373626,0.900073113,True,0.017479674796747967,0.0,0.054471544715447164,0.1483660130718954,0.0,0.0,0.2854430379746835,0.0006329113924050632,0.0,0.4992244929675762,-0.1494168207258153,3.9365159729388886,0.0517826078139357,-0.02966015399205533,0.029562536441637505,0.00808837315812018
28,1788953149610212563,0.9359120500000001,True,0.017886178861788615,0.0,0.05609756097560975,0.14803921568627448,0.0,0.0,0.2881856540084388,0.0006329113924050632,0.0,0.47765357484294113,-0.1946490102422575,4.01235790444518,0.04953297648425592,-0.031857055227096275,0.02270180786385821,0.00747235674931047
29,1788953149642228417,0.9679279040000001,True,0.015040650406504066,0.0,0.05162601626016261,0.18758169934640523,0.0,0.0,0.2685654008438819,0.0010548523206751054,0.0,0.3018956617987054,-0.22791462025326353,4.085653423721782,0.041809109449977094,-0.023156639805511057,0.013451570579179933,-0.002940465057096794
30,1788953149674245436,0.999944923,True,0.015040650406504066,0.0,0.0540650406504065,0.18856209150326797,0.0,0.0,0.26561181434599157,0.0016877637130801686,0.0,0.4308374306945446,-0.025092507530510826,4.015887733410077,0.06093197332541607,-0.03133732194915208,0.02955085874014546,-0.0007106104053329658
31,1788953149710232280,1.0359317670000001,True,0.02113821138211382,0.0,0.051219512195121955,0.23725490196078428,0.0,0.0,0.24261603375527424,0.0012658227848101266,0.0,0.44461017444833617,0.11246938612645486,3.7878840132505687,0.06879861861880701,-0.030379972383988908,0.035962940580190436,0.001503650934500596
32,1788953149742227714,1.067927201,True,0.02195121951219512,0.0,0.0491869918699187,0.2379084967320261,0.0,0.0,0.23797468354430382,0.0016877637130801686,0.0,0.03538568815544041,-0.6991312033123118,3.981529778431906,-0.0005982439818988695,0.008582724276052538,-0.01707223687512361,-0.007308490151850486
