frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953217360175378,0.0,False,0.0646341463414634,0.0008130081300813009,0.00040650406504065046,0.0130718954248366,0.0,0.04738562091503268,0.02130801687763713,0.1210970464135021,0.49789029535864976,nan,nan,nan,nan,nan,nan,nan
1,1788953217392126697,0.031951319,False,0.058536585365853655,0.0,0.002845528455284553,0.010130718954248366,0.0,0.044444444444444446,0.017721518987341776,0.11856540084388185,0.49261603375527424,nan,nan,nan,nan,nan,nan,nan
2,1788953217428068014,0.067892636,False,0.05853658536585367,0.0,0.002845528455284553,0.010457516339869282,0.0,0.04542483660130719,0.017299578059071733,0.12130801687763712,0.48881856540084384,nan,nan,nan,nan,nan,nan,nan
3,1788953217460160935,0.099985557,False,0.04959349593495935,0.0,0.007723577235772358,0.00784313725490196,0.0,0.0457516339869281,0.014978902953586498,0.11835443037974684,0.4845991561181435,nan,nan,nan,nan,nan,nan,nan
4,1788953217492164683,0.131989305,False,0.0483739837398374,0.0,0.00934959349593496,0.00784313725490196,0.0,0.047058823529411764,0.01540084388185654,0.11962025316455697,0.48248945147679334,nan,nan,nan,nan,nan,nan,nan
5,1788953217528080982,0.167905604,True,0.04268292682926829,0.0016260162601626018,0.013821138211382113,0.010457516339869282,0.0,0.03431372549019608,0.021308016877637132,0.1352320675105485,0.4932489451476793,0.5974819894094507,1.9104480887640287,4.083912617765854,0.08151113900646276,-0.028863530833995354,0.01694602204954273,0.023128655970502218
6,1788953217560143481,0.199968103,True,0.04390243902439024,0.0016260162601626018,0.014227642276422764,0.011437908496732025,0.0,0.03235294117647059,0.02362869198312236,0.1428270042194093,0.48691983122362864,0.5056855440756618,2.099359679413351,4.068939329342493,0.09952726707772566,-0.03328927760332203,0.03376171717804323,-0.021907938641372523
7,1788953217592116328,0.23194095,True,0.0434959349593496,0.0016260162601626018,0.014634146341463414,0.004248366013071896,0.0,0.03496732026143791,0.009704641350210971,0.160126582278481,0.46835443037974683,0.3945353216461813,1.8527234697294914,4.191562732465558,0.0709718840979151,-0.010949957584952331,0.005555900985958873,0.018543156712946273
8,1788953217628181227,0.268005849,True,0.015040650406504066,0.0008130081300813009,0.0008130081300813009,0.0006535947712418301,0.0,0.0392156862745098,0.009071729957805908,0.16476793248945149,0.45928270042194086,0.3941443458903342,1.959034249582939,4.151189165613685,0.08410538735243442,-0.02077368965670974,0.024290483677515504,-0.02444433985790721
9,1788953217660159808,0.29998443,True,0.014634146341463414,0.0012195121951219512,0.0008130081300813009,0.0006535947712418301,0.0,0.03986928104575163,0.008649789029535865,0.1670886075949367,0.4584388185654008,0.45339606602673665,2.032192883564328,3.9827742868761344,0.09131922061035377,-0.020996415981671224,0.02653763835533017,-0.004504454368365641
10,1788953217692138911,0.33196353300000003,True,0.013821138211382113,0.0020325203252032522,0.0,0.00032679738562091506,0.0,0.03006535947712418,0.008438818565400843,0.11666666666666667,0.4284810126582279,0.1959714242367918,1.4574154832420179,4.157931129916555,0.0519670191872267,-0.002776802208030649,-0.0069420792527296465,-0.005863201203187913
11,1788953217728248848,0.36807347,True,0.015447154471544716,0.0024390243902439024,0.0,0.00032679738562091506,0.0,0.032352941176470584,0.008227848101265823,0.11244725738396624,0.42594936708860764,0.15237971386449245,2.101439201479515,4.07197772378315,0.09881306917695652,-0.007080072505763884,0.02570240095566892,-0.0036938508009898485
12,1788953217760145005,0.39996962700000005,True,0.02357723577235772,0.0,0.0016260162601626018,0.00784313725490196,0.0,0.01993464052287582,0.008438818565400845,0.08016877637130801,0.3987341772151899,0.4415261763697693,2.051993573449355,4.134861981327179,0.08820306818498058,-0.021127545144169906,0.022147757798534423,0.0
13,1788953217792151124,0.43197574600000005,True,0.02357723577235772,0.0,0.0016260162601626018,0.008496732026143792,0.0,0.021895424836601306,0.008860759493670886,0.0829113924050633,0.3943037974683544,0.12801735156918204,1.6965066890798315,4.18946905424204,0.059531064427791165,0.005397066827908864,-0.0024486155506106104,-0.03407592641751589
14,1788953217828115677,0.467940299,True,0.028048780487804882,0.0,0.0020325203252032522,0.014705882352941176,0.0,0.009477124183006535,0.012869198312236287,0.04135021097046414,0.3470464135021097,0.3085055069149065,2.008971843465944,4.163929843831661,0.08437341004026566,-0.011560369711370764,0.01134785002100882,-0.008402680922697064
15,1788953217859996368,0.49982099,True,0.02886178861788618,0.0,0.002032520325203252,0.015359477124183007,0.0,0.007516339869281045,0.014767932489451477,0.03797468354430379,0.33059071729957806,0.43326319721676443,2.0301323805033773,4.015673295975568,0.09320181856209425,-0.02519770478332718,0.0329169428791154,0.0016366338105983707
16,1788953217891997252,0.531821874,True,0.03252032520325203,0.0,0.002845528455284553,0.007516339869281045,0.0,0.0,0.010126582278481013,0.026371308016877638,0.25864978902953584,0.27791904932363054,1.9113817787378122,4.163569679247493,0.08174789786684437,-0.01171960795322496,-0.0018059392466110644,0.0
17,1788953217928023100,0.567847722,True,0.03861788617886179,0.0,0.0,0.0068627450980392165,0.0,0.0,0.00970464135021097,0.031856540084388194,0.23459915611814344,0.3704099991169292,1.9416276815073417,4.1869067099296275,0.08167981858348804,-0.014948286485019101,0.01682959199611437,-0.010410732805375078
18,1788953217960110377,0.599934999,True,0.03983739837398374,0.0,0.0,0.0068627450980392165,0.0,0.0,0.010126582278481013,0.03143459915611814,0.23628691983122369,0.4076905681846148,2.0700055243252993,4.418578708194937,0.09409213765519744,-0.020408907489822173,0.01985214486862595,-0.01285695266625805
19,1788953217992115858,0.63194048,True,0.058536585365853655,0.0,0.00040650406504065046,0.016013071895424835,0.0,0.0,0.01518987341772152,0.02552742616033755,0.13481012658227848,0.12899671239955612,1.6488394079498467,4.322192362066392,0.055018218390543674,0.013103370456658768,-0.010235729773785878,-0.00046631722473260124
20,1788953218027998946,0.6678235680000001,True,0.05975609756097561,0.0,0.00040650406504065046,0.016666666666666666,0.0,0.0,0.01729957805907173,0.027848101265822787,0.12827004219409283,0.23170341596504684,1.7337245410584727,4.250969839548219,0.07315007063254209,-0.012053246994549262,0.0041099881367977625,-0.0045107354806421885
21,1788953218060146855,0.6999714770000001,True,0.10162601626016261,0.0,0.0,0.0457516339869281,0.0,0.0,0.0229957805907173,0.024261603375527428,0.1128691983122363,0.390353617732341,1.9638452633802013,4.128442940193554,0.08795989803903193,-0.0203408774567555,0.018204954946239353,0.0010939768720597055
22,1788953218092009233,0.7318338550000001,True,0.10406504065040652,0.0,0.0,0.04738562091503268,0.0,0.0,0.024261603375527428,0.02848101265822785,0.11181434599156119,0.025511747300594134,1.530434499721315,4.161154700749658,0.05966712971354417,0.0029958852035027747,-0.011699106518787812,-0.005311155984852381
