frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788953272409356091,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0026143790849673205,0.0006329113924050632,0.034599156118143466,0.381012658227848,nan,nan,nan,nan,nan,nan,nan
1,1788953272445323522,0.035967431,False,0.0,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.03143459915611814,0.36371308016877635,nan,nan,nan,nan,nan,nan,nan
2,1788953272477343074,0.067986983,False,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.039451476793248945,0.35253164556962024,nan,nan,nan,nan,nan,nan,nan
3,1788953272509459410,0.10010331900000001,False,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.0,0.04556962025316455,0.36708860759493667,nan,nan,nan,nan,nan,nan,nan
4,1788953272545338870,0.135982779,False,0.0,0.0,0.0,0.0,0.0,0.00261437908496732,0.0,0.05632911392405062,0.3651898734177215,nan,nan,nan,nan,nan,nan,nan
5,1788953272578042095,0.168686004,True,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.058438818565400855,0.3656118143459916,0.16824079834649974,1.3325422164160112,4.128208605473908,0.059948465385445404,0.0017155044247802102,0.00018082166998480836,0.0162001347442234
6,1788953272609521181,0.20016509000000002,True,0.0,0.0012195121951219512,0.0,0.0,0.0,0.004248366013071896,0.0,0.045569620253164564,0.3462025316455696,0.2440798570542364,1.5530368893745952,3.99265489696932,0.0823810259835867,-0.007607879997941584,0.024721352662353237,-0.0032842143916637615
7,1788953272645333864,0.235977773,True,0.0,0.0012195121951219512,0.0,0.0,0.0,0.00392156862745098,0.0,0.04852320675105485,0.34535864978902947,0.3333268054918208,1.6364858911582236,4.047325719260548,0.08401587333890968,-0.015019380281576568,0.03189190612048112,-0.00422294043049654
8,1788953272677498002,0.268141911,True,0.0,0.0,0.0,0.0,0.0,0.0013071895424836603,0.00021097046413502107,0.049367088607594936,0.3864978902953587,0.06149590888058354,1.1765882993300818,4.116757295200204,0.047877598890315884,0.012521860073127425,-0.00824433929234739,0.004602858931890961
9,1788953272709450643,0.300094552,True,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.00021097046413502107,0.05358649789029536,0.3934599156118143,0.43601677397721517,1.6302963043941159,4.018549609372064,0.08354626626078582,-0.02067108444275694,0.026033931336561594,-0.011756013012438553
10,1788953272745320266,0.33596417500000003,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.0016339869281045752,0.0,0.054219409282700415,0.4175105485232068,0.39477639540876486,1.4904252481418068,4.0644978751196055,0.07243900965933485,-0.018601896926516422,0.017142772721977263,-0.0002672156777701312
11,1788953272777580840,0.368224749,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.0029411764705882353,0.00021097046413502107,0.05886075949367089,0.4166666666666667,0.36448874424997646,1.4157674254035262,4.155228586017367,0.053394843878504746,-0.01288633202245978,-0.005310412787961485,0.013658327369322557
12,1788953272809535380,0.40017928900000005,True,0.0,0.00040650406504065046,0.0,0.0,0.0,0.003594771241830065,0.0008438818565400843,0.0660337552742616,0.42827004219409287,0.43838435858433855,1.5441840123275603,4.149946789377556,0.07133488140017069,-0.01479443400967666,0.019152181655764978,0.016197734660906425
