frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788952963105382344,0.0,False,0.0,0.0,0.040243902439024384,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788952963141241714,0.03585937,False,0.0,0.0,0.01707317073170732,0.0,0.0006535947712418301,0.0,0.00042194092827004215,0.00042194092827004215,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788952963173252117,0.06786977300000001,False,0.0,0.0,0.01585365853658537,0.0,0.0006535947712418301,0.0,0.00042194092827004215,0.00042194092827004215,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788952963205386755,0.100004411,False,0.0,0.00040650406504065046,0.0008130081300813009,0.0,0.00032679738562091506,0.0,0.00021097046413502107,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788952963241220946,0.135838602,False,0.0,0.0008130081300813009,0.0008130081300813009,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788952963273290018,0.167907674,True,0.0,0.0,0.00040650406504065046,0.0,0.0,0.0006535947712418301,0.0,0.0,0.0,0.40451750423922883,0.41514351027869073,3.7076909020412643,0.04594988456878482,-0.03640271635273422,0.003111844235145128,-0.018793970276515044
6,1788952963305220362,0.199838018,True,0.0,0.0,0.00040650406504065046,0.0,0.0,0.0006535947712418301,0.0,0.0,0.0,0.03170473505958826,0.07395319996811674,3.8770508146795786,0.01837139044156688,-0.0088981555380343,-0.015808911256280943,0.020564430174802813
7,1788952963341283079,0.23590073500000003,True,0.0,0.0,0.00040650406504065046,0.0,0.0,0.0,0.0,0.0,0.0,0.47118842407462025,0.6315120039216846,3.859736334028999,0.0668460120079624,-0.03639795905961633,0.017171444124106476,0.0
8,1788952963373197077,0.267814733,True,0.0,0.0,0.0016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,-0.03003298859342296,0.12842140151077724,3.93035320445029,0.019300794524972423,-0.0008887230248979282,-0.021696610907324748,-0.014907490576991644
9,1788952963405265338,0.299882994,True,0.0,0.0,0.0020325203252032522,0.0,0.0,0.0,0.0,0.0,0.0,0.22603324671662195,0.3991307767007568,3.8193504835287864,0.042130695742836316,-0.013387847697193872,-0.009608818967670909,0.009226788192102018
10,1788952963441214911,0.335832567,True,0.0,0.0,0.00040650406504065046,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0,0.2739383198956289,0.5921123702447564,3.6622529547128333,0.05879578922119369,-0.02814923458196151,0.018866766193060214,0.01875239720045744
