frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788952869906420785,0.0,False,0.0,0.0,0.0024390243902439024,0.0,0.0,0.0,0.22742616033755275,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788952869938529842,0.032109057,False,0.0,0.0,0.0016260162601626018,0.0,0.0,0.0,0.2278481012658228,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788952869970686280,0.064265495,False,0.0,0.0,0.006097560975609757,0.0,0.0,0.0,0.19261603375527428,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788952870006660117,0.100239332,False,0.0,0.00040650406504065046,0.007723577235772358,0.0,0.0,0.0,0.18016877637130807,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788952870038634555,0.13221377,True,0.0,0.00040650406504065046,0.00853658536585366,0.0,0.0,0.0,0.17025316455696202,0.0,0.0,-0.004540270348388997,1.9928793982171797,4.514133818912433,0.05570064351813227,3.583625002984961e-05,-0.009219963799986523,0.024685390516413122
5,1788952870070710606,0.164289821,True,0.0,0.0036585365853658543,0.014227642276422764,0.0,0.0,0.0,0.16561181434599156,0.0,0.0,0.5082705527309721,2.218579071851138,4.29417305194062,0.06827159852065054,-0.038892992782640884,0.009645602409104146,-0.005799671024221063
6,1788952870106703734,0.20028294900000002,True,0.0,0.004471544715447154,0.014634146341463414,0.0,0.0,0.0,0.16582278481012658,0.0,0.0,0.5634826352846696,2.3607908127925743,4.310125671180062,0.07466736688918099,-0.05043043985550453,0.014242385435020793,0.024549325574938743
7,1788952870138615820,0.23219503500000002,True,0.0,0.0008130081300813009,0.019105691056910568,0.0,0.0,0.0,0.18143459915611815,0.0,0.0,-0.043064015195140914,1.9359651828911988,4.340582422226751,0.03232318593013614,0.005419373975820386,-0.020449414012791288,0.04544552570881452
8,1788952870170763591,0.26434280600000004,True,0.0,0.0016260162601626018,0.017886178861788615,0.0,0.0,0.0,0.18101265822784812,0.0,0.0,0.3609905351004279,2.4698081978565956,4.324375661514851,0.07394534901470673,-0.03644445781442544,0.015879854787921373,-0.01119216308024109
9,1788952870206703808,0.30028302300000004,True,0.0,0.0012195121951219512,0.025203252032520322,0.0,0.0,0.0,0.19240506329113924,0.0,0.0,0.6584463914399814,2.749099444179642,4.381372976227968,0.07724836911146964,-0.05770935248906353,0.019016459290632597,-0.019037930738348818
10,1788952870238626447,0.332205662,True,0.0,0.0012195121951219512,0.026422764227642274,0.0,0.0,0.0,0.19451476793248945,0.0,0.0,0.33147258589015927,2.3345184710261115,4.30587447218083,0.043295524365802016,-0.026344794062870797,-0.01412508796471727,0.0
11,1788952870270803404,0.364382619,True,0.0,0.00040650406504065046,0.024390243902439025,0.0,0.0,0.0,0.1858649789029536,0.0,0.0,0.3934442758800696,2.7539153954118833,4.232164021525644,0.07547191864247196,-0.030072786597716665,0.017986317922563017,-0.0234340434901067
