frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788952915756166791,0.0,False,0.0,0.0016260162601626018,0.0024390243902439024,0.0032679738562091504,0.0,0.0,0.2778481012658228,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788952915788095901,0.031929110000000004,False,0.0,0.0024390243902439024,0.0036585365853658543,0.0029411764705882353,0.0,0.0,0.2675105485232067,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788952915823969421,0.06780263,False,0.0,0.002845528455284553,0.002845528455284553,0.0026143790849673205,0.0,0.0,0.2679324894514768,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788952915856064948,0.099898157,False,0.0,0.0,0.0016260162601626018,0.0,0.0,0.0,0.23438818565400849,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788952915888058369,0.131891578,False,0.0,0.0,0.0032520325203252037,0.0,0.0,0.0,0.23122362869198315,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788952915923990905,0.16782411400000002,True,0.0,0.0012195121951219512,0.006504065040650407,0.000980392156862745,0.0,0.0,0.200210970464135,0.0,0.0,0.16520125076753978,1.675528608847522,4.332994202193808,0.03846758448395056,-0.019786371503344814,-0.013662640812151761,0.0406445263952608
6,1788952915956000351,0.19983356000000002,True,0.0,0.0016260162601626018,0.007317073170731709,0.000980392156862745,0.0,0.0,0.19978902953586497,0.0,0.0,0.48320818420343414,2.0219683001760695,4.147998571821794,0.06365592052395003,-0.040885168054536854,0.012058988894203766,0.007935650989233347
7,1788952915988054261,0.23188747,True,0.0,0.0008130081300813009,0.02073170731707317,0.00032679738562091506,0.0,0.0,0.2021097046413502,0.0,0.0,0.23301259240622985,1.855805377140576,4.247427621812952,0.042375290750753976,-0.024150062601880986,-0.00848372140253591,0.017849906280296087
8,1788952916024023743,0.26785695200000004,True,0.0,0.0016260162601626018,0.022357723577235776,0.0,0.0,0.0,0.20253164556962028,0.0,0.0,0.2021269125956886,2.1265258538438236,4.310132143773509,0.058099448543733306,-0.021499996926698524,-0.0012411582037668602,0.023390692781126755
9,1788952916055931374,0.29976458300000003,True,0.0,0.0012195121951219512,0.023983739837398373,0.00032679738562091506,0.0,0.0,0.2221518987341772,0.0,0.0,0.3053351229692134,2.274923096200232,4.306765595890481,0.06616681729837173,-0.03093139145982203,0.008423918955321418,0.0
10,1788952916087918612,0.331751821,True,0.0,0.0016260162601626018,0.021951219512195124,0.000980392156862745,0.0,0.0,0.22911392405063288,0.0,0.0,0.3175743498236363,2.1194489207463842,4.353870552023346,0.04852790341250137,-0.027172108496673376,-0.01820262382094749,0.0063201895642254905
11,1788952916123976527,0.367809736,True,0.0,0.002845528455284553,0.021544715447154472,0.000980392156862745,0.0,0.0,0.22953586497890294,0.0,0.0,0.19050603181600367,2.140841514941131,4.329880112771522,0.04579720387058541,-0.018650385043652528,-0.015283720953460235,0.026179086573692424
12,1788952916156034379,0.39986758800000005,True,0.0008130081300813009,0.0,0.02032520325203252,0.002941176470588235,0.0,0.0,0.23291139240506328,0.0,0.0,0.28072502069629235,2.360459257594558,4.295508202236774,0.06431977871196483,-0.024794956768128096,-0.0005971265892259908,0.04770519023147277
13,1788952916188076701,0.43190991,True,0.0008130081300813009,0.0,0.02154471544715447,0.003594771241830065,0.0,0.0,0.23481012658227854,0.0,0.0,0.22049482533809783,2.2144274668620936,4.3460435676330835,0.04347619547656356,-0.012541503169832689,-0.01921956577434253,-0.004668646730280458
14,1788952916223957684,0.46779089300000004,True,0.0,0.0008130081300813009,0.017479674796747967,0.0035947712418300656,0.0,0.0,0.14430379746835442,0.0,0.0,0.31463735519562364,2.177983828193939,4.332333404596346,0.03826016575646974,-0.01991524765210137,-0.019297506848501837,-0.010194407071759783
15,1788952916256035646,0.49986885500000006,True,0.0,0.0008130081300813009,0.017073170731707315,0.0035947712418300656,0.0,0.0,0.14135021097046416,0.0,0.0,0.6420424219651939,2.7213506564886405,4.386839571027281,0.08562495575282189,-0.050275995273770684,0.016273906207259006,0.01799976136968862
16,1788952916288006528,0.531839737,True,0.0,0.0008130081300813009,0.004878048780487806,0.0029411764705882353,0.0,0.0,0.12679324894514768,0.0,0.0,0.16514257960924006,2.209571324283575,4.322352200605903,0.04049565618570203,-0.005443867323539245,-0.02064513241618863,0.0069683502169250195
17,1788952916323956672,0.567789881,True,0.0,0.00040650406504065046,0.006097560975609757,0.0026143790849673205,0.0,0.0,0.12932489451476792,0.0,0.0,0.3146404559469782,2.250901651951872,4.301255816875482,0.043459277778127,-0.019019864555759207,-0.021980119713028393,0.03504308996950245
18,1788952916356029512,0.599862721,True,0.00040650406504065046,0.0,0.005284552845528455,0.006535947712418301,0.0,0.0,0.14430379746835445,0.0,0.0,0.667948854450662,2.7601901739229104,4.338221666059875,0.08015868932794237,-0.044531039274729484,0.006981581542084628,0.009472429092810335
19,1788952916388049866,0.6318830750000001,True,0.00040650406504065046,0.00040650406504065046,0.0008130081300813009,0.00915032679738562,0.0,0.0,0.1552742616033755,0.0,0.0,0.4992587198066596,2.497587340084988,4.342150858578615,0.05634301215810911,-0.02767299841344877,-0.00842846223610405,0.026874924839879705
20,1788952916424158960,0.667992169,True,0.00040650406504065046,0.00040650406504065046,0.0008130081300813009,0.010784313725490196,0.0,0.0,0.15654008438818562,0.0,0.0,0.38786322099640524,2.4995149130889462,4.339685643298275,0.059155341230725765,-0.01865610390080137,-0.011066756158609643,0.034407368301214006
21,1788952916456060739,0.699893948,True,0.0,0.005691056910569106,0.004878048780487805,0.024183006535947713,0.0,0.0,0.20253164556962022,0.00042194092827004215,0.0,0.9246548775074943,2.0264171387958645,4.182006736403988,0.02243287960465796,-0.040604703688326506,-0.0189516543505337,0.04893046934495152
22,1788952916488012652,0.731845861,True,0.0,0.005691056910569106,0.005284552845528456,0.02875816993464052,0.0,0.0,0.20759493670886076,0.0006329113924050633,0.0,0.650698116022854,2.829958446850778,4.327970116756129,0.10324483029844272,-0.04054557467395902,-0.006241419365285009,-0.010497441305495151
23,1788952916523940004,0.767773213,True,0.0,0.003252032520325203,0.0024390243902439024,0.028431372549019607,0.0,0.0,0.20548523206751054,0.002109704641350211,0.0,0.2556074387319338,1.7621095172413535,4.058139152267996,0.008658994959140211,0.001716772968384511,-0.035788373282367655,-0.007883254873073968
24,1788952916556054079,0.7998872880000001,True,0.0,0.003252032520325203,0.002032520325203252,0.02941176470588235,0.0,0.0,0.2061181434599156,0.002109704641350211,0.0,0.6831517701115808,2.802367099578489,4.352367160896861,0.10630090240457804,-0.050416467213804037,0.026819359183511228,0.03766746135201161
25,1788952916587949954,0.8317831630000001,True,0.0,0.005691056910569106,0.0032520325203252037,0.027124183006535945,0.0,0.0,0.21814345991561185,0.0012658227848101266,0.0,0.3083505939415878,2.1628833006217643,4.4409718101076425,0.03709485159864181,0.0025688363813920504,-0.026693075893049093,0.0
26,1788952916623930080,0.8677632890000001,True,0.0,0.006097560975609756,0.005691056910569106,0.02843137254901961,0.0,0.0,0.22679324894514769,0.002109704641350211,0.0,0.5448609164189411,2.237132340522134,4.408316161568181,0.04847638860377479,-0.0192013907986797,-0.01620805878867242,-0.016434034087372297
27,1788952916656041454,0.8998746630000001,True,0.01097560975609756,0.002032520325203252,0.0012195121951219512,0.08366013071895426,0.0,0.0,0.23059071729957803,0.00189873417721519,0.0,0.7292734404137018,2.7084719944623266,4.230438380122463,0.07513377872839731,-0.027093054524946078,0.005609414357543689,0.005084718198342731
28,1788952916688053570,0.931886779,True,0.011788617886178862,0.002032520325203252,0.0016260162601626018,0.09248366013071896,0.0,0.0,0.23101265822784808,0.002531645569620253,0.0,0.3763565381037237,2.257378685669722,4.411238081069037,0.034216447412658606,0.0014072439219589808,-0.035470484018201916,0.01289551881750737
29,1788952916724002684,0.9678358930000001,True,0.01138211382113821,0.0024390243902439024,0.0016260162601626018,0.09673202614379085,0.0,0.0,0.22932489451476795,0.0035864978902953584,0.0,0.45506133075383803,2.5158993126375297,4.2792094340231905,0.06186790116332526,-0.0053354942569927375,-0.00990172164623214,-0.019521634356494944
30,1788952916755952529,0.999785738,True,0.04878048780487805,0.00040650406504065046,0.0012195121951219512,0.2084967320261438,0.0,0.0,0.25759493670886074,0.006751054852320674,0.0,0.5459317746394432,2.5730653391928806,4.332011918453123,0.06294846865489699,-0.011240614397285938,-0.008222694332126492,-0.02671028126810455
