frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.0,none,False
1,0.031891695000000005,False,0.0,none,False
2,0.064015758,False,0.0,none,False
3,0.09998965600000001,False,0.0,none,False
4,0.13208827,False,0.0,none,True
5,0.16399088,False,0.0,none,True
6,0.200001597,False,0.0,none,True
7,0.23187910900000003,False,0.0,none,True
8,0.264012362,False,0.0,none,True
9,0.299939089,False,0.0,none,True
10,0.33175010200000005,False,0.0,none,True
11,0.36390788100000004,False,0.0,none,True
12,0.39981934700000005,False,0.0,none,True
13,0.431921355,False,0.0,none,True
14,0.46393693700000005,False,0.0,none,True
15,0.49991249600000004,False,0.0,none,True
16,0.531842871,False,0.0,none,True
17,0.5639524840000001,False,0.0,none,True
18,0.599841476,False,0.0,none,True
19,0.631786948,False,0.0,none,True
20,0.6639603380000001,False,0.0,none,True
21,0.699919544,False,0.0,none,True
22,0.7319117420000001,False,0.0,none,True
23,0.7638760490000001,False,0.0,none,True
24,0.799914839,False,0.0,none,True
25,0.831935461,False,0.0,none,True
26,0.863971291,False,0.0,none,True
27,0.899860673,False,0.0,none,True
28,0.9320014900000001,False,0.0,none,True
29,0.963955784,False,0.0,none,True
30,0.9998749960000001,False,0.0,none,True
31,1.0318657390000001,False,0.0,none,True
32,1.063876399,False,0.0,none,True
33,1.099845938,False,0.0,none,True
34,1.132003976,False,0.0,none,True
35,1.164053142,False,0.0,none,True
36,1.1998781550000002,False,0.0,none,True
37,1.231999973,False,0.0,none,True
38,1.2640138810000001,False,0.0,none,True
39,1.2999685920000001,False,0.0,none,True
40,1.3320063560000002,False,0.0,none,True
41,1.3640000330000002,False,0.0,none,True
42,1.3999451600000001,False,0.0,none,True
43,1.431985504,False,0.0,none,True
44,1.4639674770000002,False,0.0,none,True
45,1.49977737,False,0.0,none,True
46,1.5317684150000002,False,0.0,none,True
47,1.5637367320000002,False,0.0,none,True
48,1.5997371930000002,False,0.0,none,True
49,1.6317637680000001,False,0.0,none,True
50,1.66380509,False,0.0,none,True
51,1.699702991,False,0.0,none,True
52,1.7318035280000001,False,0.0,none,True
53,1.763779605,False,0.0,none,True
54,1.7998162610000001,False,0.0,none,True
55,1.8317973090000002,False,0.0,none,True
56,1.866020806,False,0.0,none,True
57,1.9019703790000002,False,0.0,none,True
58,1.9339277160000001,False,0.0,none,True
59,1.9659974390000001,False,0.0,none,True
60,2.0019352830000003,False,0.0,none,True
61,2.034056295,False,0.0,none,True
62,2.066098991,False,0.0,none,True
63,2.101956275,False,0.0,none,True
64,2.131731461,False,0.0,none,True
65,2.163974487,False,0.0,none,True
66,2.1998129960000004,False,0.0,none,True
67,2.231814781,False,0.0,none,True
68,2.2637867760000003,False,0.0,none,True
69,2.2997523230000003,False,0.0,none,True
70,2.331824627,False,0.0,none,True
71,2.3638164130000003,False,0.0,none,True
72,2.399777501,False,0.0,none,True
73,2.431837642,False,0.0,none,True
74,2.463831323,False,0.0,none,True
75,2.4997485530000003,False,0.0,none,True
76,2.531796717,False,0.0,none,True
77,2.5640826850000003,False,0.0,none,True
78,2.599794306,False,0.0,none,True
79,2.631906788,False,0.0,none,True
80,2.663924863,False,0.0,none,True
81,2.699999549,False,0.0,none,True
82,2.73201162,False,0.0,none,True
83,2.764005161,False,0.0,none,True
84,2.799947328,False,0.0,none,True
85,2.8319907050000004,False,0.0,none,True
86,2.8640194460000004,False,0.0,none,True
87,2.899984807,False,0.0,none,True
88,2.9320169650000003,False,0.0,none,True
89,2.9639890450000004,False,0.0,none,True
90,2.999929234,False,0.0,none,True
91,3.0318979980000003,False,0.0,none,True
92,3.0639893330000003,False,0.0,none,True
93,3.0999116850000004,False,0.0,none,True
94,3.132003649,False,0.0,none,True
95,3.1639635370000003,False,0.03125,left,True
96,3.199968398,False,0.03125,left,True
97,3.2320293230000003,False,0.0625,left,True
98,3.264007529,False,0.09375,left,True
99,3.299947474,False,0.09375,left,True
100,3.3319819280000003,False,0.09375,left,True
101,3.364035009,False,0.09375,left,True
102,3.3999654670000004,False,0.09375,left,True
103,3.431956993,False,0.09375,left,True
104,3.4639812180000003,True,0.125,left,True
105,3.500036632,True,0.125,left,True
106,3.532056658,True,0.15625,left,True
107,3.564039955,True,0.15625,left,True
108,3.6000093270000004,True,0.15625,left,True
109,3.631966869,True,0.15625,left,True
110,3.6639881830000003,True,0.15625,left,True
111,3.6999268510000003,True,0.1875,left,True
112,3.731810137,True,0.1875,left,True
113,3.7637879040000004,True,0.1875,left,True
114,3.7997969050000004,True,0.1875,left,True
115,3.8318035330000004,True,0.21875,left,True
116,3.8638766180000004,True,0.21875,left,True
117,3.899844428,True,0.21875,left,True
118,3.932078546,True,0.25,left,True
119,3.9639902510000002,True,0.25,left,True
120,4.000001798,True,0.25,left,True
121,4.032060402,True,0.25,left,True
122,4.064046965,True,0.28125,left,True
123,4.099801227,True,0.28125,left,True
124,4.1319050850000005,True,0.28125,left,True
