frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788936572716185925,0.0,False,0.05365853658536586,0.0020325203252032522,0.0,0.0,0.0,0.0,0.00759493670886076,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788936572748385939,0.032200014,False,0.03170731707317073,0.0,0.0,0.0,0.0,0.0,0.00379746835443038,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788936572784173518,0.067987593,False,0.031300813008130084,0.0,0.0,0.0,0.0,0.0,0.004430379746835443,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788936572816203805,0.10001788,False,0.014634146341463414,0.0,0.0,0.0,0.0,0.0,0.002953586497890295,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788936572848195294,0.13200936900000002,False,0.014227642276422764,0.0,0.0,0.0,0.0,0.0,0.003164556962025317,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788936572884189444,0.16800351900000002,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,0.3964503712055303,2.070547203958083,4.072575832815966,0.096026509567948,0.003952332795989564,0.026984241966832037,0.000953922135845824
6,1788936572916193698,0.200007773,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.00021097046413502107,0.0,0.490939876601028,2.0221921861483407,4.044487306198039,0.09501162747471414,-0.00248052115961736,0.03396458554982456,0.0032241311038086647
7,1788936572948163777,0.231977852,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31014734360245266,1.9282203061943715,4.061032421070924,0.08631707889349473,0.00769430102601208,0.018932662625010983,0.00975319285399035
8,1788936572984196609,0.268010684,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44349806259913294,2.0833213869170417,3.9726794200919566,0.10037720100088994,-0.0013935419558146736,0.032297279025960565,-0.026028573891856872
9,1788936573016182318,0.29999639300000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0,0.340623071358904,2.00579080474987,4.004025130803852,0.09774367988905838,0.0024063842679124415,0.030132260565984677,-0.006256225002066238
10,1788936573048193213,0.332007288,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0006329113924050632,0.0,0.0,0.20888887780438004,2.033858086080066,4.086367123942668,0.09874940436928746,0.014562146302555387,0.027797232998499025,-0.007191980446906278
11,1788936573084144499,0.36795857400000004,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0006329113924050632,0.0,0.0,0.25793090532043284,1.9042831033696355,4.072078015574549,0.08758017098493678,0.010321754457712167,0.01778280007825589,-0.002761262335786689
12,1788936573116120673,0.399934748,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701389529422229,1.9060694128896218,4.04058972267442,0.08966716179742196,0.006317729460477508,0.026742112961613475,-0.0007060724953884183
13,1788936573148163742,0.43197781700000004,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1658690571689181,1.7686074181481217,4.085447491655679,0.08145935557540465,0.016367338455709424,0.01564326080462454,-0.014001426196463981
14,1788936573184154156,0.467968231,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346785374716046,1.9207896285283033,4.052657035065684,0.09993061907828561,-0.0031199495302364887,0.038451846600466515,-0.0179387359501858
15,1788936573216157413,0.499971488,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707301779093957,2.161267902248692,3.986866503294697,0.11681962590965582,0.0051080758957076505,0.04654115181087589,-0.00763885848831667
16,1788936573248232013,0.5320460880000001,True,0.0016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009969902078321935,1.687175486215438,3.967295616246766,0.0708948982107512,0.02658922496577031,0.003919194311174559,-0.0025285672846997033
17,1788936573284155159,0.567969234,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3151130226540464,2.035796589261698,3.9898663907742047,0.10253240026912055,-0.004709621039998769,0.03656125369681999,-0.0027391380007046498
18,1788936573316141496,0.5999555710000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204170405285415,1.8649133002203484,4.046556364529497,0.09472400619402845,0.006338277437745787,0.02765956261536985,-0.007320748846885926
19,1788936573348213056,0.6320271310000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023322757779154157,1.6507267288319816,4.023653090228617,0.0757313717127121,0.018932487771879548,0.009395543886586387,-0.0013326966011229313
20,1788936573384107173,0.6679212480000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818721989120472,1.9465290607831258,4.028230320317499,0.09894130616194952,0.004686760577671116,0.031277201588835596,0.006072965417187437
21,1788936573416172217,0.6999862920000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604347091523025,1.8175440462422796,4.0080944407212336,0.08968551002033477,0.004748324829088509,0.02538078840311253,0.02072282775674957
22,1788936573448312313,0.7321263880000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13869700852408817,1.9235010035878968,4.0757648692336135,0.09360857591593913,0.009899339223511452,0.019554764235074802,-0.012724815216213974
23,1788936573484308733,0.7681228080000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3099714610462092,1.9081890578879892,4.084554086550504,0.09154980575706881,-0.004862031378456601,0.03413596450436751,-0.0015724745069110784
24,1788936573516428533,0.800242608,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3039572315618919,2.088293240211204,4.065815667003486,0.10539035860952971,-0.0015877265093813416,0.035595868736971154,0.007717861830844732
