frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,True,0.125,left,False
1,0.032074513,True,0.125,left,False
2,0.067948112,True,0.125,left,False
3,0.100022467,True,0.125,left,False
4,0.131977112,True,0.125,left,False
5,0.1678832,True,0.125,left,True
6,0.199906821,True,0.125,left,True
7,0.231985246,True,0.125,left,True
8,0.267944183,True,0.125,left,True
9,0.299872642,True,0.125,left,True
10,0.331920394,True,0.125,left,True
11,0.36788580000000004,True,0.125,left,True
12,0.399953728,True,0.125,left,True
13,0.43194513100000004,True,0.125,left,True
14,0.46767014500000004,True,0.125,left,True
15,0.49969375400000005,True,0.125,left,True
16,0.531720506,True,0.125,left,True
17,0.5676841770000001,True,0.125,left,True
18,0.599718064,True,0.125,left,True
19,0.631666779,True,0.125,left,True
20,0.6687600760000001,True,0.125,left,True
21,0.6996913290000001,True,0.125,left,True
22,0.73256959,True,0.125,left,True
23,0.767645294,True,0.125,left,True
24,0.7996484920000001,True,0.125,left,True
25,0.8316228960000001,True,0.125,left,True
26,0.8676301240000001,True,0.125,left,True
27,0.8995583290000001,True,0.125,left,True
28,0.93219235,True,0.125,left,True
29,0.969705039,True,0.125,left,True
30,1.000451687,True,0.125,left,True
31,1.0318535450000001,True,0.125,left,True
32,1.0677551920000001,True,0.125,left,True
33,1.099610074,True,0.125,left,True
34,1.1318669780000001,True,0.15625,left,True
35,1.167817601,True,0.15625,left,True
36,1.1996856710000001,True,0.15625,left,True
37,1.231774862,True,0.125,left,True
38,1.26767779,True,0.15625,left,True
39,1.299666479,True,0.15625,left,True
40,1.3316342810000001,True,0.15625,left,True
41,1.367556634,True,0.15625,left,True
42,1.399703621,True,0.15625,left,True
43,1.4317360730000002,True,0.15625,left,True
44,1.46770767,True,0.15625,left,True
45,1.4997755540000002,True,0.15625,left,True
46,1.531624568,True,0.15625,left,True
47,1.5677404860000002,True,0.15625,left,True
48,1.5996164110000002,True,0.15625,left,True
49,1.6317825140000002,True,0.15625,left,True
50,1.667626094,True,0.15625,left,True
51,1.6996679920000002,True,0.1875,left,True
52,1.7315735620000001,True,0.1875,left,True
53,1.7675878020000002,True,0.1875,left,True
54,1.7995597790000002,True,0.1875,left,True
55,1.831567136,True,0.1875,left,True
56,1.867556784,True,0.1875,left,True
57,1.899550056,True,0.15625,left,True
58,1.9315984860000002,True,0.15625,left,True
59,1.9675426010000001,True,0.15625,left,True
60,1.9995814360000002,True,0.1875,left,True
61,2.0313835570000003,True,0.1875,left,True
62,2.0674272,True,0.15625,left,True
63,2.099462164,True,0.15625,left,True
64,2.131456108,True,0.15625,left,True
65,2.167555177,True,0.15625,left,True
66,2.199431991,True,0.15625,left,True
67,2.232315785,True,0.15625,left,True
68,2.267611784,True,0.15625,left,True
69,2.299451475,True,0.15625,left,True
70,2.331852703,True,0.15625,left,True
71,2.367397725,True,0.15625,left,True
72,2.399401752,True,0.15625,left,True
73,2.4313746870000004,True,0.15625,left,True
74,2.467263531,True,0.15625,left,True
75,2.499268357,True,0.1875,left,True
76,2.531313736,True,0.1875,left,True
77,2.5671848500000003,True,0.1875,left,True
78,2.599222628,True,0.1875,left,True
79,2.631246864,True,0.1875,left,True
80,2.667140023,True,0.1875,left,True
81,2.69914721,True,0.1875,left,True
82,2.7313106780000003,True,0.15625,left,True
83,2.767160833,True,0.1875,left,True
84,2.7991981000000004,True,0.1875,left,True
85,2.831203576,True,0.1875,left,True
86,2.867151362,True,0.1875,left,True
87,2.899125293,True,0.1875,left,True
88,2.931280597,True,0.1875,left,True
89,2.9672364740000003,True,0.1875,left,True
90,2.999134279,True,0.1875,left,True
91,3.0312128720000002,True,0.15625,left,True
92,3.0671126930000003,True,0.15625,left,True
93,3.099442405,True,0.15625,left,True
94,3.1311486420000003,True,0.15625,left,True
95,3.167050326,True,0.15625,left,True
96,3.1990226010000002,True,0.15625,left,True
97,3.2311108130000004,True,0.15625,left,True
98,3.2670094080000003,True,0.15625,left,True
99,3.299050233,True,0.1875,left,True
100,3.331006544,True,0.1875,left,True
101,3.366969258,True,0.1875,left,True
102,3.3989902670000003,True,0.1875,left,True
103,3.430984952,True,0.1875,left,True
104,3.467004617,True,0.1875,left,True
105,3.499006881,True,0.15625,left,True
106,3.5311186340000003,True,0.15625,left,True
107,3.5671027320000004,True,0.15625,left,True
108,3.5990167210000004,True,0.15625,left,True
109,3.631134278,True,0.15625,left,True
110,3.666999199,True,0.15625,left,True
111,3.699024784,True,0.1875,left,True
112,3.731151548,True,0.1875,left,True
113,3.7671563760000004,True,0.1875,left,True
114,3.7990194030000004,True,0.1875,left,True
115,3.8311664160000003,True,0.1875,left,True
116,3.868561365,True,0.1875,left,True
117,3.8992010930000003,True,0.1875,left,True
118,3.931966064,True,0.1875,left,True
119,3.9667712080000004,True,0.1875,left,True
120,3.998843899,True,0.1875,left,True
121,4.030854529,True,0.1875,left,True
122,4.066989327,True,0.1875,left,True
123,4.098827593,True,0.1875,left,True
124,4.130959859,True,0.1875,left,True
125,4.166829087,True,0.1875,left,True
126,4.19909191,True,0.1875,left,True
127,4.230770276,True,0.1875,left,True
128,4.2667617600000005,True,0.15625,left,True
129,4.298819099,True,0.15625,left,True
130,4.331028,True,0.15625,left,True
131,4.366786151,True,0.15625,left,True
132,4.398807087000001,True,0.15625,left,True
133,4.43077538,True,0.15625,left,True
134,4.46687509,True,0.1875,left,True
135,4.498846928,True,0.1875,left,True
136,4.530892422,True,0.1875,left,True
137,4.566778593,True,0.15625,left,True
138,4.598677787000001,True,0.15625,left,True
139,4.6308389530000005,True,0.15625,left,True
140,4.666794626000001,True,0.15625,left,True
141,4.699575145000001,True,0.15625,left,True
142,4.73066007,True,0.15625,left,True
143,4.76667061,True,0.15625,left,True
144,4.798716403,True,0.15625,left,True
145,4.830676479,True,0.15625,left,True
146,4.8665843120000005,True,0.15625,left,True
147,4.89864952,True,0.15625,left,True
148,4.930657562,True,0.125,left,True
149,4.9666109910000005,True,0.125,left,True
150,4.9986041100000005,False,0.0625,left,True
151,5.030572569,False,0.0625,left,True
152,5.066526764000001,False,0.03125,left,True
153,5.098571445,False,0.03125,left,True
154,5.130800205,False,0.03125,left,True
155,5.166510904,False,0.03125,left,True
156,5.198497646000001,False,0.03125,left,True
157,5.230574801,False,0.0,none,True
158,5.266534782,False,0.0,none,True
159,5.298798104,False,0.03125,left,True
160,5.330592427,False,0.03125,left,True
161,5.366498491000001,False,0.03125,left,True
162,5.398436105,False,0.03125,left,True
163,5.430515275,False,0.03125,left,True
164,5.467544045,False,0.03125,left,True
165,5.498501518,False,0.03125,left,True
166,5.530767247,False,0.03125,left,True
167,5.566642772000001,False,0.03125,left,True
168,5.5984685050000005,False,0.03125,left,True
169,5.630530888,False,0.03125,left,True
170,5.666473421,False,0.0625,left,True
171,5.6987157470000005,False,0.0625,left,True
172,5.730684859,False,0.0625,left,True
173,5.7664630720000005,False,0.0625,left,True
174,5.798402551000001,False,0.0625,left,True
175,5.830445371000001,False,0.0625,left,True
176,5.8663758900000005,False,0.03125,left,True
177,5.898383331000001,False,0.03125,left,True
178,5.930402034,False,0.03125,left,True
179,5.9663384520000005,False,0.0,none,True
180,5.998347324,False,0.0,none,True
181,6.0304357070000005,False,0.0,none,True
182,6.066366797000001,False,0.0,none,True
183,6.0983364060000005,False,0.0,none,True
184,6.130342665000001,False,0.0,none,True
185,6.166255116,False,0.0,none,True
