frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788936244030527133,0.0,False,0.4426829268292683,0.0,0.0,0.5245098039215687,0.0,0.0,0.47109704641350214,0.05274261603375528,0.00042194092827004215,nan,nan,nan,nan,nan,nan,nan
1,1788936244062601646,0.032074513,False,0.42642276422764225,0.0,0.0,0.4931372549019608,0.0,0.0,0.469831223628692,0.039029535864978905,0.0008438818565400843,nan,nan,nan,nan,nan,nan,nan
2,1788936244098475245,0.067948112,False,0.42560975609756097,0.0,0.0,0.4908496732026144,0.0,0.0,0.46898734177215184,0.04219409282700422,0.0010548523206751054,nan,nan,nan,nan,nan,nan,nan
3,1788936244130549600,0.100022467,False,0.40447154471544716,0.0,0.0,0.4745098039215686,0.0,0.0,0.45126582278481014,0.036075949367088606,0.00042194092827004215,nan,nan,nan,nan,nan,nan,nan
4,1788936244162504245,0.131977112,False,0.40284552845528454,0.0,0.0,0.4725490196078431,0.0,0.0,0.4470464135021096,0.04113924050632911,0.0010548523206751054,nan,nan,nan,nan,nan,nan,nan
5,1788936244198410333,0.1678832,True,0.38821138211382117,0.0,0.0,0.4633986928104575,0.0,0.0,0.45801687763713084,0.028902953586497894,0.0012658227848101266,0.16482046807384876,2.2516925699605985,4.402859849820987,0.06671268443460314,-0.004999086933060894,-0.007050671110824757,0.025035556769387988
6,1788936244230433954,0.199906821,True,0.38739837398373983,0.0,0.0,0.4611111111111111,0.0,0.0,0.4571729957805907,0.03375527426160337,0.002320675105485232,0.4410691559728792,2.682855895150292,4.344898192810759,0.10471852365587317,-0.03358260943576155,0.029871219632510035,0.004078578735962077
7,1788936244262512379,0.231985246,True,0.3808943089430894,0.0,0.0,0.4611111111111111,0.0,0.0,0.44789029535864977,0.02742616033755274,0.0010548523206751054,0.11751256092880746,2.460677886575023,4.322156464241154,0.08037479414470478,-0.001801169281766934,0.0032626287475150187,-0.00045228070993099783
8,1788936244298471316,0.267944183,True,0.3804878048780488,0.0,0.0,0.4598039215686274,0.0,0.0,0.43966244725738396,0.0350210970464135,0.0014767932489451476,0.212731970612134,2.6059843584165603,4.347818967690976,0.08813536057359161,-0.009416134839094183,0.00708199377842441,0.024441159363746405
9,1788936244330399775,0.299872642,True,0.3808943089430894,0.0,0.0,0.4591503267973856,0.0,0.0,0.43016877637130807,0.0379746835443038,0.002531645569620253,0.36736776082738576,2.8861735167426428,4.38799988646611,0.1018635225491353,-0.019718544261439392,0.017522536174900093,0.0021185367535058405
10,1788936244362447527,0.331920394,True,0.38130081300813007,0.0,0.0,0.44379084967320265,0.0,0.0,0.3736286919831224,0.021940928270042192,0.0,0.21232304663996215,2.727274093766133,4.490783059732373,0.08295523517152174,-0.005952298562503435,-0.0037214952666377726,0.0021983047273656854
11,1788936244398412933,0.36788580000000004,True,0.382520325203252,0.0,0.0,0.4444444444444445,0.0,0.0,0.3677215189873418,0.02109704641350211,0.00021097046413502107,0.2724101743731282,2.893065991713086,4.447550053389106,0.09155954118999365,-0.008266905045990062,0.0032848585854520565,0.014324439314044975
12,1788936244430480861,0.399953728,True,0.3792682926829268,0.0,0.0,0.4218954248366013,0.0,0.0,0.3481012658227848,0.006962025316455696,0.0,0.4637750605512523,3.063926719352837,4.390433704811603,0.10575822202378474,-0.03276124648598612,0.0326497046664829,-0.004760734468431672
13,1788936244462472264,0.43194513100000004,True,0.3788617886178861,0.0,0.0,0.42026143790849674,0.0,0.0,0.3483122362869199,0.008860759493670886,0.0008438818565400843,0.2287735691876227,2.9364243851146834,4.173849071152757,0.09636341346420504,-0.013002150381784268,0.015452110251602369,0.01172536722167881
14,1788936244498197278,0.46767014500000004,True,0.3865853658536585,0.0,0.0,0.4264705882352941,0.0,0.0,0.35632911392405064,0.004430379746835443,0.0,0.2911548697897077,2.9005371730791945,4.230289516283483,0.09613102477738875,-0.022509610749066617,0.009859116337634331,-0.014096276683397815
15,1788936244530220887,0.49969375400000005,True,0.38902439024390245,0.0,0.0,0.42712418300653593,0.0,0.0,0.35632911392405064,0.006118143459915611,0.00021097046413502107,0.4928625070320052,3.151542473991492,4.234725054994399,0.1091874318805037,-0.03355563186496922,0.028113519127453558,-0.008356550002196548
16,1788936244562247639,0.531720506,True,0.3849593495934959,0.0,0.0,0.4218954248366013,0.0,0.0,0.360548523206751,0.002531645569620253,0.0006329113924050632,0.23595472315619626,2.921248059962306,4.356127418196139,0.08949431057874965,-0.015097145755780394,0.003462209749854478,0.014426296401395866
17,1788936244598211310,0.5676841770000001,True,0.3837398373983739,0.0,0.0,0.41568627450980394,0.0,0.0,0.3550632911392405,0.002531645569620253,0.0014767932489451476,0.16444011796821467,2.8783400518718016,4.471188461865125,0.08284060423148845,-0.007796862394392607,-0.004443979416825748,0.014998906182609753
18,1788936244630245197,0.599718064,True,0.3833333333333333,0.0,0.0,0.41535947712418303,0.0,0.0,0.3316455696202532,0.0012658227848101264,0.00042194092827004215,0.35967564147405584,3.154931367206984,4.477498209692224,0.10702532990598958,-0.02211932909516054,0.01618289805768526,-0.0066300562768455765
19,1788936244662193912,0.631666779,True,0.3886178861788618,0.0,0.0,0.41274509803921566,0.0,0.0,0.32468354430379753,0.0016877637130801686,0.0012658227848101264,0.23232032160498717,2.885131940864832,4.553254815005971,0.08514002916621854,-0.013843961093410987,-0.0015066988078344667,0.00731632774473896
20,1788936244699287209,0.6687600760000001,True,0.38902439024390245,0.0,0.0,0.41372549019607846,0.0,0.0,0.32278481012658233,0.002109704641350211,0.0014767932489451476,0.2737273523602606,3.0484304730992355,4.301519919820033,0.10238082144340105,-0.016662608944490016,0.015118690748998756,0.004518270460836745
21,1788936244730218462,0.6996913290000001,True,0.3983739837398374,0.0,0.0,0.42058823529411765,0.0,0.0,0.36097046413502115,0.00042194092827004215,0.0,0.406847149279302,3.0642589513967797,4.245331093478022,0.11024403961267759,-0.03434226297428289,0.02739534397600661,0.00032446464534553645
22,1788936244763096723,0.73256959,True,0.39796747967479673,0.0,0.0,0.42287581699346405,0.0,0.0,0.3626582278481013,0.0014767932489451476,0.0,0.29218352440945683,2.9414976533687907,4.1145232775641425,0.10417598098718117,-0.025391254353592622,0.020351201064930394,-0.0009304630551770235
23,1788936244798172427,0.767645294,True,0.40487804878048783,0.0,0.0,0.43006535947712415,0.0,0.0,0.36054852320675107,0.0008438818565400843,0.0,0.34026124225262566,3.022226246923553,4.113871760746279,0.10246931293293546,-0.02868394925258995,0.014348568998028333,-0.005293588677264949
24,1788936244830175625,0.7996484920000001,True,0.40447154471544716,0.0,0.0,0.4333333333333334,0.0,0.0,0.36561181434599155,0.0016877637130801686,0.00021097046413502107,0.4808390984562494,3.41166525912457,4.187569247167812,0.1282110782920236,-0.04063023513428728,0.03649188686505319,-0.01310890496003213
25,1788936244862150029,0.8316228960000001,True,0.3995934959349593,0.0,0.0,0.4166666666666667,0.0,0.0,0.34915611814345987,0.00042194092827004215,0.0,0.15255395559191953,3.0340143059411107,4.354989397095963,0.08801298412885517,-0.011059819282070685,-0.0015955582009896316,0.0012757415630939132
26,1788936244898157257,0.8676301240000001,True,0.40040650406504064,0.0,0.0,0.4140522875816994,0.0,0.0,0.34810126582278483,0.0008438818565400843,0.0,0.18094913613832864,3.1470409514391298,4.409200683488679,0.09484777992450308,-0.012816940700443777,0.0037055120024924587,-0.007826658954859617
27,1788936244930085462,0.8995583290000001,True,0.40691056910569107,0.0,0.0,0.44117647058823534,0.0,0.0,0.339662447257384,0.00042194092827004215,0.0,0.490608313114828,3.690907963536869,4.452484237522118,0.13265676753106792,-0.035966890231843816,0.03985982452673084,-0.0016872882745944666
28,1788936244962719483,0.93219235,True,0.40772357723577235,0.0,0.0,0.4431372549019608,0.0,0.0,0.33248945147679326,0.0014767932489451476,0.0,0.12923043226934983,3.1761775187532812,4.439801476670268,0.08690690585657447,-0.002612548211065317,-0.0033270484014841853,0.009831087817810901
29,1788936245000232172,0.969705039,True,0.41056910569105687,0.0,0.0,0.44607843137254904,0.0,0.0,0.3280590717299578,0.00042194092827004215,0.0,0.21709244056591537,3.2310660275922616,4.470099360649524,0.09299336408642592,-0.01354537523605218,0.002889578080705585,0.006338041445294979
30,1788936245030978820,1.000451687,True,0.41097560975609754,0.0,0.0,0.44607843137254904,0.0,0.0,0.32278481012658233,0.00042194092827004215,0.0,0.5054248315875607,3.2515273427005074,4.34081552007616,0.10385713085127773,-0.04447123613515283,0.017545383840476415,-0.008699335007159926
