frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788936310301741011,0.0,False,0.3386178861788618,0.0,0.0,0.426797385620915,0.0,0.0,0.20147679324894519,0.0012658227848101266,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788936310333704925,0.031963914,False,0.3479674796747968,0.0,0.0,0.42712418300653593,0.0,0.0,0.19936708860759494,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788936310365796210,0.06405519900000001,False,0.348780487804878,0.0,0.0,0.426797385620915,0.0,0.0,0.2052742616033755,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788936310401770912,0.100029901,False,0.3495934959349593,0.0,0.0,0.45326797385620915,0.0,0.0,0.24831223628691984,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788936310433709892,0.131968881,True,0.38617886178861793,0.0,0.0,0.4620915032679739,0.0,0.0,0.26856540084388186,0.0,0.0,0.1577272049949503,0.3113586767711562,3.5939785824121238,0.10365933731608286,-0.024547888335596686,0.03303555170394006,-0.021081326312802896
5,1788936310465777027,0.164036016,True,0.38902439024390245,0.0,0.0,0.4630718954248366,0.0,0.0,0.27426160337552735,0.0,0.0,0.14627039028011057,0.32053814632495775,3.4675780144080846,0.09602923073142458,-0.019271410442447443,0.041790278074788564,-0.0022530039536290208
6,1788936310501666094,0.199925083,True,0.3943089430894309,0.0,0.0,0.45816993464052286,0.0,0.0,0.2915611814345992,0.0,0.0,0.1879705242103371,0.49633797698442766,3.7312384571520902,0.112283892567525,-0.022225931322014607,0.05252966015401585,0.0004325600715661446
7,1788936310533712772,0.23197176100000003,True,0.3955284552845528,0.0,0.0,0.4591503267973856,0.0,0.0,0.29261603375527423,0.0,0.0,0.16884100538482527,0.36905361467495906,3.7296406363141763,0.09588228993184222,-0.012084563706400143,0.03666381608151102,-0.009702656226487461
8,1788936310565781931,0.26404092,True,0.3479674796747967,0.0,0.0,0.4065359477124183,0.0,0.0,0.249789029535865,0.0,0.0,-0.015627116255793494,0.3771489329139456,3.782613699420134,0.096143805921237,0.003778060213084639,0.03367939176026781,0.005268049304820913
9,1788936310601982649,0.30024163800000003,True,0.34674796747967473,0.0,0.0,0.403921568627451,0.0,0.0,0.2462025316455696,0.0,0.0,0.16191155105330024,0.34776878031852215,3.9583462773573537,0.09746947736624026,-0.015420444476489974,0.040510303555971995,-0.00463531919957917
10,1788936310633929559,0.33218854800000003,True,0.33333333333333337,0.0,0.0,0.4013071895424837,0.0,0.0,0.23143459915611814,0.0,0.0,0.016426986305403846,0.1458399195325764,3.8323397030970865,0.08207411437937207,-0.00024300020913178844,0.023246255421112253,0.013415078717797128
11,1788936310665969055,0.36422804400000003,True,0.332520325203252,0.0,0.0,0.4013071895424837,0.0,0.0,0.23544303797468355,0.0,0.0,0.20517832317361706,0.4557463938059242,3.8084294587997967,0.11086166162335687,-0.025044643052216223,0.05141780963871433,-0.0029368176844606275
12,1788936310701770960,0.40002994900000005,True,0.3597560975609756,0.0,0.0,0.4516339869281046,0.0,0.0,0.26286919831223626,0.0,0.0,0.0261638123502701,0.2309552468629553,3.6947493135790133,0.08975719740283004,-0.007521258084510914,0.036205926082981135,0.0
