frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788936290169059613,0.0,False,0.45,0.0,0.0,0.5509803921568628,0.0,0.0,0.48607594936708853,0.04219409282700422,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788936290204924027,0.035864414000000004,False,0.44918699186991873,0.0,0.0,0.5477124183006536,0.0,0.0,0.4875527426160338,0.04662447257383966,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
2,1788936290236897902,0.06783828900000001,False,0.4479674796747967,0.0,0.0,0.5346405228758171,0.0,0.0,0.479746835443038,0.043248945147679324,0.00021097046413502107,nan,nan,nan,nan,nan,nan,nan
3,1788936290268954052,0.099894439,False,0.4475609756097561,0.0,0.0,0.5336601307189544,0.0,0.0,0.47405063291139243,0.05147679324894515,0.00042194092827004215,nan,nan,nan,nan,nan,nan,nan
4,1788936290304783833,0.13572422,False,0.4475609756097561,0.0,0.0,0.5316993464052288,0.0,0.0,0.4710970464135021,0.05843881856540084,0.0006329113924050632,nan,nan,nan,nan,nan,nan,nan
5,1788936290336834974,0.167775361,True,0.4418699186991869,0.0,0.0,0.5241830065359477,0.0,0.0,0.48396624472573846,0.04219409282700422,0.00042194092827004215,0.4404479502339891,2.710042241832941,4.3275600999647,0.10831128750630914,-0.022856608909725126,0.03436715447009825,0.0027493387167562013
6,1788936290368803615,0.199744002,True,0.4402439024390244,0.0,0.0,0.5238562091503268,0.0,0.0,0.4852320675105485,0.046835443037974676,0.0008438818565400843,0.15982261707167345,2.50994408059557,4.4349029962173505,0.08767077991426116,-0.004873120207054934,0.009195561248345113,0.01520721723443721
7,1788936290404828343,0.23576873,True,0.4426829268292683,0.0,0.0,0.5199346405228759,0.0,0.0,0.47172995780590715,0.033122362869198306,0.00021097046413502107,0.1152512131529062,2.480737683184728,4.288590220221184,0.08481586238192382,0.0006216415865091382,-0.0005760111215866656,-0.004301796063203021
8,1788936290437012947,0.26795333400000004,True,0.4443089430894309,0.0,0.0,0.519281045751634,0.0,0.0,0.4670886075949367,0.036497890295358645,0.00021097046413502107,0.44562767340014675,2.8742261506909834,4.240046783257915,0.11202387150445636,-0.02745233440672478,0.030266268706882697,0.017297066156972334
9,1788936290468862269,0.299802656,True,0.4439024390243903,0.0,0.0,0.5176470588235295,0.0,0.0,0.44957805907173,0.028691983122362874,0.0,0.4115708504326485,2.8587059464212907,4.289494196190988,0.10873268488501092,-0.02389392147607276,0.021495591307328768,-0.012833745457167488
10,1788936290504815944,0.335756331,True,0.4451219512195122,0.0,0.0,0.511437908496732,0.0,0.0,0.44556962025316454,0.03143459915611814,0.0,0.2094152213378302,2.6896044279665854,4.3047892808027886,0.08546527861212175,-0.005205643461088495,0.003389521492004534,-0.0072887026859275
11,1788936290536876548,0.367816935,True,0.46829268292682924,0.0,0.0,0.5277777777777778,0.0,0.0,0.4135021097046413,0.01139240506329114,0.00021097046413502107,0.39229750670764973,3.067840863627835,4.336594649777811,0.11610895330150009,-0.01975088821045993,0.03073189765993512,0.0022537329870135586
12,1788936290568948868,0.399889255,True,0.46829268292682924,0.0,0.0,0.5297385620915033,0.0,0.0,0.4084388185654008,0.014767932489451477,0.0008438818565400843,0.2794228369230267,2.808039892641806,4.325844929530277,0.08929479175705146,-0.004449687490735998,0.007587289081243058,0.010200065972589266
13,1788936290604934057,0.435874444,True,0.48048780487804876,0.0,0.0,0.5483660130718955,0.0,0.0,0.4065400843881856,0.007172995780590717,0.0,0.33503294229271985,2.8201046505310834,4.466936515626019,0.0899486652858511,-0.01553725189594076,-0.0029059178898356575,0.011196744947439335
14,1788936290636858594,0.467798981,True,0.4796747967479675,0.0,0.0,0.5509803921568628,0.0,0.0,0.4073839662447257,0.008016877637130802,0.0006329113924050632,0.44371092823629255,3.032769276313865,4.274557315377585,0.1080098089184853,-0.018495668118340563,0.021355486694896855,-0.0013006535950650117
15,1788936290668992067,0.499932454,True,0.48130081300813005,0.0,0.0,0.5552287581699347,0.0,0.0,0.4141350210970464,0.0008438818565400843,0.00042194092827004215,0.34225709097715207,2.8607707272487617,4.395786036266089,0.09130178588062314,-0.011800935335753448,0.005708333097603054,-0.0030731653748082254
16,1788936290705014432,0.5359548190000001,True,0.4987804878048781,0.0,0.0,0.5624183006535948,0.0,0.0,0.4219409282700422,0.002320675105485232,0.0010548523206751054,0.2907664943299788,2.779024107360999,4.290403624412647,0.08623605614007634,-0.0018809053897922677,-0.001075443864344501,0.00019538533594363962
17,1788936290736903205,0.567843592,True,0.4991869918699187,0.0,0.0,0.5617647058823529,0.0,0.0,0.42616033755274263,0.003375527426160337,0.0018987341772151896,0.559020604115424,2.907820801120507,4.263753554611785,0.10594944751714572,-0.027841397185686102,0.026927709589697084,0.01307343802600671
18,1788936290769008203,0.59994859,True,0.5219512195121951,0.0,0.0,0.5699346405228758,0.0,0.0,0.4265822784810127,0.002109704641350211,0.002531645569620253,0.4166310537200093,2.8006875275534138,4.197346517002,0.09667503135199382,-0.016577284110512597,0.007254066959447185,-0.0027968637115418065
19,1788936290805014727,0.635955114,True,0.5219512195121951,0.0,0.0,0.5735294117647058,0.0,0.0,0.42911392405063287,0.002953586497890295,0.002320675105485232,0.3109300426987749,2.741216765353884,4.276590853588803,0.09330818598911793,-0.00785793032449145,0.0032712685714082618,-0.007780558080636431
20,1788936290838980561,0.669920948,True,0.5451219512195122,0.0,0.0,0.6055555555555555,0.0,0.0,0.46265822784810134,0.002320675105485232,0.00021097046413502107,0.5429648207275539,2.9894522678256066,4.28090327185219,0.1088128800031605,-0.020962603470841966,0.021676954723235817,-0.010083939972154256
21,1788936290871023456,0.701963843,True,0.5447154471544715,0.0,0.0,0.6055555555555555,0.0,0.0,0.46687763713080166,0.003586497890295358,0.00042194092827004215,0.4614420992009538,2.8268158480226813,4.3208182330791995,0.09492343916617058,-0.010698031946322522,0.013488630796401758,-0.006899162959859682
22,1788936290906765934,0.737706321,True,0.578048780487805,0.0,0.0,0.6382352941176471,0.0,0.0,0.500210970464135,0.003375527426160337,0.0,0.2408744382825576,2.5411194635295886,4.270642103249797,0.07656210422176395,0.008406107102088525,-0.005650475362400265,-0.001564603269870796
23,1788936290936831844,0.767772231,True,0.5804878048780487,0.0,0.0,0.6457516339869281,0.0,0.0,0.5082278481012659,0.005274261603375527,0.0,0.5493766278930026,2.996913631179843,4.317134434854827,0.11233556052092346,-0.01786400586775312,0.023791783367169507,-0.000349751144988877
24,1788936290969643263,0.8005836500000001,True,0.6109756097560975,0.0,0.0,0.6686274509803922,0.0,0.0,0.5073839662447257,0.0006329113924050632,0.0,0.5615202270363866,3.0128009075184363,4.370808614851144,0.10899857842060168,-0.011813328513279082,0.010520175442877477,-0.009876737299602747
25,1788936291004871972,0.8358123590000001,True,0.6121951219512195,0.0,0.0,0.6715686274509804,0.0,0.0,0.5078059071729958,0.0018987341772151896,0.0,0.4993741024610434,2.8368419363548067,4.37887350191405,0.08215537516459404,0.0016133783930938356,-0.006616419602917589,0.0
26,1788936291036886801,0.867827188,True,0.6121951219512195,0.0,0.0,0.6745098039215687,0.0,0.0,0.5217299578059071,0.0006329113924050632,0.0,0.5522052527444505,3.1286860645346537,4.401981280402302,0.11356927424361596,-0.011887429125950052,0.022179774952226686,4.824540280119178e-05
27,1788936291068844910,0.8997852970000001,True,0.6548780487804878,0.0,0.0,0.719281045751634,0.0,0.0,0.5291139240506328,0.002953586497890295,0.0,0.3789750988124032,2.8628494275063345,4.236839009854691,0.09547901069313462,0.007667708083799882,0.011127782516082985,0.007949181532480198
28,1788936291104715282,0.9356556690000001,True,0.6565040650406504,0.0,0.0,0.7199346405228758,0.0,0.0,0.5345991561181436,0.00379746835443038,0.0,0.3718329699040914,2.650866028363331,4.255883785553301,0.08369488787348578,0.0046687561104914585,-0.006540833539617069,0.0033857007005154353
29,1788936291136771387,0.9677117740000001,True,0.7008130081300813,0.0,0.0,0.7699346405228759,0.0,0.0,0.549789029535865,0.0018987341772151896,0.0,0.7335319849796409,3.22834706621712,4.105936819500797,0.12421841070362599,-0.01943091764888598,0.022569494666259793,-0.02000863709883543
30,1788936291168830617,0.9997710040000001,True,0.7024390243902439,0.0,0.0,0.7725490196078432,0.0,0.0,0.5497890295358651,0.002320675105485232,0.0,0.5507804413758586,2.9853855152127253,4.335477452855439,0.09332884259987516,0.00012704361989020142,-0.004613374287219467,-0.0018337101234132621
31,1788936291204710503,1.03565089,True,0.7508130081300813,0.0,0.0,0.8330065359477125,0.0,0.0,0.5708860759493671,0.0008438818565400843,0.0,0.3192341454580585,2.9085649838536227,4.381485011175979,0.08533616042529653,0.021358549756828542,-0.008781387679975515,0.0
32,1788936291236739108,1.0676794950000001,True,0.7520325203252033,0.0,0.0,0.8352941176470589,0.0,0.0,0.5689873417721518,0.0016877637130801686,0.0,0.6089449870192614,3.286132405865889,4.340543961120298,0.11371276984218692,-0.0035239166694171226,0.015398546630254271,0.0048300353942460905
33,1788936291268751915,1.099692302,True,0.8182926829268293,0.00040650406504065046,0.0,0.880065359477124,0.0,0.0,0.5753164556962025,0.0014767932489451476,0.0,0.7203974370547619,3.080317774432054,4.345745723336041,0.10441097888940967,-0.011030672630862551,0.0028394841203726456,-0.01515442043784847
34,1788936291304658713,1.1355991,True,0.8191056910569106,0.00040650406504065046,0.0,0.8856209150326798,0.0,0.0,0.5755274261603376,0.00189873417721519,0.0,0.3773594751487157,2.703181633319184,4.156576726699528,0.08491565196102174,0.019137930088739208,-0.005668698256659076,0.004602193961776647
35,1788936291336624539,1.167564926,True,0.867479674796748,0.00040650406504065046,0.0,0.9745098039215687,0.0,0.0,0.5972573839662447,0.0018987341772151896,0.0,0.6222711976203781,2.9378677887570803,4.086642333434785,0.11273249591146377,-0.00495689287477416,0.020565145012788305,-0.016385184536999046
36,1788936291368700070,1.199640457,True,0.867479674796748,0.0012195121951219512,0.0,0.9767973856209151,0.0,0.0,0.5983122362869199,0.00379746835443038,0.0,0.4768968466578216,2.762382895122794,4.15364567292412,0.09281182893107069,0.009653891193664402,-0.0022558696367528733,0.02654670302497524
37,1788936291404589997,1.235530384,True,0.867479674796748,0.002032520325203252,0.0,0.996078431372549,0.0,0.0,0.6035864978902954,0.0035864978902953584,0.0,0.5156585413645416,2.913803422150136,4.263056785895555,0.09316451952853952,0.013210525326692528,-0.011459122994874373,-0.011308733787005172
38,1788936291436776157,1.267716544,True,0.8776422764227643,0.00975609756097561,0.0,1.0,0.0,0.0,0.6050632911392404,0.005274261603375527,0.0,0.755563412232563,3.1909388092114175,4.301815103824567,0.11534170052532688,-0.005902147561743004,0.01618539360588797,0.005766444230381761
