frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.125,left,False
1,0.035922625,False,0.125,left,False
2,0.068054895,False,0.125,left,False
3,0.100013748,False,0.125,left,False
4,0.13599328200000002,False,0.09375,left,False
5,0.168039975,False,0.09375,left,True
6,0.200078144,False,0.09375,left,True
7,0.23585730300000002,False,0.09375,left,True
8,0.26801894400000004,False,0.09375,left,True
9,0.30003233700000004,False,0.09375,left,True
10,0.335931458,False,0.09375,left,True
11,0.36801099800000003,False,0.09375,left,True
12,0.40006193,False,0.09375,left,True
13,0.435888221,False,0.09375,left,True
14,0.467931411,False,0.09375,left,True
15,0.500093,False,0.09375,left,True
16,0.5360094630000001,False,0.09375,left,True
17,0.56879623,False,0.0625,left,True
18,0.599925084,False,0.0625,left,True
19,0.6359573660000001,False,0.03125,left,True
20,0.6679417360000001,False,0.03125,left,True
21,0.699986972,False,0.03125,left,True
22,0.735899948,False,0.0,none,True
23,0.767939188,False,0.0,none,True
24,0.799932749,False,0.0,none,True
25,0.8359145950000001,False,0.0,none,True
26,0.867938969,False,0.0,none,True
27,0.899964411,False,0.0,none,True
28,0.9358705930000001,False,0.0,none,True
29,0.9679780800000001,False,0.0,none,True
30,0.999974478,False,0.0,none,True
31,1.03594645,False,0.0,none,True
32,1.067950239,False,0.0,none,True
33,1.099959683,False,0.0,none,True
34,1.135956256,False,0.0,none,True
35,1.1679604810000002,False,0.0,none,True
36,1.199964414,False,0.0,none,True
37,1.2359178690000001,False,0.0,none,True
38,1.267942186,False,0.0,none,True
39,1.299968612,False,0.0,none,True
40,1.335990046,False,0.0,none,True
41,1.3679243030000001,False,0.0,none,True
42,1.400021849,False,0.0,none,True
43,1.4359625100000002,False,0.0,none,True
44,1.467968031,False,0.0,none,True
45,1.499953761,False,0.0,none,True
46,1.5359339650000001,False,0.0,none,True
47,1.5679434780000001,False,0.0,none,True
48,1.5999885500000002,False,0.0,none,True
49,1.6359739340000001,False,0.0,none,True
50,1.667990775,False,0.0,none,True
51,1.700096548,False,0.0,none,True
52,1.7359175960000002,False,0.0,none,True
53,1.7680180410000002,False,0.0,none,True
54,1.8000154750000001,False,0.0,none,True
55,1.835996071,False,0.0,none,True
56,1.8680383200000001,False,0.0,none,True
57,1.900023784,False,0.0,none,True
58,1.935916913,False,0.0,none,True
59,1.9679216670000002,False,0.0,none,True
60,1.9999436160000001,False,0.0,none,True
61,2.035903998,False,0.0,none,True
62,2.067946649,False,0.0,none,True
63,2.1000676090000003,False,0.0,none,True
64,2.136020605,False,0.0,none,True
65,2.168233283,False,0.0,none,True
66,2.199953214,False,0.0,none,True
67,2.2359342620000002,False,0.0,none,True
68,2.2679856970000003,False,0.0,none,True
69,2.299978206,False,0.0625,left,True
70,2.336135242,False,0.0625,left,True
71,2.3680219570000003,False,0.09375,left,True
72,2.400057056,False,0.09375,left,True
73,2.436160683,True,0.125,left,True
74,2.468126163,True,0.125,left,True
75,2.500172595,True,0.125,left,True
76,2.536125497,True,0.15625,left,True
77,2.568111236,True,0.15625,left,True
78,2.60015075,True,0.1875,left,True
79,2.6361543430000003,True,0.1875,left,True
80,2.668138996,True,0.1875,left,True
81,2.700218097,True,0.1875,left,True
82,2.73612249,True,0.21875,left,True
83,2.768178555,True,0.21875,left,True
84,2.800178786,True,0.21875,left,True
85,2.8361939030000003,True,0.21875,left,True
86,2.8682069880000003,True,0.21875,left,True
87,2.900250422,True,0.25,left,True
88,2.9361910190000002,True,0.25,left,True
89,2.968256429,True,0.28125,left,True
90,3.000252821,True,0.28125,left,True
91,3.0361948020000002,True,0.28125,left,True
92,3.0682541970000003,True,0.28125,left,True
93,3.100154404,True,0.28125,left,True
94,3.136118552,True,0.3125,left,True
95,3.167965172,True,0.3125,left,True
96,3.199993435,True,0.3125,left,True
97,3.2359817520000003,True,0.3125,left,True
98,3.267986725,True,0.34375,left,True
99,3.300021676,True,0.34375,left,True
100,3.3359931140000003,True,0.34375,left,True
101,3.367976638,True,0.34375,left,True
102,3.400105309,True,0.34375,left,True
103,3.4360136910000003,True,0.375,left,True
104,3.4680699460000004,True,0.375,left,True
105,3.500225658,True,0.375,left,True
106,3.5361372240000004,True,0.40625,left,True
107,3.567988934,True,0.375,left,True
108,3.600072228,True,0.375,left,True
109,3.6360006420000004,True,0.375,left,True
110,3.6680987590000003,True,0.375,left,True
111,3.700040259,True,0.375,left,True
112,3.736002919,True,0.375,left,True
113,3.7681729760000002,True,0.375,left,True
114,3.800132737,True,0.375,left,True
115,3.8360068220000003,True,0.375,left,True
116,3.8681364520000003,True,0.375,left,True
117,3.900149658,True,0.375,left,True
118,3.936013253,True,0.375,left,True
119,3.968038094,True,0.34375,left,True
120,4.000001042,True,0.34375,left,True
121,4.036003552,True,0.34375,left,True
122,4.068024866,True,0.34375,left,True
123,4.100049038,True,0.34375,left,True
124,4.136032932,True,0.34375,left,True
125,4.168065143000001,True,0.3125,left,True
126,4.200071899,True,0.3125,left,True
127,4.236157526,True,0.28125,left,True
128,4.26811024,True,0.28125,left,True
