frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788952611465892908,0.0,False,0.4573170731707317,0.00040650406504065046,0.0,0.4503267973856209,0.0,0.0,0.32616033755274265,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788952611501815533,0.035922625,False,0.45650406504065044,0.00040650406504065046,0.0,0.4470588235294118,0.0,0.0,0.29599156118143466,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788952611533947803,0.068054895,False,0.42926829268292677,0.0036585365853658543,0.0,0.39803921568627454,0.0,0.0,0.2875527426160337,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788952611565906656,0.100013748,False,0.4272357723577236,0.004878048780487805,0.0,0.3970588235294118,0.0,0.0,0.2867088607594937,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788952611601886190,0.13599328200000002,False,0.38536585365853654,0.0036585365853658543,0.0,0.3529411764705882,0.0,0.0,0.270464135021097,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788952611633932883,0.168039975,True,0.3849593495934959,0.004065040650406504,0.0,0.3503267973856209,0.0,0.0,0.270042194092827,0.0,0.0,0.051452985513145144,-0.34205903810603017,4.318653302671127,0.06155438370089141,0.007242341368579286,0.02188463334103907,0.01885642696189392
6,1788952611665971052,0.200078144,True,0.3630081300813008,0.00040650406504065046,0.0,0.32712418300653595,0.0,0.0,0.2535864978902954,0.0,0.0,0.2533582953413258,-0.0877615787449676,4.105313732784522,0.08034494729537783,-0.018075297400922848,0.04419892523802593,-0.017702926448714035
7,1788952611701750211,0.23585730300000002,True,0.3601626016260163,0.00040650406504065046,0.0,0.32450980392156864,0.0,0.0,0.2481012658227848,0.0,0.0,0.21874347000919592,-0.09069876844972269,4.072146333939532,0.07914625898262291,-0.011958204935724054,0.03398799518931671,-0.0016893896777286747
8,1788952611733911852,0.26801894400000004,True,0.3573170731707317,0.00040650406504065046,0.0,0.3150326797385621,0.0,0.0,0.24219409282700424,0.0,0.0,0.0192392806234869,-0.38866465202871286,3.9583381070819934,0.055416981352985645,0.0018447671713910127,0.02058409979970094,-0.006533447939637624
9,1788952611765925245,0.30003233700000004,True,0.35609756097560974,0.00040650406504065046,0.0,0.31209150326797386,0.0,0.0,0.24198312236286923,0.0,0.0,0.11341735456174873,-0.33306530369078574,3.9544256326546363,0.05934883241749582,-0.004741879933820536,0.028669244905501025,-0.006282518566019979
