frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788952676784227417,0.0,False,0.0032520325203252037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788952676820218013,0.035990596,False,0.0028455284552845526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788952676852251474,0.068024057,False,0.0032520325203252037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788952676884310397,0.10008298,False,0.0036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0006329113924050632,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788952676920182154,0.13595473700000002,False,0.0016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0010548523206751054,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788952676952262852,0.168035435,True,0.0012195121951219512,0.0,0.0,0.0,0.0,0.0,0.0016877637130801686,0.0,0.0,0.05908177802229342,1.341036845237878,4.048742338928028,0.06588491910313181,0.016076818587393495,0.00967011122138203,0.016513044659784766
6,1788952676984293663,0.200066246,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21790614305500666,1.5958269777739584,4.156419687169959,0.08594807570038789,0.00022125101076572902,0.02769256626133643,0.016272386857788028
7,1788952677020217610,0.23599019300000001,True,0.0024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28103382613607186,1.5939833075601806,4.171207859456901,0.08458767881562845,-0.003128941066081121,0.021868902407174262,0.02114596932319541
8,1788952677052236874,0.268009457,True,0.0032520325203252037,0.0,0.0,0.0,0.0,0.0,0.0010548523206751054,0.0,0.0,0.08183770373094257,1.559138899477174,4.15313265229085,0.08407655835515158,0.006459659551164288,0.02610808309948668,0.009126084024833142
9,1788952677084335760,0.300108343,True,0.0036585365853658534,0.0,0.0,0.0,0.0,0.0,0.00189873417721519,0.0,0.0,0.25527051543601575,1.5655590125836558,4.195022255269545,0.0822400429393948,-0.0035444254782675683,0.01897606634437316,-0.0019376602768660324
10,1788952677120282403,0.336054986,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,-0.05376171362452453,1.5203494616487778,4.0878732518724465,0.08301750410937817,0.022226682005348324,0.03452601629125439,-0.004704249978239185
11,1788952677152378636,0.36815121900000003,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.0016877637130801686,0.0,0.0,0.20252525745611583,1.747272566060196,4.138872645932652,0.08481840277376902,0.00859480723716099,0.008684818357495697,-0.010856271746506305
12,1788952677184415246,0.40018782900000005,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13434866650401323,1.407223626186734,4.0328124378619385,0.06824665805182191,0.005312235083883134,0.0240140627305339,0.011493083186999287
13,1788952677220343244,0.436115827,True,0.002032520325203252,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,0.15178869810305695,1.7999223202793004,3.889496612876129,0.09660158072944644,0.012522545738432157,0.024590318182435088,-0.01658932444139449
14,1788952677252427431,0.46820001400000005,True,0.0024390243902439024,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0,0.14166117783615273,1.2465404313352952,4.112059088178699,0.055309050509932484,0.004567033918532872,0.0037039868296925155,-0.0014440259218222384
15,1788952677284397703,0.500170286,True,0.0036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42025771503786524,1.69558941210055,3.938751275980883,0.08880791068339415,-0.009267090769890539,0.025818378493597992,0.01112966005187333
