frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.0,none,False
1,0.031959369,False,0.0,none,False
2,0.06400257300000001,False,0.0,none,False
3,0.099950335,False,0.0,none,False
4,0.13201415700000002,False,0.0,none,False
5,0.164099349,False,0.0,none,True
6,0.19997130100000002,False,0.0,none,True
7,0.23197935800000002,False,0.0,none,True
8,0.263998563,False,0.0,none,True
9,0.300016149,False,0.0,none,True
10,0.332088201,False,0.0,none,True
11,0.36404205300000003,False,0.0,none,True
12,0.40003130600000003,False,0.0,none,True
13,0.43221119100000005,False,0.0,none,True
14,0.46428957400000004,False,0.0,none,True
15,0.500215936,False,0.0,none,True
16,0.5321016550000001,False,0.0,none,True
17,0.564239989,False,0.0,none,True
18,0.6001773220000001,False,0.0,none,True
19,0.632212863,False,0.0,none,True
20,0.6642195940000001,False,0.0,none,True
21,0.700095695,False,0.0,none,True
22,0.73240834,False,0.0,none,True
23,0.7643301060000001,False,0.0,none,True
24,0.8002511640000001,False,0.0,none,True
25,0.83218075,False,0.0,none,True
26,0.864210915,False,0.0,none,True
27,0.9001188800000001,False,0.0,none,True
28,0.932189578,False,0.0,none,True
29,0.964289778,False,0.0,none,True
30,1.0002103900000001,False,0.0,none,True
31,1.032232501,False,0.0,none,True
32,1.064292799,False,0.0,none,True
33,1.1002397270000002,False,0.0,none,True
34,1.132291478,False,0.0,none,True
35,1.1643169690000001,False,0.0,none,True
36,1.20015245,False,0.0,none,True
37,1.232401421,False,0.0625,left,True
38,1.264332145,False,0.0625,left,True
39,1.300152581,False,0.03125,left,True
40,1.3322717240000002,False,0.0625,left,True
41,1.3642829220000001,False,0.0625,left,True
42,1.400270083,False,0.09375,left,True
43,1.432202637,False,0.09375,left,True
44,1.46434769,False,0.09375,left,True
45,1.5003981610000001,False,0.09375,left,True
46,1.53234913,True,0.125,left,True
47,1.564259528,True,0.125,left,True
48,1.6001778210000002,True,0.125,left,True
49,1.632320212,True,0.125,left,True
50,1.664246075,True,0.125,left,True
51,1.7002636480000002,True,0.15625,left,True
52,1.7322868800000002,True,0.15625,left,True
53,1.764260595,True,0.15625,left,True
54,1.8002555070000001,True,0.15625,left,True
55,1.832245727,True,0.1875,left,True
56,1.8642727760000002,True,0.1875,left,True
57,1.9002928650000002,True,0.1875,left,True
58,1.932444204,True,0.1875,left,True
59,1.9640875780000002,True,0.1875,left,True
60,2.0003520580000003,True,0.21875,left,True
61,2.0323790880000003,True,0.21875,left,True
62,2.064359338,True,0.21875,left,True
63,2.100369144,True,0.21875,left,True
64,2.132430404,True,0.25,left,True
65,2.1644290330000002,True,0.25,left,True
66,2.200385801,True,0.25,left,True
67,2.2323894920000003,True,0.25,left,True
68,2.264330084,True,0.25,left,True
69,2.300372025,True,0.25,left,True
70,2.332200842,True,0.25,left,True
71,2.364336965,True,0.25,left,True
72,2.400413197,True,0.25,left,True
73,2.432459187,True,0.25,left,True
74,2.4644508870000004,True,0.25,left,True
75,2.5002410370000003,True,0.25,left,True
76,2.5323207020000003,True,0.25,left,True
77,2.564193324,True,0.25,left,True
78,2.600184702,True,0.25,left,True
79,2.632261047,True,0.25,left,True
80,2.664288356,True,0.25,left,True
81,2.7001862770000002,True,0.25,left,True
82,2.732255995,True,0.25,left,True
83,2.764493674,True,0.25,left,True
84,2.800419089,True,0.25,left,True
85,2.8321430050000003,True,0.25,left,True
86,2.864239748,True,0.25,left,True
87,2.9002323910000003,True,0.25,left,True
88,2.9322740880000002,True,0.25,left,True
89,2.9642978880000004,True,0.25,left,True
90,3.0002284230000003,True,0.25,left,True
91,3.0322260780000003,True,0.25,left,True
92,3.064259099,True,0.25,left,True
93,3.100237105,True,0.25,left,True
94,3.132250152,True,0.25,left,True
95,3.1643238260000004,True,0.25,left,True
96,3.200150501,True,0.25,left,True
97,3.2323509880000003,True,0.25,left,True
98,3.2643065620000002,True,0.25,left,True
99,3.300403541,True,0.25,left,True
100,3.332496841,True,0.21875,left,True
101,3.3643582590000003,True,0.21875,left,True
102,3.4002635640000003,True,0.21875,left,True
103,3.432351815,True,0.21875,left,True
104,3.46432186,True,0.21875,left,True
105,3.500323942,True,0.21875,left,True
106,3.5324496720000003,True,0.21875,left,True
107,3.564520614,True,0.1875,left,True
108,3.600380469,True,0.1875,left,True
109,3.632363617,True,0.15625,left,True
110,3.6643642290000003,True,0.15625,left,True
111,3.700253275,True,0.15625,left,True
112,3.7324400410000003,True,0.125,left,True
113,3.7643961010000004,True,0.125,left,True
114,3.800204492,True,0.125,left,True
115,3.8323534140000004,True,0.125,left,True
