frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.09375,left,False
1,0.031856498000000004,False,0.09375,left,False
2,0.064060804,False,0.09375,left,False
3,0.10002845,False,0.09375,left,False
4,0.131999572,False,0.09375,left,True
5,0.164073941,False,0.09375,left,True
6,0.20009880000000002,False,0.09375,left,True
7,0.232022098,False,0.09375,left,True
8,0.263885974,False,0.09375,left,True
9,0.300061827,False,0.09375,left,True
10,0.332226234,False,0.09375,left,True
11,0.364002105,False,0.09375,left,True
12,0.400068073,False,0.09375,left,True
13,0.43209104200000004,False,0.09375,left,True
14,0.46403395000000003,False,0.09375,left,True
15,0.49999750400000004,False,0.09375,left,True
16,0.532009303,False,0.09375,left,True
17,0.564140996,False,0.09375,left,True
18,0.600104294,False,0.09375,left,True
19,0.632014332,False,0.09375,left,True
20,0.6640410830000001,False,0.09375,left,True
21,0.6998730700000001,False,0.09375,left,True
22,0.732014024,False,0.09375,left,True
23,0.7640779280000001,False,0.09375,left,True
24,0.7998872220000001,False,0.09375,left,True
25,0.832070885,False,0.09375,left,True
26,0.8639627150000001,False,0.09375,left,True
27,0.900061816,False,0.09375,left,True
28,0.931871556,False,0.09375,left,True
29,0.963882357,False,0.09375,left,True
30,0.9999548840000001,False,0.09375,left,True
31,1.031867299,False,0.09375,left,True
32,1.063885065,False,0.09375,left,True
33,1.099801893,False,0.09375,left,True
34,1.131884648,False,0.09375,left,True
35,1.16410867,False,0.09375,left,True
36,1.199884879,False,0.09375,left,True
37,1.2320757640000002,False,0.09375,left,True
38,1.2638896590000002,False,0.09375,left,True
39,1.29979693,False,0.09375,left,True
40,1.3318186520000002,False,0.09375,left,True
41,1.363860383,False,0.09375,left,True
42,1.39981617,False,0.09375,left,True
43,1.432012257,False,0.09375,left,True
44,1.46399732,False,0.09375,left,True
45,1.499870865,False,0.09375,left,True
46,1.531867153,False,0.09375,left,True
47,1.563902402,False,0.09375,left,True
48,1.599931475,False,0.09375,left,True
49,1.6318536190000001,False,0.09375,left,True
50,1.663919009,False,0.09375,left,True
51,1.699831265,False,0.09375,left,True
52,1.7318455670000001,False,0.09375,left,True
53,1.763916569,False,0.09375,left,True
54,1.7999338130000002,False,0.09375,left,True
55,1.8320290750000001,False,0.09375,left,True
56,1.8639923950000001,False,0.09375,left,True
57,1.899959954,False,0.09375,left,True
58,1.9319044470000002,False,0.09375,left,True
59,1.963963651,False,0.09375,left,True
60,1.999806167,False,0.09375,left,True
61,2.031870675,False,0.09375,left,True
62,2.063861482,False,0.09375,left,True
63,2.099868025,False,0.09375,left,True
64,2.131855223,False,0.09375,left,True
65,2.163900757,False,0.0625,left,True
66,2.199805344,False,0.0625,left,True
67,2.231962171,False,0.0625,left,True
68,2.2641226800000003,False,0.0625,left,True
69,2.2998827090000002,False,0.0625,left,True
70,2.332027476,False,0.0625,left,True
71,2.364024677,False,0.0625,left,True
72,2.399848984,False,0.0625,left,True
73,2.4319756110000004,False,0.0625,left,True
74,2.4639141540000002,False,0.03125,left,True
75,2.4999684550000003,False,0.03125,left,True
76,2.531943106,False,0.03125,left,True
77,2.5639891500000003,False,0.03125,left,True
78,2.599910105,False,0.03125,left,True
79,2.6320124110000003,False,0.03125,left,True
80,2.663928131,False,0.03125,left,True
81,2.6998735380000003,False,0.03125,left,True
82,2.7320142360000004,False,0.03125,left,True
83,2.763972229,False,0.03125,left,True
84,2.7998477900000003,False,0.03125,left,True
85,2.83191525,False,0.03125,left,True
86,2.864076362,False,0.03125,left,True
87,2.899943566,False,0.03125,left,True
88,2.932123171,False,0.0625,left,True
89,2.9638955690000004,False,0.0625,left,True
90,2.999852186,False,0.0625,left,True
91,3.0318533710000004,False,0.0625,left,True
92,3.0639173050000004,False,0.0625,left,True
93,3.0999473550000003,False,0.0625,left,True
94,3.131915755,False,0.0625,left,True
95,3.1638901010000002,False,0.03125,left,True
96,3.199874597,False,0.03125,left,True
97,3.23188134,False,0.03125,left,True
98,3.263926318,False,0.03125,left,True
99,3.2998384310000004,False,0.03125,left,True
100,3.331890979,False,0.03125,left,True
101,3.363917772,False,0.03125,left,True
102,3.3998174100000003,False,0.03125,left,True
103,3.432172083,False,0.03125,left,True
104,3.463905291,False,0.03125,left,True
105,3.4998638200000003,False,0.03125,left,True
106,3.5318456260000004,False,0.03125,left,True
107,3.563883908,False,0.03125,left,True
108,3.5998929110000004,False,0.03125,left,True
109,3.631953245,False,0.03125,left,True
110,3.66388439,False,0.03125,left,True
111,3.699911949,False,0.03125,left,True
112,3.731889949,False,0.03125,left,True
113,3.7640240240000002,False,0.0625,left,True
114,3.799939932,False,0.0625,left,True
115,3.831837841,False,0.0625,left,True
116,3.863901681,False,0.0625,left,True
117,3.899824751,False,0.03125,left,True
118,3.931868333,False,0.03125,left,True
119,3.9639506800000004,False,0.03125,left,True
120,3.9998213720000004,False,0.0625,left,True
121,4.03192986,False,0.0625,left,True
122,4.063911444,False,0.03125,left,True
123,4.099882271,False,0.0625,left,True
124,4.131890255,False,0.0625,left,True
125,4.163982601,False,0.0625,left,True
126,4.200076977,False,0.0625,left,True
127,4.231963756,False,0.0625,left,True
128,4.264043096,False,0.0625,left,True
129,4.2999880070000005,False,0.03125,left,True
130,4.3321313980000005,False,0.03125,left,True
131,4.364133162,False,0.03125,left,True
132,4.400030416,False,0.03125,left,True
133,4.4319032190000005,False,0.03125,left,True
134,4.4640401810000006,False,0.03125,left,True
135,4.49998873,False,0.03125,left,True
136,4.53213122,False,0.03125,left,True
137,4.564099775,False,0.03125,left,True
138,4.599974757,False,0.0625,left,True
139,4.631979113,False,0.03125,left,True
140,4.664008486,False,0.0625,left,True
141,4.7000780870000005,False,0.0625,left,True
142,4.7320610830000005,False,0.0625,left,True
143,4.764102645,False,0.0625,left,True
144,4.79997936,False,0.09375,left,True
145,4.832052595,False,0.03125,left,True
146,4.864133516,False,0.03125,left,True
147,4.899995433,False,0.03125,left,True
148,4.932177059000001,False,0.03125,left,True
149,4.964142837000001,False,0.03125,left,True
150,5.000009459,False,0.03125,left,True
151,5.0321460170000005,False,0.0625,left,True
152,5.064096533000001,False,0.0625,left,True
153,5.1000805080000005,False,0.0625,left,True
154,5.131999336000001,False,0.0625,left,True
155,5.1639208750000005,False,0.09375,left,True
156,5.199972904,False,0.09375,left,True
157,5.232147472,False,0.09375,left,True
158,5.264177895,False,0.09375,left,True
159,5.300034987,False,0.09375,left,True
160,5.332075695,False,0.09375,left,True
161,5.363999783000001,False,0.09375,left,True
162,5.400010534000001,False,0.09375,left,True
163,5.432103089,False,0.09375,left,True
164,5.464138655,False,0.09375,left,True
165,5.5000778200000005,True,0.125,left,True
166,5.5320513380000005,True,0.125,left,True
167,5.5641269730000005,True,0.125,left,True
168,5.599985988,True,0.125,left,True
169,5.6319717240000005,True,0.125,left,True
170,5.664065386000001,True,0.125,left,True
171,5.69999165,True,0.125,left,True
172,5.7320426190000004,True,0.125,left,True
173,5.763936142,True,0.125,left,True
174,5.800156664,True,0.125,left,True
175,5.832106371,True,0.125,left,True
176,5.864070693,True,0.125,left,True
177,5.900016455,True,0.125,left,True
178,5.93218008,True,0.15625,left,True
179,5.964114602,True,0.15625,left,True
180,5.99998492,True,0.15625,left,True
181,6.032057198,True,0.15625,left,True
182,6.064181096,True,0.15625,left,True
183,6.1000352200000005,True,0.1875,left,True
184,6.1320899330000005,True,0.1875,left,True
185,6.16407252,True,0.1875,left,True
186,6.199957244,True,0.1875,left,True
187,6.231937012,True,0.1875,left,True
188,6.264006554000001,True,0.1875,left,True
189,6.29990744,True,0.1875,left,True
190,6.3319735580000005,True,0.1875,left,True
191,6.364143981000001,True,0.1875,left,True
192,6.400009719000001,True,0.21875,left,True
193,6.432107191,True,0.21875,left,True
194,6.464096661,True,0.21875,left,True
195,6.499929131,True,0.21875,left,True
196,6.531997744000001,True,0.25,left,True
197,6.564101014,True,0.25,left,True
198,6.600099413000001,True,0.25,left,True
199,6.632153343000001,True,0.25,left,True
200,6.664145270000001,True,0.25,left,True
201,6.700173944,True,0.25,left,True
202,6.7322069970000005,True,0.25,left,True
203,6.764219719000001,True,0.25,left,True
204,6.800147991,True,0.25,left,True
205,6.8321471780000005,True,0.25,left,True
206,6.864196715,True,0.25,left,True
207,6.900053508,True,0.25,left,True
208,6.93207693,True,0.25,left,True
209,6.96407576,True,0.25,left,True
210,7.000312322,True,0.25,left,True
211,7.032185937,True,0.25,left,True
212,7.06416804,True,0.25,left,True
213,7.099990515,True,0.25,left,True
