frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.09375,left,False
1,0.03611857,False,0.09375,left,False
2,0.06785043,False,0.09375,left,False
3,0.099934381,False,0.09375,left,False
4,0.135795923,False,0.09375,left,True
5,0.16806416100000002,False,0.09375,left,True
6,0.199802413,False,0.09375,left,True
7,0.23589770200000001,False,0.09375,left,True
8,0.267918309,False,0.09375,left,True
9,0.29992798400000004,False,0.09375,left,True
10,0.33581012000000005,False,0.09375,left,True
11,0.36792675500000005,False,0.09375,left,True
12,0.39993213400000005,False,0.09375,left,True
13,0.43594105200000005,False,0.09375,left,True
14,0.46787009,False,0.09375,left,True
15,0.499900182,False,0.09375,left,True
16,0.535872201,False,0.09375,left,True
17,0.567839929,False,0.09375,left,True
18,0.5997811150000001,False,0.09375,left,True
19,0.635712468,False,0.09375,left,True
20,0.667971666,False,0.09375,left,True
21,0.699873348,False,0.09375,left,True
22,0.7358859320000001,False,0.09375,left,True
23,0.7679093330000001,False,0.09375,left,True
24,0.8000001790000001,False,0.09375,left,True
25,0.8357382800000001,False,0.09375,left,True
26,0.867738648,False,0.09375,left,True
27,0.8997171060000001,False,0.09375,left,True
28,0.935691534,False,0.09375,left,True
29,0.967688568,False,0.09375,left,True
30,0.999735794,False,0.09375,left,True
31,1.035710085,False,0.09375,left,True
32,1.067710758,False,0.09375,left,True
33,1.0997772080000001,False,0.09375,left,True
34,1.1357415770000001,False,0.09375,left,True
35,1.167715824,False,0.09375,left,True
36,1.19973284,False,0.09375,left,True
37,1.23571483,False,0.09375,left,True
38,1.2678139110000002,False,0.09375,left,True
39,1.299878397,False,0.09375,left,True
40,1.335807572,False,0.09375,left,True
41,1.3678467630000002,False,0.09375,left,True
42,1.400116442,False,0.09375,left,True
43,1.435849323,False,0.09375,left,True
44,1.467841616,False,0.09375,left,True
45,1.5001085820000002,False,0.09375,left,True
46,1.535823018,False,0.09375,left,True
47,1.5684461680000001,False,0.09375,left,True
48,1.5997941,False,0.09375,left,True
49,1.6358785390000001,False,0.09375,left,True
