frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788956176207478642,0.0,False,0.022764227642276424,0.0,0.04471544715447155,0.0,0.0,0.02875816993464052,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788956176239369003,0.031890361,False,0.023170731707317073,0.0,0.045121951219512194,0.0,0.0,0.02875816993464052,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788956176271695052,0.06421641,False,0.021544715447154472,0.0,0.03780487804878048,0.0,0.0,0.018627450980392153,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788956176308013816,0.100535174,False,0.020325203252032523,0.0,0.03536585365853658,0.0,0.0,0.019281045751633988,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788956176339604802,0.13212616000000002,False,0.01951219512195122,0.0,0.006504065040650407,0.0,0.0,0.011437908496732027,0.0,0.0,0.0010548523206751054,nan,nan,nan,nan,nan,nan,nan
5,1788956176371703429,0.164224787,True,0.01910569105691057,0.0,0.00853658536585366,0.0,0.0,0.012745098039215686,0.0,0.0,0.0010548523206751054,0.0850195026477143,1.7741811725619387,4.007557922330667,0.10964170292793235,0.030797651206228783,0.05960496481505061,0.009562763498325369
6,1788956176407528378,0.200049736,True,0.01910569105691057,0.0,0.008536585365853657,0.0,0.0,0.008169934640522878,0.0,0.0,0.0,0.22861056409305847,1.7622666740115338,3.8513721637067717,0.1010671470550007,0.023673986730020892,0.06474667221089445,-0.0006284954726629056
7,1788956176439758963,0.232280321,True,0.017479674796747967,0.0,0.0008130081300813009,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.44719272363985696,2.255846747504998,3.8691075710610665,0.14418880773958095,0.001399336825831408,0.09323268826422709,0.00715040884572891
8,1788956176471471729,0.263993087,True,0.01788617886178862,0.0,0.00040650406504065046,0.0,0.0,0.006209150326797386,0.0,0.0,0.00021097046413502107,0.1850904010450667,1.9001683633282929,3.809615342267465,0.11145576666350812,0.023538852317351682,0.06206148312703981,0.006220027732575521
9,1788956176507359697,0.299881055,True,0.017479674796747967,0.0,0.0,0.0,0.0,0.0026143790849673205,0.0,0.0,0.00042194092827004215,0.15296453159959822,1.9055183245588307,3.733161193494392,0.11830202094579303,0.027780104120529343,0.06524311675678116,-0.0020849536515237252
10,1788956176539619988,0.332141346,True,0.017479674796747967,0.0,0.0,0.0,0.0,0.0026143790849673205,0.0,0.0,0.00042194092827004215,0.44833994032100466,2.05860645103806,3.874445778959953,0.13239421949632485,-0.0034790983251608257,0.0863759168020242,0.0005584774995908525
11,1788956176571647919,0.364169277,True,0.014634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10534746743180379,1.789287089368765,3.8062904808090776,0.10873520369328432,0.029725212458351573,0.05751435658263086,0.015605339502409794
12,1788956176607615176,0.40013653400000004,True,0.014634146341463414,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.0,0.0,0.10528792309135371,1.7698217821378859,3.925237211881277,0.11206315380828785,0.022738752383705797,0.06540640034902982,-0.00345808815454231
13,1788956176639611504,0.432132862,True,0.00934959349593496,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.0,0.0,0.6345517062638699,1.8323590507218324,3.8526988555003276,0.11473042211217782,-0.006532669782959811,0.07941132386099131,0.01560330006316701
14,1788956176671631726,0.46415308400000005,True,0.00894308943089431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11530238963668182,2.4493615279199954,4.2942825382080105,0.16898926385851817,0.006495968965932899,0.08504630640876928,0.0076554699644923035
15,1788956176707606429,0.500127787,True,0.00894308943089431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37349622290033224,1.6885717544699879,3.9107665133688654,0.09608336421775238,0.012916390038832144,0.05619104622205632,-0.0028070334817953246
16,1788956176739622134,0.532143492,True,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387735652287889,2.216229574004291,4.008955862688786,0.1521532692371797,0.0005326233342864524,0.09690552017249249,0.005428660490163779
17,1788956176771512467,0.564033825,True,0.004878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13422258333397252,1.654687056372939,3.8244925882808003,0.10294352853853,0.048308464568523744,0.06403732559679531,0.0024536272458980392
18,1788956176807550775,0.6000721330000001,True,0.0028455284552845526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019307267574128817,1.7350820517175807,3.8076736713644825,0.10980710649403375,0.03362775263837502,0.07367352923225845,0.005972030019080062
19,1788956176839688923,0.632210281,True,0.0028455284552845526,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,0.2762896757389359,2.265438240098257,3.8019176804092396,0.13983758657612633,0.008798641133488713,0.09957312532458079,-0.0096707974072716
20,1788956176871490345,0.664011703,True,0.004065040650406504,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0,-0.041569520193365905,1.7370129491844655,3.8057410757717616,0.10073941229223515,0.03726118796949494,0.06464534026333942,-0.019076097517809892
