frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,True,0.15625,left,False
1,0.032103322000000004,True,0.15625,left,False
2,0.068092594,True,0.15625,left,False
3,0.100079529,True,0.15625,left,False
4,0.132107564,True,0.15625,left,False
5,0.16796666700000001,True,0.125,left,True
6,0.199989571,True,0.125,left,True
7,0.23217210000000002,True,0.125,left,True
8,0.267861744,True,0.125,left,True
9,0.30007262900000004,True,0.125,left,True
10,0.332060421,True,0.125,left,True
11,0.368029751,True,0.125,left,True
12,0.400053333,True,0.125,left,True
13,0.432123558,True,0.125,left,True
14,0.46803602600000005,True,0.125,left,True
15,0.500083139,True,0.125,left,True
16,0.5321552860000001,True,0.125,left,True
17,0.56799025,True,0.15625,left,True
18,0.600073622,True,0.15625,left,True
19,0.632099914,True,0.125,left,True
20,0.668004047,True,0.125,left,True
21,0.700055768,True,0.125,left,True
22,0.7321063710000001,True,0.125,left,True
23,0.7680530600000001,True,0.125,left,True
24,0.800063819,True,0.125,left,True
25,0.832097591,True,0.125,left,True
26,0.868026422,True,0.125,left,True
27,0.900057481,True,0.125,left,True
28,0.9320444840000001,True,0.125,left,True
29,0.967993101,True,0.125,left,True
30,1.000084239,True,0.125,left,True
31,1.032103032,True,0.125,left,True
32,1.068037346,True,0.125,left,True
33,1.1000289600000002,False,0.09375,left,True
34,1.132090661,False,0.09375,left,True
35,1.1679909450000001,False,0.09375,left,True
36,1.2000913770000001,False,0.09375,left,True
37,1.2319435920000001,False,0.09375,left,True
38,1.267865792,False,0.0625,left,True
39,1.30007278,False,0.09375,left,True
40,1.3321024240000001,False,0.0625,left,True
41,1.3641175680000002,False,0.09375,left,True
42,1.384075648,False,0.09375,left,True
43,1.4160334650000002,False,0.0625,left,True
44,1.448067357,False,0.0625,left,True
45,1.4841265510000001,False,0.0625,left,True
46,1.516101278,False,0.0625,left,True
47,1.548096197,False,0.0625,left,True
48,1.5839846240000002,False,0.0625,left,True
49,1.616052496,False,0.03125,left,True
50,1.647866271,False,0.03125,left,True
51,1.683933544,False,0.03125,left,True
52,1.716101094,False,0.0625,left,True
53,1.748119535,False,0.0625,left,True
54,1.7840573380000002,False,0.0625,left,True
55,1.8160667430000001,False,0.0625,left,True
56,1.8480957850000002,False,0.0625,left,True
57,1.8838870870000002,False,0.0625,left,True
58,1.915829001,False,0.0625,left,True
59,1.948080875,False,0.0625,left,True
60,1.9837821190000002,False,0.0625,left,True
61,2.016013729,False,0.0625,left,True
62,2.047904984,False,0.0625,left,True
63,2.083815994,False,0.0625,left,True
64,2.115833609,False,0.0625,left,True
65,2.1478658100000003,False,0.0625,left,True
66,2.1837980160000003,False,0.0625,left,True
67,2.2159210650000003,False,0.0625,left,True
68,2.247838711,False,0.0625,left,True
69,2.283833638,False,0.0625,left,True
70,2.316092603,False,0.0625,left,True
71,2.348144952,False,0.03125,left,True
72,2.384015695,False,0.03125,left,True
73,2.416126952,False,0.03125,left,True
74,2.4481052290000003,False,0.03125,left,True
75,2.484072073,False,0.03125,left,True
