frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,True,0.125,left,False
1,0.036150126000000005,True,0.125,left,False
2,0.068099324,True,0.125,left,False
3,0.100139452,True,0.125,left,False
4,0.1361308,True,0.125,left,False
5,0.16820785900000002,True,0.125,left,True
6,0.200206455,True,0.125,left,True
7,0.23615148500000002,True,0.125,left,True
8,0.268155093,True,0.125,left,True
9,0.300142947,True,0.125,left,True
10,0.33614358,True,0.125,left,True
11,0.368154868,True,0.125,left,True
12,0.400186242,True,0.125,left,True
13,0.43617820900000004,True,0.125,left,True
14,0.470109469,True,0.125,left,True
15,0.500911412,True,0.125,left,True
16,0.536130803,True,0.125,left,True
17,0.568260391,True,0.125,left,True
18,0.600309262,True,0.125,left,True
19,0.636207327,True,0.15625,left,True
20,0.668174244,True,0.15625,left,True
21,0.7001723400000001,True,0.15625,left,True
22,0.7361525280000001,True,0.15625,left,True
23,0.7681320960000001,True,0.15625,left,True
24,0.800275429,True,0.15625,left,True
25,0.8361463480000001,True,0.15625,left,True
26,0.8680456580000001,True,0.15625,left,True
27,0.900155235,True,0.15625,left,True
28,0.9361310490000001,True,0.1875,left,True
29,0.968245189,True,0.1875,left,True
30,1.0001830470000002,True,0.1875,left,True
31,1.036189676,True,0.1875,left,True
32,1.068248552,True,0.1875,left,True
33,1.100322751,True,0.1875,left,True
34,1.136236843,True,0.1875,left,True
35,1.168273477,True,0.1875,left,True
36,1.20020969,True,0.1875,left,True
37,1.236107341,True,0.1875,left,True
38,1.268277509,True,0.1875,left,True
39,1.3001645350000002,True,0.1875,left,True
40,1.3361395340000002,True,0.1875,left,True
41,1.3682190010000002,True,0.1875,left,True
42,1.4001652500000001,True,0.1875,left,True
43,1.436107615,True,0.1875,left,True
44,1.4681361370000001,True,0.1875,left,True
45,1.500173792,True,0.1875,left,True
46,1.5361119920000001,True,0.1875,left,True
47,1.568220364,True,0.1875,left,True
48,1.6001857650000002,True,0.1875,left,True
49,1.6363303470000001,True,0.1875,left,True
50,1.66822924,True,0.1875,left,True
51,1.7001954170000002,True,0.1875,left,True
52,1.7361127280000002,True,0.1875,left,True
53,1.7681658660000001,True,0.1875,left,True
54,1.800216132,True,0.1875,left,True
55,1.836166863,True,0.1875,left,True
56,1.868187252,True,0.1875,left,True
57,1.900234777,True,0.1875,left,True
58,1.93613633,True,0.1875,left,True
59,1.968213205,True,0.1875,left,True
60,2.000175757,True,0.1875,left,True
61,2.038172281,True,0.1875,left,True
62,2.068140011,True,0.1875,left,True
63,2.1001863160000003,True,0.1875,left,True
64,2.136386186,True,0.1875,left,True
65,2.168252911,True,0.1875,left,True
66,2.200275028,True,0.1875,left,True
67,2.236215361,True,0.1875,left,True
68,2.2689003150000002,True,0.1875,left,True
69,2.300285011,True,0.1875,left,True
70,2.3360703170000003,True,0.1875,left,True
71,2.3681628640000003,True,0.1875,left,True
72,2.400211691,True,0.1875,left,True
73,2.436126528,True,0.1875,left,True
74,2.46819553,True,0.1875,left,True
75,2.500134252,True,0.1875,left,True
76,2.53609029,True,0.1875,left,True
77,2.5681704670000003,True,0.1875,left,True
78,2.600236958,True,0.1875,left,True
79,2.63614228,True,0.1875,left,True
80,2.668189598,True,0.1875,left,True
81,2.7002352860000003,True,0.1875,left,True
82,2.736178783,True,0.1875,left,True
83,2.7682231940000004,True,0.1875,left,True
84,2.800229758,True,0.1875,left,True
85,2.836081004,True,0.1875,left,True
86,2.868201869,True,0.1875,left,True
87,2.9002431730000002,True,0.1875,left,True
88,2.936241589,True,0.1875,left,True
89,2.968263399,True,0.1875,left,True
90,3.000183138,True,0.1875,left,True
91,3.036219349,True,0.1875,left,True
92,3.0682045130000004,True,0.1875,left,True
93,3.1002228630000004,True,0.1875,left,True
94,3.1361118730000004,True,0.1875,left,True
95,3.1680868880000004,True,0.1875,left,True
96,3.200253683,True,0.1875,left,True
97,3.2361766640000003,True,0.1875,left,True
98,3.268182556,True,0.1875,left,True
99,3.3002985320000002,True,0.1875,left,True
100,3.3361132400000004,True,0.1875,left,True
101,3.3684262890000003,True,0.1875,left,True
102,3.400456972,True,0.1875,left,True
103,3.43626195,True,0.1875,left,True
104,3.4683039350000002,True,0.1875,left,True
105,3.50032356,True,0.1875,left,True
106,3.53620735,True,0.1875,left,True
107,3.568277251,True,0.1875,left,True
108,3.60029946,True,0.1875,left,True
109,3.636272013,True,0.1875,left,True
110,3.6682551190000003,True,0.1875,left,True
111,3.7003323050000003,True,0.1875,left,True
112,3.7362977190000004,True,0.15625,left,True
113,3.768311891,True,0.15625,left,True
114,3.800419787,True,0.15625,left,True
115,3.8362623470000004,True,0.15625,left,True
116,3.8682520910000004,True,0.125,left,True
117,3.9003103660000003,True,0.125,left,True
118,3.9362514350000004,True,0.125,left,True
119,3.9681924570000002,True,0.125,left,True
120,4.000317642000001,True,0.125,left,True
121,4.036184371,False,0.09375,left,True
122,4.0682067580000005,False,0.09375,left,True
123,4.100350318,False,0.09375,left,True
124,4.136373987000001,False,0.09375,left,True
125,4.168405527,False,0.09375,left,True
126,4.200349387,False,0.09375,left,True
127,4.236340654,False,0.09375,left,True
128,4.268341729,False,0.09375,left,True
129,4.300317681,False,0.09375,left,True
130,4.336313666000001,False,0.09375,left,True
131,4.368307068,False,0.09375,left,True
132,4.400286085,False,0.0625,left,True
133,4.436167296000001,False,0.0625,left,True
134,4.468341266,False,0.0625,left,True
135,4.500113082,False,0.0625,left,True
136,4.536197233,False,0.0625,left,True
137,4.56837087,False,0.0625,left,True
138,4.600299102,False,0.03125,left,True
139,4.636151234000001,False,0.0625,left,True
140,4.668240571,False,0.0625,left,True
141,4.700437628,False,0.0625,left,True
142,4.736169581,False,0.0625,left,True
143,4.768141957,False,0.03125,left,True
144,4.800302044,False,0.03125,left,True
145,4.8362299900000005,False,0.03125,left,True
146,4.868162656,False,0.0,none,True
147,4.900137871,False,0.0,none,True
148,4.9360783370000005,False,0.0,none,True
149,4.968237589,False,0.0,none,True
150,5.000137184000001,False,0.0,none,True
151,5.036320176,False,0.0,none,True
152,5.06825701,False,0.0,none,True
153,5.100322165000001,False,0.0,none,True
154,5.136241674000001,False,0.0,none,True
155,5.168211708,False,0.0,none,True
156,5.2002134060000005,False,0.0,none,True
157,5.236041239,False,0.0,none,True
158,5.268168935,False,0.0,none,True
159,5.300303911,False,0.0,none,True
160,5.336438942,False,0.0,none,True
161,5.3682725840000005,False,0.0,none,True
162,5.400296213000001,False,0.0,none,True
163,5.436147619000001,False,0.0,none,True
164,5.468233362,False,0.0,none,True
165,5.500075693,False,0.0,none,True
166,5.536175785,False,0.0,none,True
167,5.568184809000001,False,0.0,none,True
168,5.60016459,False,0.0,none,True
169,5.636260416000001,False,0.0,none,True
170,5.668270445,False,0.0,none,True
171,5.700196429,False,0.0,none,True
172,5.7361744880000005,False,0.0,none,True
173,5.768160137000001,False,0.0,none,True
174,5.800274742,False,0.0,none,True
175,5.836164576000001,False,0.0,none,True
176,5.868212016,False,0.0,none,True
177,5.900234522000001,False,0.0,none,True
178,5.936226236,False,0.0,none,True
179,5.968144254,False,0.0,none,True
180,6.0002758620000005,False,0.0,none,True
