frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788955770823701588,0.0,False,0.40081300813008125,0.0,0.0,0.40294117647058825,0.0,0.0,0.16983122362869196,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788955770859851714,0.036150126000000005,False,0.401219512195122,0.0,0.0,0.3977124183006536,0.0,0.0,0.17827004219409284,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788955770891800912,0.068099324,False,0.4,0.0,0.0,0.3973856209150327,0.0,0.0,0.17805907172995783,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788955770923841040,0.100139452,False,0.40162601626016264,0.0,0.0,0.40032679738562094,0.0,0.0,0.19451476793248945,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788955770959832388,0.1361308,False,0.40040650406504064,0.0,0.0,0.40032679738562094,0.0,0.0,0.19662447257383966,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788955770991909447,0.16820785900000002,True,0.40406504065040655,0.0,0.0,0.40555555555555556,0.0,0.0,0.1949367088607595,0.0,0.0,-0.11066236369113569,0.586118976163448,3.8237016387442715,0.11044634888803641,0.019134152503787277,0.06634160043643092,0.0
6,1788955771023908043,0.200206455,True,0.40569105691056906,0.0,0.0,0.4088235294117647,0.0,0.0,0.19219409282700423,0.0,0.0,0.0506024475410185,0.8311061221819911,3.6292467274118088,0.13030667974372934,0.007081726285797305,0.0834208041440047,0.01685221457121799
7,1788955771059853073,0.23615148500000002,True,0.40650406504065045,0.0,0.0,0.4094771241830065,0.0,0.0,0.19578059071729956,0.0,0.0,0.1436543927649594,1.0023687875566627,3.6550665279803844,0.14237473217704946,0.003952929374146937,0.09449843714274464,-0.0028864209117929274
8,1788955771091856681,0.268155093,True,0.40975609756097564,0.0,0.0,0.4071895424836601,0.0,0.0,0.20042194092827006,0.0,0.0,-0.0029347997391777625,0.5955164299121635,3.8919617219117932,0.1050906142056382,0.01995275427567181,0.06175459603027686,0.0
9,1788955771123844535,0.300142947,True,0.41056910569105687,0.0,0.0,0.4065359477124183,0.0,0.0,0.20021097046413505,0.0,0.0,-0.22359016966248824,0.5522237623650695,3.756015692225729,0.11018912818323862,0.0385849719608053,0.07499092011488258,0.011663638393770647
