frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.03125,left,False
1,0.031907692,False,0.03125,left,False
2,0.06799947,False,0.09375,left,False
3,0.099967285,False,0.03125,left,False
4,0.132106312,False,0.03125,left,False
5,0.167975761,False,0.03125,left,True
6,0.200015342,False,0.09375,left,True
7,0.23193701000000003,False,0.03125,left,True
8,0.26798473100000003,False,0.03125,left,True
9,0.299924668,False,0.03125,left,True
10,0.332608199,False,0.03125,left,True
11,0.367934319,False,0.03125,left,True
12,0.39989306300000005,False,0.09375,left,True
13,0.43200452100000003,False,0.03125,left,True
14,0.46795392,False,0.09375,left,True
15,0.49995078200000004,False,0.03125,left,True
16,0.532039495,False,0.03125,left,True
17,0.567706123,False,0.03125,left,True
18,0.599754863,False,0.03125,left,True
19,0.631799772,False,0.0625,left,True
20,0.667700371,False,0.0625,left,True
21,0.699751051,False,0.0625,left,True
22,0.731816086,False,0.0625,left,True
23,0.767734236,False,0.03125,left,True
24,0.799749699,False,0.03125,left,True
25,0.8318121930000001,False,0.03125,left,True
26,0.8678109310000001,False,0.03125,left,True
27,0.89981719,False,0.0625,left,True
28,0.931864588,False,0.0625,left,True
29,0.9677475440000001,False,0.0625,left,True
30,0.999792239,False,0.03125,left,True
31,1.0318292530000002,False,0.03125,left,True
32,1.067759195,False,0.0,none,True
33,1.099787177,False,0.0,none,True
34,1.131780033,False,0.0,none,True
35,1.167746494,False,0.0,none,True
36,1.199758222,False,0.0,none,True
37,1.231741645,False,0.0,none,True
38,1.2677411410000001,False,0.0,none,True
39,1.299749145,False,0.0,none,True
40,1.331833078,False,0.0,none,True
41,1.367761419,False,0.0,none,True
42,1.399805326,False,0.0,none,True
43,1.431859548,False,0.0,none,True
44,1.467931981,False,0.0,none,True
45,1.49976792,False,0.0,none,True
46,1.5317826380000001,False,0.0,none,True
47,1.567784681,False,0.0,none,True
48,1.599853262,False,0.0,none,True
49,1.631999639,False,0.0,none,True
50,1.667780899,False,0.0,none,True
51,1.6999468210000002,False,0.0,none,True
52,1.731806831,False,0.0,none,True
53,1.767880236,False,0.0,none,True
54,1.7999251330000001,False,0.0,none,True
55,1.831978447,False,0.0,none,True
56,1.867965137,False,0.0,none,True
57,1.899908439,False,0.0,none,True
58,1.932013967,False,0.0,none,True
59,1.967814866,False,0.0,none,True
60,1.9999326990000001,False,0.0,none,True
61,2.0319561260000003,False,0.0,none,True
62,2.06785135,False,0.0,none,True
63,2.099854701,False,0.0,none,True
64,2.13195932,False,0.0,none,True
65,2.167936363,False,0.0,none,True
66,2.1999164,False,0.0,none,True
67,2.232035209,False,0.0,none,True
68,2.267923751,False,0.0,none,True
69,2.3000301260000002,False,0.0,none,True
70,2.332021817,False,0.0,none,True
71,2.367891196,False,0.0,none,True
72,2.399968983,False,0.0,none,True
73,2.432004305,False,0.0,none,True
74,2.46782855,False,0.0,none,True
75,2.500001041,False,0.0,none,True
76,2.531995428,False,0.0,none,True
77,2.5680323720000002,False,0.0,none,True
78,2.6000756980000004,False,0.0,none,True
79,2.632011168,False,0.0,none,True
80,2.667827599,False,0.0,none,True
81,2.699812,False,0.0,none,True
82,2.7320934890000004,False,0.0,none,True
83,2.768071383,False,0.0,none,True
84,2.800111417,False,0.0,none,True
85,2.831958083,False,0.0,none,True
86,2.8679809240000003,False,0.03125,left,True
87,2.90006254,False,0.03125,left,True
88,2.9320479720000003,False,0.03125,left,True
89,2.968094933,False,0.0625,left,True
90,2.999980308,False,0.0625,left,True
91,3.031965123,False,0.0625,left,True
92,3.067916168,False,0.0625,left,True
93,3.0998471850000002,False,0.09375,left,True
94,3.132013122,False,0.09375,left,True
95,3.167912192,True,0.125,left,True
96,3.2000758900000004,True,0.125,left,True
97,3.232111653,True,0.125,left,True
98,3.2680593620000002,True,0.125,left,True
99,3.300051995,True,0.125,left,True
100,3.332071217,True,0.15625,left,True
101,3.368067991,True,0.15625,left,True
102,3.399988773,True,0.1875,left,True
103,3.4319913960000004,True,0.1875,left,True
104,3.468047744,True,0.1875,left,True
105,3.4999952590000003,True,0.21875,left,True
106,3.532128927,True,0.21875,left,True
107,3.567971151,True,0.21875,left,True
108,3.599929661,True,0.21875,left,True
109,3.631976528,True,0.25,left,True
110,3.6678037120000004,True,0.25,left,True
111,3.7001035700000005,True,0.25,left,True
112,3.7320902190000003,True,0.25,left,True
113,3.7681014040000003,True,0.28125,left,True
114,3.79998958,True,0.28125,left,True
115,3.831980353,True,0.28125,left,True
116,3.867983417,True,0.28125,left,True
117,3.900051313,True,0.28125,left,True
118,3.9319578490000002,True,0.3125,left,True
119,3.9640093020000005,True,0.3125,left,True
120,3.9838553070000002,True,0.3125,left,True
121,4.016096607000001,True,0.3125,left,True
122,4.048065611,True,0.3125,left,True
123,4.083942179,True,0.3125,left,True
124,4.116090376,True,0.3125,left,True
125,4.148035522000001,True,0.3125,left,True
126,4.183928849,True,0.3125,left,True
127,4.216017556000001,True,0.3125,left,True
128,4.248009177,True,0.3125,left,True
129,4.283978379000001,True,0.3125,left,True
130,4.315976394000001,True,0.3125,left,True
131,4.348004744000001,True,0.3125,left,True
132,4.383856211,True,0.28125,left,True
133,4.415985236,True,0.28125,left,True
134,4.448058732000001,True,0.28125,left,True
135,4.48401719,True,0.28125,left,True
136,4.5159924810000005,True,0.28125,left,True
137,4.548065447,True,0.28125,left,True
138,4.584083078,True,0.28125,left,True
139,4.61601584,True,0.28125,left,True
140,4.64800473,True,0.28125,left,True
141,4.683756114,True,0.25,left,True
142,4.716036761000001,True,0.25,left,True
143,4.748070098,True,0.25,left,True
144,4.784047064,True,0.25,left,True
145,4.816085220000001,True,0.21875,left,True
146,4.848100861000001,True,0.21875,left,True
147,4.883973245,True,0.1875,left,True
148,4.916026292000001,True,0.1875,left,True
149,4.947968501,True,0.1875,left,True
150,4.983928549000001,True,0.1875,left,True
151,5.015965772,True,0.1875,left,True
152,5.048069058,True,0.15625,left,True
153,5.083918916,True,0.15625,left,True
154,5.116058319,True,0.15625,left,True
155,5.148114076000001,True,0.15625,left,True
156,5.184122508000001,True,0.125,left,True
157,5.216109722000001,True,0.125,left,True
158,5.248058619,True,0.125,left,True
159,5.283943685000001,False,0.09375,left,True
160,5.31603459,False,0.09375,left,True
161,5.3481537370000005,False,0.09375,left,True
162,5.38403187,False,0.09375,left,True
163,5.416013981000001,False,0.0625,left,True
164,5.448037617000001,False,0.0625,left,True
165,5.483927282000001,False,0.0625,left,True
166,5.51607493,False,0.0625,left,True
167,5.5478657060000005,False,0.0625,left,True
168,5.583830132,False,0.03125,left,True
169,5.615851178000001,False,0.03125,left,True
170,5.647832969,False,0.03125,left,True
171,5.683784942,False,0.03125,left,True
172,5.7160432320000005,False,0.03125,left,True
