frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788955794492065560,0.0,False,0.2804878048780488,0.0,0.0,0.32679738562091504,0.0,0.0,0.13016877637130803,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788955794523973252,0.031907692,False,0.2784552845528455,0.0,0.0,0.31960784313725493,0.0,0.0,0.12447257383966244,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788955794560065030,0.06799947,False,0.2784552845528455,0.0,0.0,0.3189542483660131,0.0,0.0,0.1251054852320675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788955794592032845,0.099967285,False,0.28130081300813015,0.0,0.0,0.33562091503267977,0.0,0.0,0.13544303797468354,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788955794624171872,0.132106312,False,0.2804878048780488,0.0,0.0,0.33529411764705885,0.0,0.0,0.1362869198312236,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788955794660041321,0.167975761,True,0.2878048780487805,0.0,0.0,0.32973856209150326,0.0,0.0,0.13312236286919832,0.0,0.0,0.14818795263270435,0.8461164401173177,3.7308699640717133,0.13596151560068676,-0.002314325202552066,0.08833886176176349,-0.009686746525664196
6,1788955794692080902,0.200015342,True,0.28821138211382114,0.0,0.0,0.3281045751633987,0.0,0.0,0.1322784810126582,0.0,0.0,0.08952661922431271,0.7934452710038044,3.8289738897568744,0.12935627883685652,-0.00029167485447295855,0.08448404104526959,0.008307865439778574
7,1788955794724002570,0.23193701000000003,True,0.28821138211382114,0.0,0.0,0.33366013071895423,0.0,0.0,0.13755274261603376,0.0,0.0,0.03863484246598392,0.652982555978507,3.825184435841239,0.11632824584165721,0.007266584951754462,0.07474827182508424,0.006024390763316824
8,1788955794760050291,0.26798473100000003,True,0.28739837398373985,0.0,0.0,0.33137254901960783,0.0,0.0,0.14240506329113925,0.0,0.0,0.11075135202756137,0.8962330582870149,3.882354145625519,0.1415671362435541,-0.005305453475590888,0.09542066571366759,0.004121472503550013
9,1788955794791990228,0.299924668,True,0.28821138211382114,0.0,0.0,0.33202614379084966,0.0,0.0,0.14472573839662445,0.0,0.0,-0.02397351300116135,0.7262575134574515,3.8408365299285934,0.12069073852020279,0.008304263211960424,0.08262981446063694,-0.006165204839896392
10,1788955794824673759,0.332608199,True,0.29552845528455285,0.0,0.0,0.3428104575163399,0.0,0.0,0.1512658227848101,0.0,0.0,-0.11840021916435473,0.530931890454269,3.8382451368165005,0.10673367078890486,0.012514255619815574,0.061041503228760105,-0.003304900785429255
