frame,time_s,candidate,longest_dark_width_fraction,side,alignment_valid
0,0.0,False,0.0,none,False
1,0.032041506000000004,False,0.0,none,False
2,0.064123514,False,0.0,none,False
3,0.099996387,False,0.0,none,False
4,0.132032742,False,0.0,none,True
5,0.16394333800000002,False,0.0,none,True
6,0.19603768900000001,False,0.0,none,True
7,0.215996763,False,0.0,none,True
8,0.24817513400000002,False,0.0,none,True
9,0.280002154,False,0.0,none,True
10,0.31612905,False,0.0,none,True
11,0.34800936400000004,False,0.0,none,True
12,0.380102936,False,0.0,none,True
13,0.416833726,False,0.0,none,True
14,0.448057945,False,0.0,none,True
15,0.481038271,False,0.0,none,True
16,0.5161173050000001,False,0.0,none,True
17,0.548044022,False,0.0,none,True
18,0.580106476,False,0.0,none,True
19,0.616073763,False,0.0,none,True
20,0.648175551,False,0.0,none,True
21,0.680150117,False,0.0,none,True
22,0.7160288220000001,False,0.0,none,True
23,0.7480477790000001,False,0.0,none,True
24,0.7800081830000001,False,0.0,none,True
25,0.816025529,False,0.0,none,True
26,0.84809334,False,0.0,none,True
27,0.8800028360000001,False,0.0,none,True
28,0.9159944510000001,False,0.0,none,True
29,0.9480026810000001,False,0.0,none,True
30,0.9801225600000001,False,0.0,none,True
31,1.016021762,False,0.0,none,True
32,1.048027515,False,0.0,none,True
33,1.0800920090000001,False,0.0,none,True
34,1.116039709,False,0.0,none,True
35,1.1481407620000001,False,0.0,none,True
36,1.1799689260000001,False,0.0,none,True
37,1.216160115,False,0.0,none,True
38,1.2491592770000002,False,0.0,none,True
39,1.280189293,False,0.0,none,True
40,1.3161277120000001,False,0.0,none,True
41,1.348115782,False,0.0,none,True
42,1.380128255,False,0.0,none,True
43,1.416129435,False,0.0,none,True
44,1.4482178270000001,False,0.0,none,True
45,1.4800858090000002,False,0.0,none,True
46,1.516063181,False,0.0,none,True
47,1.54790116,False,0.0,none,True
48,1.580048691,False,0.0,none,True
49,1.6159357040000002,False,0.0,none,True
50,1.647830332,False,0.0,none,True
51,1.679994435,False,0.0,none,True
52,1.715929253,False,0.0,none,True
53,1.747993617,False,0.0,none,True
54,1.7802277640000002,False,0.0,none,True
55,1.8160155240000002,False,0.0,none,True
56,1.848064106,False,0.0,none,True
57,1.880072428,False,0.0,none,True
58,1.9160032020000002,False,0.0,none,True
59,1.948061293,False,0.0,none,True
60,1.9800744080000001,False,0.0,none,True
61,2.0160285620000002,False,0.0,none,True
62,2.04814144,False,0.0,none,True
63,2.080711865,False,0.0,none,True
64,2.115811947,False,0.0,none,True
65,2.1478447800000002,False,0.0,none,True
66,2.179859246,False,0.0,none,True
67,2.215793924,False,0.0,none,True
68,2.247844685,False,0.0,none,True
69,2.279883958,False,0.0,none,True
70,2.3158317100000003,False,0.0,none,True
71,2.347848583,False,0.0,none,True
72,2.379924663,False,0.0,none,True
73,2.415872963,False,0.0,none,True
74,2.4479349590000004,False,0.0,none,True
75,2.480083967,False,0.0,none,True
76,2.515983224,False,0.0,none,True
77,2.548017284,False,0.0,none,True
78,2.580048654,False,0.0,none,True
79,2.616047457,False,0.0,none,True
80,2.6479633970000003,False,0.0,none,True
81,2.6800297,False,0.03125,left,True
82,2.715995495,False,0.03125,left,True
83,2.747960049,False,0.03125,left,True
84,2.780089356,False,0.03125,left,True
85,2.815994888,False,0.03125,left,True
86,2.847947318,False,0.0625,left,True
87,2.8798997720000004,False,0.0625,left,True
88,2.9160396520000003,False,0.0625,left,True
89,2.9479550430000003,False,0.0625,left,True
90,2.9800208290000003,False,0.0625,left,True
91,3.0159389610000003,False,0.0625,left,True
92,3.0479882600000003,False,0.0625,left,True
93,3.080018753,False,0.09375,left,True
94,3.115967524,False,0.09375,left,True
95,3.147927787,False,0.09375,left,True
96,3.1800202960000004,False,0.09375,left,True
97,3.2159375690000003,False,0.09375,left,True
98,3.2480304440000003,False,0.09375,left,True
99,3.2800189530000003,False,0.09375,left,True
100,3.3160360750000004,False,0.09375,left,True
101,3.3479793800000004,False,0.09375,left,True
102,3.380079063,False,0.09375,left,True
103,3.4159504010000004,False,0.09375,left,True
104,3.44805864,False,0.09375,left,True
105,3.4799917020000004,False,0.09375,left,True
106,3.5159866020000003,False,0.09375,left,True
107,3.548006393,False,0.09375,left,True
108,3.579983148,False,0.09375,left,True
109,3.6166572340000003,False,0.09375,left,True
110,3.648065357,False,0.09375,left,True
111,3.6808339610000003,False,0.09375,left,True
112,3.7159061170000003,False,0.09375,left,True
113,3.7480382960000003,False,0.09375,left,True
114,3.7801143180000003,False,0.09375,left,True
115,3.8158006190000004,False,0.09375,left,True
116,3.847885847,False,0.09375,left,True
117,3.8797816290000005,False,0.0625,left,True
118,3.9158233000000005,False,0.0625,left,True
119,3.9478761990000004,False,0.0625,left,True
120,3.9800292460000004,False,0.03125,left,True
121,4.015977157,False,0.03125,left,True
122,4.048028414,False,0.03125,left,True
123,4.07986976,False,0.03125,left,True
124,4.115724080000001,False,0.03125,left,True
125,4.147776907,False,0.03125,left,True
126,4.179827015,False,0.0,none,True
127,4.215766289,False,0.0,none,True
128,4.247900801,False,0.0,none,True
129,4.279908087,False,0.0,none,True
130,4.315964499000001,False,0.0,none,True
131,4.348029392,False,0.0,none,True
132,4.3800191150000005,False,0.0,none,True
133,4.4160115300000005,False,0.0,none,True
134,4.447848627,False,0.0,none,True
135,4.479909381000001,False,0.0,none,True
136,4.515982721,False,0.0,none,True
137,4.547812937000001,False,0.0,none,True
138,4.580036762000001,False,0.0,none,True
139,4.616009476,False,0.0,none,True
140,4.647915195,False,0.0,none,True
141,4.679863336,False,0.0,none,True
142,4.716041049,False,0.0,none,True
143,4.747852063000001,False,0.0,none,True
144,4.779961753,False,0.0,none,True
145,4.815821746,False,0.0,none,True
146,4.847962055,False,0.0,none,True
147,4.879852821,False,0.0,none,True
148,4.915888673,False,0.0,none,True
149,4.947886284,False,0.0,none,True
150,4.980028903,False,0.0,none,True
151,5.015903656,False,0.0,none,True
152,5.047959573,False,0.0,none,True
153,5.079906105,False,0.0,none,True
154,5.116043631,False,0.0,none,True
155,5.148023651,False,0.0,none,True
156,5.179980407,False,0.0,none,True
157,5.215808151,False,0.0,none,True
158,5.2477683310000005,False,0.0,none,True
159,5.279731953000001,False,0.0,none,True
160,5.315768197000001,False,0.0,none,True
161,5.347762083,False,0.0,none,True
162,5.379801561000001,False,0.0,none,True
163,5.415689199,False,0.0,none,True
164,5.447688254,False,0.0,none,True
165,5.479741227000001,False,0.0,none,True
166,5.515944308,False,0.0,none,True
167,5.547915294,False,0.0,none,True
168,5.579973172000001,False,0.0,none,True
169,5.6158162460000005,False,0.0,none,True
170,5.647863308000001,False,0.0,none,True
171,5.679858916000001,False,0.0,none,True
172,5.7158296570000005,False,0.0,none,True
173,5.747924387,False,0.0,none,True
174,5.779941454,False,0.0,none,True
175,5.815859077000001,False,0.0,none,True
176,5.847946907000001,False,0.0,none,True
177,5.879945747000001,False,0.0,none,True
178,5.915836496000001,False,0.0,none,True
179,5.947878704000001,False,0.0,none,True
180,5.979968670000001,False,0.0,none,True
181,6.01589025,False,0.0,none,True
182,6.047834072000001,False,0.0,none,True
183,6.079890243,False,0.0,none,True
184,6.115964877000001,False,0.0,none,True
185,6.1479289790000005,False,0.0,none,True
186,6.1799707580000005,False,0.0,none,True
187,6.215838894,False,0.0,none,True
188,6.247966697000001,False,0.0,none,True
189,6.279917739,False,0.0,none,True
190,6.315844933,False,0.0,none,True
191,6.347798409,False,0.0,none,True
192,6.380021505,False,0.0,none,True
193,6.415843551,False,0.0,none,True
194,6.448036153,False,0.0,none,True
195,6.479887209,False,0.0,none,True
196,6.515899787,False,0.0,none,True
197,6.5479652250000004,False,0.0,none,True
198,6.579987496,False,0.0,none,True
199,6.615838027000001,False,0.0,none,True
200,6.647929801,False,0.0,none,True
201,6.679944890000001,False,0.0,none,True
202,6.715972801,False,0.0,none,True
203,6.747829913,False,0.0,none,True
204,6.780002217000001,False,0.0,none,True
205,6.815868674000001,False,0.0,none,True
206,6.847850947,False,0.0,none,True
207,6.8798458280000006,False,0.0,none,True
208,6.9158262420000005,False,0.0,none,True
209,6.947900443000001,False,0.0,none,True
210,6.979926606,False,0.0,none,True
211,7.015817343,False,0.0,none,True
212,7.047789657,False,0.0,none,True
213,7.07994354,False,0.0,none,True
214,7.115836662,False,0.0,none,True
215,7.149826513000001,False,0.0,none,True
216,7.1819108410000005,False,0.0,none,True
217,7.2178697110000005,False,0.0,none,True
218,7.249896825,False,0.0,none,True
219,7.281890601000001,False,0.0,none,True
220,7.315697747000001,False,0.0,none,True
221,7.347754480000001,False,0.0,none,True
222,7.3799385840000005,False,0.0,none,True
223,7.415853977,False,0.0,none,True
224,7.447812445,False,0.0,none,True
