frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788954517495452414,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.00189873417721519,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788954517527500391,0.032047977000000005,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006329113924050633,0.0016877637130801686,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788954517559349650,0.06389723600000001,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788954517595396123,0.099943709,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788954517627299373,0.131846959,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575091245114398,-0.06700642700208136,3.8158211982167365,-0.005872840303591512,-0.0015905210990136004,-0.034206374215048733,-0.02281633537808953
5,1788954517659394373,0.163941959,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.07719567410547623,-0.2773388680116012,3.814063650422435,-0.032001867462664105,0.027709443468268338,-0.051418807019583575,0.016998070397885045
6,1788954517695351716,0.199899302,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.0,0.2641636112428547,-0.10679942205986094,3.7095759710599157,-0.0141115790394368,0.006919926376536877,-0.03774721430565164,-0.015090245212297682
7,1788954517727447484,0.23199507000000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.0,0.10744738977870871,-0.04257340474447284,3.7384923259216714,-0.00927888879521207,0.013488059473251547,-0.03818903745084066,-0.002529208748624567
8,1788954517759411532,0.263959118,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.0,-0.054041959137769435,-0.3172986396327022,3.764039329617424,-0.03463403006671548,0.026462091276059276,-0.05449488612162888,0.0
9,1788954517795357110,0.299904696,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400843,0.0,0.20036227538372886,-0.14186739861413233,3.8713752624918496,-0.019983850725336774,0.011338583355697162,-0.046267379281599276,0.03409832586066888
10,1788954517827358897,0.33190648300000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010548523206751054,0.0,0.16750088618822523,0.05257599549207141,3.72396023189188,-0.004020621133711631,0.008725002893435934,-0.028680173694139353,-0.011120535763004317
11,1788954517859351864,0.36389945,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21735051038144948,-0.06352473962634926,3.681771406454703,-0.012026341013956079,0.007699025524133606,-0.035459597172018784,-0.0067543948385170634
12,1788954517895409707,0.39995729300000005,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.04899583253008699,-0.1482977278305497,3.6516880306363335,-0.018023284333859822,0.023942732734094748,-0.031232229470929213,-0.008619924607786059
13,1788954517927626840,0.432174426,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11846852976300548,-0.061312793977438496,3.6462062476319366,-0.009542154750797577,0.01899820477278669,-0.031092156459340728,-0.011769997043269287
14,1788954517959562964,0.46411055,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08546907095405065,-0.28132493478431553,3.8055705937460917,-0.029827513303705123,0.016954497529113984,-0.052359423311517994,0.0033195488696338214
15,1788954517995475460,0.500023046,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13811081825753213,-0.2606024165684943,3.709619192665823,-0.030074057699823985,0.02038173983268997,-0.0453341512803294,0.012783736491452796
16,1788954518027497749,0.5320453350000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27895129042351585,0.036768620068774224,3.6250812688090646,-0.00042817410370550417,0.004653563651312722,-0.024680250278185427,0.0069220935760796395
17,1788954518059484012,0.564031598,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03368173672045338,-0.1776557541520417,3.7131629855421133,-0.0225263723613325,0.029888684631617292,-0.04168818546710761,0.0
18,1788954518095336868,0.599884454,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09133749953086223,-0.2152061599533119,3.7514120319093784,-0.025896156199902574,0.02413664638585182,-0.041313676270239755,0.013250835648339327
19,1788954518127492196,0.632039782,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21804889018280327,-0.04517696800616611,3.7017927665026398,-0.013380624727794723,0.01436511860863015,-0.03127685864052962,-0.004885076325854054
20,1788954518159733760,0.664281346,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0651373593266138,-0.08689277690100185,3.837506872053629,-0.014733907443581763,0.03428303978014481,-0.04522019383051875,0.011310010117475002
21,1788954518195380263,0.699927849,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24159178463987363,-0.04446163278354428,3.8434909107060298,-0.014704388932429946,0.009501026909480924,-0.03150068184315855,0.010663059503881007
22,1788954518227463816,0.732011402,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697702667239924,-0.13592197854083135,3.8735908552574125,-0.020843545686804826,0.02812361415293725,-0.042860041260328,0.02221253616372423
23,1788954518259383623,0.763931209,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,0.053323901002424234,-0.2667065048908344,3.7739704502315816,-0.030644408634466814,0.025560521940831804,-0.052947336999356526,-0.03066638533541229
24,1788954518295471833,0.8000194190000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.00021097046413502107,0.0,0.0,0.09762343505308713,-0.14437987912778583,3.6784687465232198,-0.020827228874643212,0.02638112498999212,-0.04014939728648868,0.008692431228779154
25,1788954518327447959,0.8319955450000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13903520089292032,-0.03721098148746632,3.68072555754623,-0.012524038126640456,0.017535493732786164,-0.027463316146008134,0.001123890464746819
26,1788954518359514326,0.864061912,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10385090813961395,-0.23857758774714163,3.700519346895614,-0.028605394236669,0.02788884639261336,-0.04181421655869773,0.002413952870438389
27,1788954518395345829,0.8998934150000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16072427237604892,-0.10042710933531572,3.6840541250606433,-0.019606696452966636,0.026926092815456822,-0.039686403689432874,0.008885473983923173
28,1788954518427513874,0.93206146,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1633881432313642,-0.14261741834632008,3.6968764277484985,-0.019459818148602735,0.025289619369999093,-0.026887693148893083,0.01153423054884309
29,1788954518459475630,0.9640232160000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24491983992154265,-0.12967230693948512,3.7328148052087298,-0.013646130237331647,0.016053652033793987,-0.03204529745421261,0.0017237083047850767
30,1788954518495516415,1.0000640010000001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205168412629598,0.01841826358392305,3.652215780884981,-0.0032730198847215454,0.027734505303807482,-0.019756765337618405,-0.028139105741654628
31,1788954518527447653,1.031995239,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061836700702101455,-0.07974282780662352,3.7082252141767107,-0.008491515254932245,0.027542502699829583,-0.02729482075006137,-0.026166824172555114
32,1788954518559521563,1.064069149,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031868534859291975,-0.26733672623371685,3.778013135985817,-0.028210673620549895,0.037006338379689835,-0.049696944414298755,-0.01836292609074793
