frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788954416965457639,0.0,False,0.0,0.0,0.01016260162601626,0.0,0.0,0.07091503267973856,0.07426160337552742,0.0,0.03185654008438819,nan,nan,nan,nan,nan,nan,nan
1,1788954416997621671,0.032164032,False,0.0,0.0,0.007317073170731707,0.0,0.0,0.06830065359477125,0.07320675105485233,0.0,0.036497890295358645,nan,nan,nan,nan,nan,nan,nan
2,1788954417029562127,0.064104488,False,0.0,0.0,0.007317073170731707,0.0,0.0,0.06732026143790851,0.07510548523206752,0.0,0.03755274261603376,nan,nan,nan,nan,nan,nan,nan
3,1788954417065509364,0.10005172500000001,False,0.0,0.0,0.0028455284552845526,0.0,0.0,0.04477124183006535,0.05464135021097046,0.0,0.036497890295358645,nan,nan,nan,nan,nan,nan,nan
4,1788954417097434118,0.131976479,True,0.0,0.0,0.002032520325203252,0.0,0.0,0.045098039215686274,0.05400843881856541,0.0,0.039873417721518985,0.3413037708474309,1.2379332677034347,4.110276611246118,-0.016040834659722922,-0.022477978470066984,-0.01664539854120325,0.0028338255322476586
5,1788954417129639766,0.164182127,True,0.0,0.0,0.0,0.0,0.0,0.036601307189542485,0.070042194092827,0.0,0.046413502109704644,0.15431469151344057,1.1811099747428295,4.256835414365354,-0.030365988914828963,-0.006188398343146116,-0.03664432200208698,0.014766219503202494
6,1788954417165716424,0.20025878500000002,True,0.0,0.0,0.0012195121951219512,0.0,0.0,0.03790849673202614,0.07383966244725738,0.0,0.049156118143459916,0.1410382110706374,1.260124640337962,4.354446355589118,-0.03379647245814248,-0.005125883741207059,-0.03655511381049851,-0.005513451528715781
7,1788954417197696544,0.23223890500000002,True,0.0,0.0,0.0032520325203252037,0.0,0.0,0.024509803921568627,0.052531645569620256,0.0,0.05443037974683544,0.25099126561334417,1.4730787465862867,4.305625511829827,-0.01761119097769999,-0.011609126596220138,-0.01998270710786429,0.003176485165849715
8,1788954417229595177,0.264137538,True,0.0,0.0,0.004065040650406504,0.0,0.0,0.023529411764705882,0.05063291139240507,0.0,0.05548523206751055,0.02870465287582613,1.2457520666455668,4.27596707883015,-0.03809679986469406,0.004892654758646282,-0.0394286142431166,0.0
9,1788954417265793911,0.300336272,True,0.0,0.0,0.004065040650406504,0.0,0.0,0.023856209150326796,0.04683544303797468,0.0,0.05527426160337553,0.23563731782092967,1.371735640500079,4.24728840030652,-0.026345112834016856,-0.014372317925242283,-0.031184642236259285,0.014577774311614097
10,1788954417298512210,0.333054571,True,0.0,0.0,0.0008130081300813009,0.0,0.0,0.03986928104575163,0.03860759493670886,0.0,0.07573839662447258,0.33786603098164614,1.660971646947414,4.137535872729715,-0.007784227346857952,-0.023166609932361314,-0.007390879937593377,0.010711877168963562
11,1788954417329589116,0.36413147700000004,True,0.0,0.0,0.0016260162601626018,0.0,0.0,0.041176470588235294,0.038818565400843885,0.0,0.07848101265822785,0.22332679950019818,1.3638266408716557,4.337174308903191,-0.02972608666610496,-0.01018454852441244,-0.0318513893181669,-0.0024774870453586023
12,1788954417365556858,0.400099219,True,0.0,0.0,0.0016260162601626018,0.0,0.0,0.026143790849673203,0.039451476793248945,0.0,0.05907172995780591,0.15988497605297924,1.3512975993843528,4.314977979097138,-0.03217015266947961,-0.001956721978418367,-0.03128011268194834,-0.0008826420327461917
13,1788954417397599537,0.432141898,True,0.0,0.0,0.0016260162601626018,0.0,0.0,0.02581699346405229,0.040084388185654005,0.0,0.06054852320675106,0.3870622793459082,1.6616329244029941,4.28107125024927,-0.0036703878961685285,-0.02421648875382186,-0.0064811938801682505,-0.012484570159668184
14,1788954417429558627,0.46410098800000005,True,0.0,0.0,0.008130081300813007,0.0,0.0,0.01895424836601307,0.03438818565400844,0.0,0.05421940928270043,0.24585684071969816,1.432509580051563,4.323829487087487,-0.02826562305478039,-0.01543572419647382,-0.03497465082113973,-0.00806245683290858
