frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788954472612492988,0.0,False,0.0,0.0,0.00040650406504065046,0.0006535947712418301,0.0,0.03431372549019608,0.10780590717299579,0.0,0.06919831223628692,nan,nan,nan,nan,nan,nan,nan
1,1788954472644430873,0.031937885,False,0.0,0.0,0.00040650406504065046,0.000980392156862745,0.0,0.03594771241830065,0.10632911392405064,0.0,0.06877637130801688,nan,nan,nan,nan,nan,nan,nan
2,1788954472680317292,0.067824304,False,0.0,0.0,0.00040650406504065046,0.000980392156862745,0.0,0.03660130718954248,0.09978902953586496,0.0,0.06687763713080168,nan,nan,nan,nan,nan,nan,nan
3,1788954472712428308,0.09993532000000001,False,0.0,0.0,0.0,0.00032679738562091506,0.0,0.058823529411764705,0.09135021097046414,0.0,0.049367088607594936,nan,nan,nan,nan,nan,nan,nan
4,1788954472744453596,0.131960608,False,0.0,0.0,0.0,0.00032679738562091506,0.0,0.06143790849673203,0.09156118143459915,0.0,0.048734177215189876,nan,nan,nan,nan,nan,nan,nan
5,1788954472780329763,0.16783677500000002,True,0.0,0.0,0.0,0.0,0.0,0.04281045751633987,0.09135021097046414,0.0,0.06223628691983123,0.45466718794875605,1.3802951877468086,4.195877974940945,-0.003082045267290295,-0.03401100449408174,-0.007174618152542399,-0.003668297697772751
6,1788954472812396184,0.199903196,True,0.0,0.0,0.0,0.0,0.0,0.04150326797385621,0.09282700421940929,0.0,0.06350210970464135,-0.0024833348253556764,1.147780651482301,4.420975395825759,-0.02868356863351051,-0.0011472182988433509,-0.02545161555465955,-0.01651442736633319
7,1788954472844373091,0.231880103,True,0.0,0.0,0.0,0.0,0.0,0.026470588235294117,0.0949367088607595,0.0,0.07130801687763713,0.2197165680168851,1.3813273657261644,4.456411588681127,-0.013529326745706994,-0.018356998576035493,-0.01561453566556085,0.02333437610403273
8,1788954472880347546,0.267854558,True,0.0,0.0,0.0,0.0,0.0,0.02418300653594771,0.09620253164556962,0.0,0.07637130801687764,0.2916611087623493,1.2768515616416058,4.268764590880388,-0.020872955752904085,-0.024880310207851055,-0.025566353006443332,2.5251061317366714e-05
9,1788954472912385160,0.299892172,True,0.0,0.0,0.007723577235772358,0.0,0.0,0.03431372549019608,0.07447257383966245,0.0,0.08101265822784812,0.24171547823121053,1.2973588684394801,4.129482056262438,-0.026328399237516138,-0.014324647001784704,-0.036253930512112564,0.005683057113426974
10,1788954472944348570,0.33185558200000004,True,0.0,0.0,0.00894308943089431,0.0,0.0,0.04084967320261438,0.06645569620253164,0.0,0.0850210970464135,0.3627928487247618,1.4610453435276396,4.051567601509578,-0.013311844073649768,-0.02665968774729286,-0.012451994556840347,-0.012747923550681918
11,1788954472980397864,0.36790487600000005,True,0.0,0.0,0.00975609756097561,0.0,0.0,0.041176470588235294,0.06919831223628692,0.0,0.08544303797468353,0.3278837739857017,1.5337874189679859,4.2906880144057435,-0.011435726027700478,-0.025741595940841293,-0.01563077571137324,-0.00275910128851119
12,1788954473012346320,0.399853332,True,0.0,0.0,0.008130081300813007,0.0,0.0,0.05915032679738562,0.05864978902953586,0.0,0.09556962025316455,0.3265990521711699,1.5736025709050179,4.318862349415121,-0.013245445837772134,-0.01705740667773464,-0.013952172148478681,0.00246272155960591
13,1788954473044429777,0.43193678900000004,True,0.0,0.0,0.00853658536585366,0.0,0.0,0.06013071895424836,0.058438818565400855,0.0,0.09662447257383966,0.6715190760534717,1.6202601334406064,4.42640343911143,-0.0012451423378145076,-0.04784642393329276,-0.008648138678066356,0.0019853221355297323
14,1788954473080324604,0.467831616,True,0.0,0.0,0.00853658536585366,0.0,0.0,0.0392156862745098,0.05590717299578059,0.0,0.06962025316455696,0.37992824811117654,1.6205696682742636,4.067502766786404,-0.0036732473235541107,-0.015313049225378534,-0.009378226703471534,-0.003972749882458848
15,1788954473112368945,0.49987595700000004,True,0.0,0.0,0.00934959349593496,0.0,0.0,0.03790849673202614,0.05548523206751055,0.0,0.06751054852320675,0.19163414392111044,1.3664084752102208,4.208933869965976,-0.018738196066086513,-0.014993636010343158,-0.026755338821602442,-0.016440653302941727
16,1788954473144366863,0.531873875,True,0.0,0.0,0.012195121951219513,0.0,0.0,0.019934640522875816,0.039240506329113925,0.0,0.06244725738396625,0.3668831275652351,1.4550517731755739,4.26924820857126,-0.01533065681627235,-0.022925285680357378,-0.024154092669990745,0.01754156072147884
17,1788954473180358308,0.56786532,True,0.0,0.0,0.012601626016260161,0.0,0.0,0.018300653594771243,0.0350210970464135,0.0,0.06223628691983123,0.5912544999935467,1.6053118373228514,4.202212656233486,-0.001838639899434378,-0.036379424138241336,-0.007963453711118928,0.008420199627795062
18,1788954473212379383,0.5998863950000001,True,0.0,0.0,0.012601626016260161,0.0,0.0,0.006209150326797386,0.03839662447257384,0.0,0.04409282700421942,0.3758151603229545,1.4667728214314493,4.269280538931941,-0.016090296902214075,-0.018602563321971403,-0.029508549959285202,0.023970826611266045
19,1788954473244447029,0.6319540410000001,True,0.0,0.0,0.01707317073170732,0.0,0.0,0.006535947712418301,0.040506329113924044,0.0,0.042405063291139244,0.3867244734872204,1.4653405927577596,4.403150217979412,-0.020731200339187666,-0.016907248468206234,-0.02279244096648879,0.014311152492555145
20,1788954473280320496,0.667827508,True,0.0,0.0,0.017479674796747967,0.0,0.0,0.006209150326797386,0.042827004219409284,0.0,0.0430379746835443,0.3343438501507976,1.3933663720480185,4.430462978421614,-0.022013535895623992,-0.01630222019793911,-0.03565337473853299,0.021914391570597654
21,1788954473312461747,0.699968759,True,0.0,0.0,0.012601626016260161,0.0,0.0,0.0016339869281045752,0.03797468354430379,0.0,0.023839662447257385,0.39470117647194525,1.189220256592155,4.373311648913776,-0.035336872723057085,-0.02002238596182252,-0.03292400963631839,0.020187650133433793
22,1788954473344394521,0.731901533,True,0.0,0.0,0.011788617886178862,0.0,0.0,0.0016339869281045752,0.039240506329113925,0.0,0.023206751054852322,0.5229702150857967,1.4185417387725558,4.079319366087562,-0.0026694075930729566,-0.037225145802734234,-0.011778928762548255,0.0
23,1788954473380436839,0.7679438510000001,True,0.0,0.0,0.010569105691056912,0.0,0.0,0.0006535947712418301,0.05337552742616034,0.0,0.025949367088607594,0.269560654939363,1.2346204607616216,4.015497183019601,-0.02909487316064916,-0.007298165896808922,-0.027582286443860606,0.004036777909128183
