frame,timestamp_ns,time_s,alignment_valid,near_dark_left,near_dark_center,near_dark_right,mid_dark_left,mid_dark_center,mid_dark_right,deep_dark_left,deep_dark_center,deep_dark_right,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,omega_y_rad_s
0,1788954543343056595,0.0,False,0.0,0.0,0.0,0.0,0.0016339869281045752,0.0,0.00021097046413502107,0.002531645569620253,0.0,nan,nan,nan,nan,nan,nan,nan
1,1788954543375003370,0.031946775000000004,False,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.0,0.0016877637130801686,0.0,nan,nan,nan,nan,nan,nan,nan
2,1788954543410912981,0.067856386,False,0.0,0.0,0.0,0.0,0.00032679738562091506,0.0,0.00021097046413502107,0.0012658227848101266,0.0,nan,nan,nan,nan,nan,nan,nan
3,1788954543442879092,0.09982249700000001,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006329113924050632,0.0,nan,nan,nan,nan,nan,nan,nan
4,1788954543475036695,0.13198010000000002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,nan,nan,nan,nan,nan,nan,nan
5,1788954543510927423,0.167870828,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042194092827004215,0.0,0.0213599407058771,-0.17120928705941016,3.961276306558875,-0.01521791289629884,0.009446942650406675,-0.042935453995311,0.00541846598855994
6,1788954543542820278,0.19976368300000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320675105485232,0.0,-0.06375460834132585,-0.18887081301972203,3.843885082374475,-0.026830224530507013,0.026491467871511014,-0.05333181716707712,0.001290207257039594
7,1788954543574889205,0.23183261000000002,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320675105485232,0.0,0.45767882846647856,0.15341859311417003,3.7894174464923056,0.009201616255655867,-0.025651247387704,-0.017646065677397262,0.00037469415609668794
8,1788954543610812362,0.26775576700000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016877637130801686,0.0,0.056976059998920636,-0.2026658541527868,3.7388222361171195,-0.02400278605899466,0.01138316041488092,-0.051762513969279514,-0.011905653673768741
9,1788954543642964123,0.29990752800000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014767932489451476,0.0,0.009016348494289561,-0.13279860745397049,3.729568995569193,-0.021995052287518344,0.015129217685624582,-0.046848873672073785,-0.007830635319407827
10,1788954543674991018,0.33193442300000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33186238069984086,0.10515808458069234,3.7949505175738834,0.0048085681495356036,-0.008738319537932884,-0.020567229639010018,-0.011759854306368236
11,1788954543710830741,0.367774146,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18027712765073045,0.07938412586465707,3.734588360873418,-0.00491892746246317,0.0032416678116992926,-0.03442872004694831,-0.0023551996420342084
12,1788954543742869153,0.39981255800000004,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03931727643831828,-0.3341726566240496,3.7529234148969315,-0.03872198880741985,0.023328460517797727,-0.06668866246174954,-0.004178206710118122
13,1788954543774852145,0.43179555000000003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18169359178174704,0.024181457467679454,3.759345507518862,-0.008445661739771076,-0.0007426056181149463,-0.02749830725794487,0.02015161504755269
14,1788954543810860340,0.46780374500000005,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05993652440741837,-0.0676250554662332,3.6755232211837052,-0.013391188387122057,0.01051526341616877,-0.03715971626192568,0.007119613512414739
15,1788954543842844679,0.499788084,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09360981931138146,-0.18710140950881363,3.741606686672888,-0.021168857460098472,0.01718789015138395,-0.05031406117697252,0.007680748324624285
